time,n,q50,q025,q975,cartography
2001,2755,0.04761905,0,0.33333333,Debbink
2002,2755,0.2972973,0.10810811,0.44594595,Debbink
2003,2755,0.17730496,0.02836879,0.32624113,Debbink
2004,2755,0.2212766,0.1106383,0.31489362,Debbink
2005,2755,0.08163265,0.01749271,0.16618076,Debbink
2006,2755,0.08,0.03555556,0.14,Debbink
2007,2755,0.16420664,0.1199262,0.21217712,Debbink
2008,2755,0.1321499,0.08678501,0.17948718,Debbink
2009,2755,0.40776699,0.35679612,0.44902913,Debbink
2010,2755,0.11552347,0.04693141,0.19855596,Debbink
2011,2755,0.1452514,0.06703911,0.22346369,Debbink
2012,2755,0.21428571,0.11904762,0.30952381,Debbink
2001,2755,0.095238095,0,0.333333333,Kendra
2002,2755,0.094594595,0,0.283783784,Kendra
2003,2755,0.205673759,0.056737589,0.340425532,Kendra
2004,2755,0.246808511,0.165957447,0.331914894,Kendra
2005,2755,0.090379009,0.040816327,0.142857143,Kendra
2006,2755,0.04,0.02,0.071111111,Kendra
2007,2755,0.199261993,0.156826568,0.241697417,Kendra
2008,2755,0.147928994,0.106508876,0.191321499,Kendra
2009,2755,0.424757282,0.378640777,0.466019417,Kendra
2010,2755,0.129963899,0.061371841,0.21299639,Kendra
2011,2755,0.12849162,0.05027933,0.217877095,Kendra
2012,2755,0.166666667,0.095238095,0.261904762,Kendra
