Year,N,Original data,ONS census-weighted
2001,21,0.143 (0-0.619),0.143 (0-0.667)
2002,74,0.432 (0.284-0.554),0.473 (0.27-0.661)
2003,141,0.177 (0.0709-0.277),0.149 (0.0496-0.312)
2004,235,0.0723 (0.0128-0.162),0.0851 (0.0128-0.212)
2005,343,0.169 (0.102-0.233),0.178 (0.0933-0.265)
2006,450,0.0422 (0.0222-0.0711),0.0356 (0.0133-0.0753)
2007,542,0.253 (0.216-0.291),0.262 (0.214-0.315)
2008,507,0.207 (0.164-0.243),0.215 (0.166-0.26)
2009,412,0.325 (0.284-0.364),0.32 (0.257-0.379)
2010,277,0.256 (0.195-0.321),0.256 (0.181-0.343)
2011,179,0.218 (0.134-0.291),0.196 (0.117-0.279)
2012,42,0.0714 (0.0238-0.167),0.167 (0-0.31)
