age,med,lower,upper,N
0,0.17682926829268292,0.14939024390243902,0.20579268292682926,656
1,0.17835365853658536,0.15396341463414634,0.20121951219512196,656
2,0.17457886676875958,0.15313935681470137,0.19601837672281777,653
3,0.16018662519440124,0.14152410575427682,0.17884914463452567,643
4,0.14638157894736842,0.12828947368421054,0.16611842105263158,608
5,0.11623616236162361,0.0996309963099631,0.13468634686346864,542
6,0.07555555555555556,0.06222222222222222,0.09111111111111111,450
7,0.03206997084548105,0.023323615160349854,0.04081632653061224,343
8,0,0,0,235
9,0,0,0,141
10,0,0,0,74
11,0,0,0,21
