age,med,lower,upper,N
0,0.21052631578947367,0.16666666666666666,0.2543859649122807,114
1,0.3737864077669903,0.33495145631067963,0.41262135922330095,206
2,0.4645161290322581,0.43870967741935485,0.49032258064516127,310
3,0.5220588235294118,0.5024509803921569,0.5441176470588235,408
4,0.556745182012848,0.5398286937901499,0.5715203426124197,467
5,0.6153846153846154,0.6027777777777777,0.6260683760683761,468
6,0.6456876456876457,0.6363636363636364,0.6526806526806527,429
7,0.6822157434402333,0.6763848396501457,0.6880466472303207,343
8,0.6851063829787234,0.6808510638297872,0.6936170212765957,235
9,0.7021276595744681,0.6950354609929078,0.7163120567375887,141
10,0.7162162162162162,0.7162162162162162,0.7432432432432432,74
11,0.7619047619047619,0.7619047619047619,0.8095238095238095,21
