age,med,lower,upper,N
0,0.17682926829268292,0.14939024390243902,0.20579268292682926,656
1,0.3155487804878049,0.2850609756097561,0.34603658536585363,656
2,0.42725880551301687,0.3996937212863706,0.4548238897396631,653
3,0.505443234836703,0.48367029548989116,0.5303265940902022,643
4,0.5657894736842105,0.5476973684210527,0.5805921052631579,608
5,0.6217712177121771,0.6088560885608856,0.6346863468634686,542
6,0.6511111111111111,0.6422222222222222,0.6577777777777778,450
7,0.6822157434402333,0.6763848396501457,0.6880466472303207,343
8,0.6851063829787234,0.6808510638297872,0.6936170212765957,235
9,0.7021276595744681,0.6950354609929078,0.7163120567375887,141
10,0.7162162162162162,0.7162162162162162,0.7432432432432432,74
11,0.7619047619047619,0.7619047619047619,0.8095238095238095,21
