samp_no,chain_no,age,prop,N
400001,1,0,0.20175438596491227,114
400001,1,1,0.21844660194174756,206
400001,1,2,0.19032258064516128,310
400001,1,3,0.14460784313725492,408
400001,1,4,0.13704496788008566,467
400001,1,5,0.10897435897435898,468
400001,1,6,0.07459207459207459,429
400001,1,7,0.037900874635568516,343
400001,1,8,0,235
400001,1,9,0,141
400001,1,10,0,74
400001,1,11,0,21
400001,2,0,0.18421052631578946,114
400001,2,1,0.23300970873786409,206
400001,2,2,0.2161290322580645,310
400001,2,3,0.15441176470588236,408
400001,2,4,0.12633832976445397,467
400001,2,5,0.1047008547008547,468
400001,2,6,0.06526806526806526,429
400001,2,7,0.029154518950437316,343
400001,2,8,0,235
400001,2,9,0,141
400001,2,10,0,74
400001,2,11,0,21
400001,3,0,0.19298245614035087,114
400001,3,1,0.2524271844660194,206
400001,3,2,0.1967741935483871,310
400001,3,3,0.1715686274509804,408
400001,3,4,0.11563169164882227,467
400001,3,5,0.09829059829059829,468
400001,3,6,0.06526806526806526,429
400001,3,7,0.03206997084548105,343
400001,3,8,0,235
400001,3,9,0,141
400001,3,10,0,74
400001,3,11,0,21
400001,4,0,0.21929824561403508,114
400001,4,1,0.2766990291262136,206
400001,4,2,0.2032258064516129,310
400001,4,3,0.16911764705882354,408
400001,4,4,0.139186295503212,467
400001,4,5,0.09829059829059829,468
400001,4,6,0.05827505827505827,429
400001,4,7,0.03498542274052478,343
400001,4,8,0,235
400001,4,9,0,141
400001,4,10,0,74
400001,4,11,0,21
400001,5,0,0.21052631578947367,114
400001,5,1,0.21359223300970873,206
400001,5,2,0.18387096774193548,310
400001,5,3,0.1568627450980392,408
400001,5,4,0.1349036402569593,467
400001,5,5,0.11324786324786325,468
400001,5,6,0.053613053613053616,429
400001,5,7,0.029154518950437316,343
400001,5,8,0,235
400001,5,9,0,141
400001,5,10,0,74
400001,5,11,0,21
405001,1,0,0.23684210526315788,114
405001,1,1,0.20388349514563106,206
405001,1,2,0.17419354838709677,310
405001,1,3,0.1642156862745098,408
405001,1,4,0.14346895074946467,467
405001,1,5,0.10042735042735043,468
405001,1,6,0.055944055944055944,429
405001,1,7,0.037900874635568516,343
405001,1,8,0,235
405001,1,9,0,141
405001,1,10,0,74
405001,1,11,0,21
405001,2,0,0.21052631578947367,114
405001,2,1,0.2524271844660194,206
405001,2,2,0.1870967741935484,310
405001,2,3,0.14950980392156862,408
405001,2,4,0.15203426124197003,467
405001,2,5,0.10897435897435898,468
405001,2,6,0.053613053613053616,429
405001,2,7,0.03498542274052478,343
405001,2,8,0,235
405001,2,9,0,141
405001,2,10,0,74
405001,2,11,0,21
405001,3,0,0.21929824561403508,114
405001,3,1,0.25728155339805825,206
405001,3,2,0.20967741935483872,310
405001,3,3,0.1715686274509804,408
405001,3,4,0.145610278372591,467
405001,3,5,0.08547008547008547,468
405001,3,6,0.07226107226107226,429
405001,3,7,0.037900874635568516,343
405001,3,8,0,235
405001,3,9,0,141
405001,3,10,0,74
405001,3,11,0,21
405001,4,0,0.20175438596491227,114
405001,4,1,0.20388349514563106,206
405001,4,2,0.20967741935483872,310
405001,4,3,0.1568627450980392,408
405001,4,4,0.1284796573875803,467
405001,4,5,0.10042735042735043,468
405001,4,6,0.06993006993006994,429
405001,4,7,0.029154518950437316,343
405001,4,8,0,235
405001,4,9,0,141
405001,4,10,0,74
405001,4,11,0,21
405001,5,0,0.19298245614035087,114
