samp_no,chain_no,age,prop,N
400001,1,0,0.18597560975609756,656
400001,1,1,0.1600609756097561,656
400001,1,2,0.16845329249617153,653
400001,1,3,0.15085536547433903,643
400001,1,4,0.13815789473684212,608
400001,1,5,0.11808118081180811,542
400001,1,6,0.08666666666666667,450
400001,1,7,0.037900874635568516,343
400001,1,8,0,235
400001,1,9,0,141
400001,1,10,0,74
400001,1,11,0,21
400001,2,0,0.1722560975609756,656
400001,2,1,0.18445121951219512,656
400001,2,2,0.18223583460949463,653
400001,2,3,0.15863141524105753,643
400001,2,4,0.1299342105263158,608
400001,2,5,0.12361623616236163,542
400001,2,6,0.07777777777777778,450
400001,2,7,0.029154518950437316,343
400001,2,8,0,235
400001,2,9,0,141
400001,2,10,0,74
400001,2,11,0,21
400001,3,0,0.16920731707317074,656
400001,3,1,0.18292682926829268,656
400001,3,2,0.1638591117917305,653
400001,3,3,0.17418351477449456,643
400001,3,4,0.12171052631578948,608
400001,3,5,0.1088560885608856,542
400001,3,6,0.07777777777777778,450
400001,3,7,0.03206997084548105,343
400001,3,8,0,235
400001,3,9,0,141
400001,3,10,0,74
400001,3,11,0,21
400001,4,0,0.1722560975609756,656
400001,4,1,0.21036585365853658,656
400001,4,2,0.1776416539050536,653
400001,4,3,0.16018662519440124,643
400001,4,4,0.14802631578947367,608
400001,4,5,0.1088560885608856,542
400001,4,6,0.07111111111111111,450
400001,4,7,0.03498542274052478,343
400001,4,8,0,235
400001,4,9,0,141
400001,4,10,0,74
400001,4,11,0,21
400001,5,0,0.1798780487804878,656
400001,5,1,0.17682926829268292,656
400001,5,2,0.16539050535987748,653
400001,5,3,0.15396578538102643,643
400001,5,4,0.13486842105263158,608
400001,5,5,0.12546125461254612,542
400001,5,6,0.06666666666666667,450
400001,5,7,0.029154518950437316,343
400001,5,8,0,235
400001,5,9,0,141
400001,5,10,0,74
400001,5,11,0,21
405001,1,0,0.19969512195121952,656
405001,1,1,0.15701219512195122,656
405001,1,2,0.16079632465543645,653
405001,1,3,0.17262830482115085,643
405001,1,4,0.14309210526315788,608
405001,1,5,0.11439114391143912,542
405001,1,6,0.06888888888888889,450
405001,1,7,0.037900874635568516,343
405001,1,8,0,235
405001,1,9,0,141
405001,1,10,0,74
405001,1,11,0,21
405001,2,0,0.19817073170731708,656
405001,2,1,0.20884146341463414,656
405001,2,2,0.17304747320061256,653
405001,2,3,0.15552099533437014,643
405001,2,4,0.1611842105263158,608
405001,2,5,0.12177121771217712,542
405001,2,6,0.06666666666666667,450
405001,2,7,0.03498542274052478,343
405001,2,8,0,235
405001,2,9,0,141
405001,2,10,0,74
405001,2,11,0,21
405001,3,0,0.16615853658536586,656
405001,3,1,0.18445121951219512,656
405001,3,2,0.17457886676875958,653
405001,3,3,0.17107309486780714,643
405001,3,4,0.16447368421052633,608
405001,3,5,0.0959409594095941,542
405001,3,6,0.08444444444444445,450
405001,3,7,0.037900874635568516,343
405001,3,8,0,235
405001,3,9,0,141
405001,3,10,0,74
405001,3,11,0,21
405001,4,0,0.18597560975609756,656
405001,4,1,0.16158536585365854,656
405001,4,2,0.16079632465543645,653
405001,4,3,0.16951788491446346,643
405001,4,4,0.14473684210526316,608
405001,4,5,0.11254612546125461,542
405001,4,6,0.08222222222222222,450
405001,4,7,0.029154518950437316,343
405001,4,8,0,235
405001,4,9,0,141
405001,4,10,0,74
405001,4,11,0,21
405001,5,0,0.18292682926829268,656
405001,5,1,0.17835365853658536,656
405001,5,2,0.18223583460949463,653
405001,5,3,0.16485225505443235,643
405001,5,4,0.15296052631578946,608
405001,5,5,0.10516605166051661,542
405001,5,6,0.07777777777777778,450
405001,5,7,0.03206997084548105,343
405001,5,8,0,235
405001,5,9,0,141
405001,5,10,0,74
405001,5,11,0,21
410001,1,0,0.16310975609756098,656
410001,1,1,0.18140243902439024,656
410001,1,2,0.17611026033690658,653
410001,1,3,0.15085536547433903,643
410001,1,4,0.12828947368421054,608
410001,1,5,0.11439114391143912,542
410001,1,6,0.08222222222222222,450
410001,1,7,0.026239067055393587,343
410001,1,8,0,235
410001,1,9,0,141
410001,1,10,0,74
410001,1,11,0,21
410001,2,0,0.15396341463414634,656
410001,2,1,0.16920731707317074,656
410001,2,2,0.1776416539050536,653
410001,2,3,0.16796267496111975,643
410001,2,4,0.13322368421052633,608
410001,2,5,0.10516605166051661,542
410001,2,6,0.08222222222222222,450
410001,2,7,0.03206997084548105,343
410001,2,8,0,235
410001,2,9,0,141
410001,2,10,0,74
410001,2,11,0,21
410001,3,0,0.1676829268292683,656
410001,3,1,0.16615853658536586,656
410001,3,2,0.16845329249617153,653
410001,3,3,0.13996889580093314,643
410001,3,4,0.15953947368421054,608
410001,3,5,0.11070110701107011,542
410001,3,6,0.08,450
410001,3,7,0.029154518950437316,343
410001,3,8,0,235
410001,3,9,0,141
410001,3,10,0,74
410001,3,11,0,21
410001,4,0,0.2027439024390244,656
410001,4,1,0.20121951219512196,656
410001,4,2,0.17457886676875958,653
410001,4,3,0.15863141524105753,643
410001,4,4,0.15296052631578946,608
410001,4,5,0.1014760147601476,542
410001,4,6,0.08222222222222222,450
410001,4,7,0.029154518950437316,343
410001,4,8,0,235
410001,4,9,0,141
410001,4,10,0,74
410001,4,11,0,21
410001,5,0,0.15548780487804878,656
410001,5,1,0.14634146341463414,656
410001,5,2,0.17151607963246554,653
410001,5,3,0.15707620528771385,643
410001,5,4,0.15460526315789475,608
410001,5,5,0.11439114391143912,542
410001,5,6,0.07111111111111111,450
410001,5,7,0.03498542274052478,343
410001,5,8,0,235
410001,5,9,0,141
410001,5,10,0,74
410001,5,11,0,21
415001,1,0,0.14939024390243902,656
415001,1,1,0.17682926829268292,656
415001,1,2,0.16998468606431852,653
415001,1,3,0.16329704510108864,643
415001,1,4,0.15460526315789475,608
415001,1,5,0.09778597785977859,542
415001,1,6,0.07111111111111111,450
415001,1,7,0.03498542274052478,343
415001,1,8,0,235
415001,1,9,0,141
415001,1,10,0,74
415001,1,11,0,21
415001,2,0,0.17682926829268292,656
415001,2,1,0.17682926829268292,656
415001,2,2,0.17457886676875958,653
415001,2,3,0.17573872472783825,643
415001,2,4,0.14144736842105263,608
415001,2,5,0.12177121771217712,542
415001,2,6,0.07333333333333333,450
415001,2,7,0.03206997084548105,343
415001,2,8,0,235
415001,2,9,0,141
415001,2,10,0,74
415001,2,11,0,21
415001,3,0,0.1951219512195122,656
415001,3,1,0.17378048780487804,656
415001,3,2,0.1807044410413476,653
415001,3,3,0.15707620528771385,643
415001,3,4,0.14802631578947367,608
415001,3,5,0.14022140221402213,542
415001,3,6,0.07333333333333333,450
415001,3,7,0.023323615160349854,343
415001,3,8,0,235
415001,3,9,0,141
415001,3,10,0,74
415001,3,11,0,21
415001,4,0,0.1676829268292683,656
415001,4,1,0.17073170731707318,656
415001,4,2,0.16232771822358347,653
415001,4,3,0.16329704510108864,643
415001,4,4,0.15296052631578946,608
415001,4,5,0.10516605166051661,542
415001,4,6,0.08666666666666667,450
415001,4,7,0.03498542274052478,343
415001,4,8,0,235
415001,4,9,0,141
415001,4,10,0,74
415001,4,11,0,21
415001,5,0,0.16615853658536586,656
415001,5,1,0.18597560975609756,656
415001,5,2,0.17151607963246554,653
415001,5,3,0.16329704510108864,643
415001,5,4,0.15296052631578946,608
415001,5,5,0.11254612546125461,542
415001,5,6,0.06888888888888889,450
415001,5,7,0.029154518950437316,343
415001,5,8,0,235
415001,5,9,0,141
415001,5,10,0,74
415001,5,11,0,21
420001,1,0,0.1676829268292683,656
420001,1,1,0.17530487804878048,656
420001,1,2,0.1776416539050536,653
420001,1,3,0.16485225505443235,643
420001,1,4,0.13815789473684212,608
420001,1,5,0.09225092250922509,542
420001,1,6,0.09777777777777778,450
420001,1,7,0.03206997084548105,343
420001,1,8,0,235
420001,1,9,0,141
420001,1,10,0,74
420001,1,11,0,21
420001,2,0,0.19359756097560976,656
420001,2,1,0.19969512195121952,656
420001,2,2,0.19601837672281777,653
420001,2,3,0.16796267496111975,643
420001,2,4,0.14309210526315788,608
420001,2,5,0.12546125461254612,542
420001,2,6,0.08,450
420001,2,7,0.03498542274052478,343
420001,2,8,0,235
420001,2,9,0,141
420001,2,10,0,74
420001,2,11,0,21
420001,3,0,0.20426829268292682,656
420001,3,1,0.17073170731707318,656
420001,3,2,0.1807044410413476,653
420001,3,3,0.16018662519440124,643
420001,3,4,0.15296052631578946,608
420001,3,5,0.12361623616236163,542
420001,3,6,0.07111111111111111,450
420001,3,7,0.03498542274052478,343
420001,3,8,0,235
420001,3,9,0,141
420001,3,10,0,74
420001,3,11,0,21
420001,4,0,0.17835365853658536,656
420001,4,1,0.1676829268292683,656
420001,4,2,0.19448698315467075,653
420001,4,3,0.14307931570762053,643
420001,4,4,0.13322368421052633,608
420001,4,5,0.13099630996309963,542
420001,4,6,0.08,450
420001,4,7,0.029154518950437316,343
420001,4,8,0,235
420001,4,9,0,141
420001,4,10,0,74
420001,4,11,0,21
420001,5,0,0.18140243902439024,656
420001,5,1,0.16920731707317074,656
420001,5,2,0.17611026033690658,653
420001,5,3,0.14618973561430793,643
420001,5,4,0.14473684210526316,608
420001,5,5,0.11992619926199262,542
420001,5,6,0.08,450
420001,5,7,0.029154518950437316,343
420001,5,8,0,235
420001,5,9,0,141
420001,5,10,0,74
420001,5,11,0,21
425001,1,0,0.16310975609756098,656
425001,1,1,0.18140243902439024,656
425001,1,2,0.17457886676875958,653
425001,1,3,0.15707620528771385,643
425001,1,4,0.16611842105263158,608
425001,1,5,0.11070110701107011,542
425001,1,6,0.07555555555555556,450
425001,1,7,0.037900874635568516,343
425001,1,8,0,235
425001,1,9,0,141
425001,1,10,0,74
425001,1,11,0,21
425001,2,0,0.16615853658536586,656
425001,2,1,0.17835365853658536,656
425001,2,2,0.17457886676875958,653
425001,2,3,0.16329704510108864,643
425001,2,4,0.14473684210526316,608
425001,2,5,0.11623616236162361,542
425001,2,6,0.08,450
425001,2,7,0.02040816326530612,343
425001,2,8,0,235
425001,2,9,0,141
425001,2,10,0,74
425001,2,11,0,21
425001,3,0,0.16615853658536586,656
425001,3,1,0.1722560975609756,656
425001,3,2,0.17304747320061256,653
425001,3,3,0.15085536547433903,643
425001,3,4,0.16282894736842105,608
425001,3,5,0.11254612546125461,542
425001,3,6,0.07555555555555556,450
425001,3,7,0.03498542274052478,343
425001,3,8,0,235
425001,3,9,0,141
425001,3,10,0,74
425001,3,11,0,21
425001,4,0,0.20426829268292682,656
425001,4,1,0.16310975609756098,656
425001,4,2,0.1776416539050536,653
425001,4,3,0.15396578538102643,643
425001,4,4,0.13980263157894737,608
425001,4,5,0.12546125461254612,542
425001,4,6,0.07111111111111111,450
425001,4,7,0.029154518950437316,343
425001,4,8,0,235
425001,4,9,0,141
425001,4,10,0,74
425001,4,11,0,21
425001,5,0,0.1676829268292683,656
425001,5,1,0.17530487804878048,656
425001,5,2,0.17304747320061256,653
425001,5,3,0.16018662519440124,643
425001,5,4,0.14473684210526316,608
425001,5,5,0.11254612546125461,542
425001,5,6,0.07777777777777778,450
425001,5,7,0.03498542274052478,343
425001,5,8,0,235
425001,5,9,0,141
425001,5,10,0,74
425001,5,11,0,21
430001,1,0,0.16615853658536586,656
430001,1,1,0.16920731707317074,656
430001,1,2,0.16845329249617153,653
430001,1,3,0.16485225505443235,643
430001,1,4,0.1513157894736842,608
430001,1,5,0.1088560885608856,542
430001,1,6,0.07777777777777778,450
430001,1,7,0.029154518950437316,343
430001,1,8,0,235
430001,1,9,0,141
430001,1,10,0,74
430001,1,11,0,21
430001,2,0,0.1600609756097561,656
430001,2,1,0.18445121951219512,656
430001,2,2,0.1807044410413476,653
430001,2,3,0.15863141524105753,643
430001,2,4,0.13980263157894737,608
430001,2,5,0.12361623616236163,542
430001,2,6,0.07333333333333333,450
430001,2,7,0.03498542274052478,343
430001,2,8,0,235
430001,2,9,0,141
430001,2,10,0,74
430001,2,11,0,21
430001,3,0,0.17073170731707318,656
430001,3,1,0.18292682926829268,656
430001,3,2,0.18223583460949463,653
430001,3,3,0.16485225505443235,643
430001,3,4,0.15625,608
430001,3,5,0.12177121771217712,542
430001,3,6,0.07333333333333333,450
430001,3,7,0.03498542274052478,343
430001,3,8,0,235
430001,3,9,0,141
430001,3,10,0,74
430001,3,11,0,21
430001,4,0,0.2027439024390244,656
430001,4,1,0.20579268292682926,656
430001,4,2,0.16998468606431852,653
430001,4,3,0.16018662519440124,643
430001,4,4,0.14144736842105263,608
430001,4,5,0.11623616236162361,542
430001,4,6,0.08666666666666667,450
430001,4,7,0.03206997084548105,343
430001,4,8,0,235
430001,4,9,0,141
430001,4,10,0,74
430001,4,11,0,21
430001,5,0,0.16463414634146342,656
430001,5,1,0.17682926829268292,656
430001,5,2,0.19448698315467075,653
430001,5,3,0.14307931570762053,643
430001,5,4,0.15953947368421054,608
430001,5,5,0.11254612546125461,542
430001,5,6,0.07777777777777778,450
430001,5,7,0.03206997084548105,343
430001,5,8,0,235
430001,5,9,0,141
430001,5,10,0,74
430001,5,11,0,21
435001,1,0,0.1798780487804878,656
435001,1,1,0.16158536585365854,656
435001,1,2,0.17151607963246554,653
435001,1,3,0.15863141524105753,643
435001,1,4,0.14802631578947367,608
435001,1,5,0.12361623616236163,542
435001,1,6,0.08666666666666667,450
435001,1,7,0.023323615160349854,343
435001,1,8,0,235
435001,1,9,0,141
435001,1,10,0,74
435001,1,11,0,21
435001,2,0,0.18140243902439024,656
435001,2,1,0.1676829268292683,656
435001,2,2,0.17304747320061256,653
435001,2,3,0.16951788491446346,643
435001,2,4,0.15296052631578946,608
435001,2,5,0.10516605166051661,542
435001,2,6,0.06444444444444444,450
435001,2,7,0.037900874635568516,343
435001,2,8,0,235
435001,2,9,0,141
435001,2,10,0,74
435001,2,11,0,21
435001,3,0,0.16920731707317074,656
435001,3,1,0.16463414634146342,656
435001,3,2,0.16539050535987748,653
435001,3,3,0.15396578538102643,643
435001,3,4,0.14967105263157895,608
435001,3,5,0.11070110701107011,542
435001,3,6,0.08,450
435001,3,7,0.026239067055393587,343
435001,3,8,0,235
435001,3,9,0,141
435001,3,10,0,74
435001,3,11,0,21
435001,4,0,0.15853658536585366,656
435001,4,1,0.1875,656
435001,4,2,0.19295558958652373,653
435001,4,3,0.15396578538102643,643
435001,4,4,0.13322368421052633,608
435001,4,5,0.13284132841328414,542
435001,4,6,0.07555555555555556,450
435001,4,7,0.029154518950437316,343
435001,4,8,0,235
435001,4,9,0,141
435001,4,10,0,74
435001,4,11,0,21
435001,5,0,0.16463414634146342,656
435001,5,1,0.1951219512195122,656
435001,5,2,0.1990811638591118,653
435001,5,3,0.15552099533437014,643
435001,5,4,0.13980263157894737,608
435001,5,5,0.11808118081180811,542
435001,5,6,0.07111111111111111,450
435001,5,7,0.03206997084548105,343
435001,5,8,0,235
435001,5,9,0,141
435001,5,10,0,74
435001,5,11,0,21
440001,1,0,0.16158536585365854,656
440001,1,1,0.17073170731707318,656
440001,1,2,0.1776416539050536,653
440001,1,3,0.15863141524105753,643
440001,1,4,0.14967105263157895,608
440001,1,5,0.11623616236162361,542
440001,1,6,0.08,450
440001,1,7,0.029154518950437316,343
440001,1,8,0,235
440001,1,9,0,141
440001,1,10,0,74
440001,1,11,0,21
440001,2,0,0.16920731707317074,656
440001,2,1,0.1798780487804878,656
440001,2,2,0.17457886676875958,653
440001,2,3,0.14930015552099535,643
440001,2,4,0.1611842105263158,608
440001,2,5,0.12177121771217712,542
440001,2,6,0.08,450
440001,2,7,0.029154518950437316,343
440001,2,8,0,235
440001,2,9,0,141
440001,2,10,0,74
440001,2,11,0,21
440001,3,0,0.17073170731707318,656
440001,3,1,0.15396341463414634,656
440001,3,2,0.1669218989280245,653
440001,3,3,0.16329704510108864,643
440001,3,4,0.16282894736842105,608
440001,3,5,0.1014760147601476,542
440001,3,6,0.08,450
440001,3,7,0.03206997084548105,343
440001,3,8,0,235
440001,3,9,0,141
440001,3,10,0,74
440001,3,11,0,21
440001,4,0,0.19054878048780488,656
440001,4,1,0.18597560975609756,656
440001,4,2,0.17457886676875958,653
440001,4,3,0.14152410575427682,643
440001,4,4,0.15460526315789475,608
440001,4,5,0.12546125461254612,542
440001,4,6,0.07777777777777778,450
440001,4,7,0.03498542274052478,343
440001,4,8,0,235
440001,4,9,0,141
440001,4,10,0,74
440001,4,11,0,21
440001,5,0,0.2027439024390244,656
440001,5,1,0.17073170731707318,656
440001,5,2,0.18223583460949463,653
440001,5,3,0.14463452566096424,643
440001,5,4,0.14638157894736842,608
440001,5,5,0.12361623616236163,542
440001,5,6,0.07111111111111111,450
440001,5,7,0.03498542274052478,343
440001,5,8,0,235
440001,5,9,0,141
440001,5,10,0,74
440001,5,11,0,21
445001,1,0,0.17073170731707318,656
445001,1,1,0.16615853658536586,656
445001,1,2,0.18376722817764166,653
445001,1,3,0.16796267496111975,643
445001,1,4,0.13486842105263158,608
445001,1,5,0.0996309963099631,542
445001,1,6,0.07777777777777778,450
445001,1,7,0.043731778425655975,343
445001,1,8,0,235
445001,1,9,0,141
445001,1,10,0,74
445001,1,11,0,21
445001,2,0,0.19969512195121952,656
445001,2,1,0.17378048780487804,656
445001,2,2,0.19142419601837674,653
445001,2,3,0.18040435458786935,643
445001,2,4,0.15953947368421054,608
445001,2,5,0.09778597785977859,542
445001,2,6,0.07555555555555556,450
445001,2,7,0.03498542274052478,343
445001,2,8,0,235
445001,2,9,0,141
445001,2,10,0,74
445001,2,11,0,21
445001,3,0,0.19817073170731708,656
445001,3,1,0.20426829268292682,656
445001,3,2,0.16845329249617153,653
445001,3,3,0.17262830482115085,643
445001,3,4,0.14309210526315788,608
445001,3,5,0.1070110701107011,542
445001,3,6,0.07555555555555556,450
445001,3,7,0.037900874635568516,343
445001,3,8,0,235
445001,3,9,0,141
445001,3,10,0,74
445001,3,11,0,21
445001,4,0,0.20121951219512196,656
445001,4,1,0.1875,656
445001,4,2,0.19142419601837674,653
445001,4,3,0.16796267496111975,643
445001,4,4,0.15625,608
445001,4,5,0.11254612546125461,542
445001,4,6,0.06222222222222222,450
445001,4,7,0.03206997084548105,343
445001,4,8,0,235
445001,4,9,0,141
445001,4,10,0,74
445001,4,11,0,21
445001,5,0,0.17378048780487804,656
445001,5,1,0.15853658536585366,656
445001,5,2,0.1776416539050536,653
445001,5,3,0.15241057542768274,643
445001,5,4,0.15296052631578946,608
445001,5,5,0.11992619926199262,542
445001,5,6,0.07555555555555556,450
445001,5,7,0.026239067055393587,343
445001,5,8,0,235
445001,5,9,0,141
445001,5,10,0,74
445001,5,11,0,21
450001,1,0,0.16158536585365854,656
450001,1,1,0.17835365853658536,656
450001,1,2,0.1546707503828484,653
450001,1,3,0.17418351477449456,643
450001,1,4,0.15296052631578946,608
450001,1,5,0.11992619926199262,542
450001,1,6,0.08444444444444445,450
450001,1,7,0.03498542274052478,343
450001,1,8,0,235
450001,1,9,0,141
450001,1,10,0,74
450001,1,11,0,21
450001,2,0,0.14786585365853658,656
450001,2,1,0.18597560975609756,656
450001,2,2,0.1669218989280245,653
450001,2,3,0.15085536547433903,643
450001,2,4,0.14309210526315788,608
450001,2,5,0.12915129151291513,542
450001,2,6,0.06888888888888889,450
450001,2,7,0.037900874635568516,343
450001,2,8,0,235
450001,2,9,0,141
450001,2,10,0,74
450001,2,11,0,21
450001,3,0,0.18292682926829268,656
450001,3,1,0.18140243902439024,656
450001,3,2,0.1439509954058193,653
450001,3,3,0.15552099533437014,643
450001,3,4,0.15953947368421054,608
450001,3,5,0.12915129151291513,542
450001,3,6,0.06444444444444444,450
450001,3,7,0.037900874635568516,343
450001,3,8,0,235
450001,3,9,0,141
450001,3,10,0,74
450001,3,11,0,21
450001,4,0,0.15548780487804878,656
450001,4,1,0.18902439024390244,656
450001,4,2,0.18223583460949463,653
450001,4,3,0.17729393468118196,643
450001,4,4,0.15460526315789475,608
450001,4,5,0.12361623616236163,542
450001,4,6,0.07555555555555556,450
450001,4,7,0.03206997084548105,343
450001,4,8,0,235
450001,4,9,0,141
450001,4,10,0,74
450001,4,11,0,21
450001,5,0,0.1600609756097561,656
450001,5,1,0.18140243902439024,656
450001,5,2,0.17457886676875958,653
450001,5,3,0.16018662519440124,643
450001,5,4,0.15625,608
450001,5,5,0.1088560885608856,542
450001,5,6,0.08222222222222222,450
450001,5,7,0.026239067055393587,343
450001,5,8,0,235
450001,5,9,0,141
450001,5,10,0,74
450001,5,11,0,21
455001,1,0,0.17530487804878048,656
455001,1,1,0.15853658536585366,656
455001,1,2,0.1807044410413476,653
455001,1,3,0.16640746500777606,643
455001,1,4,0.15953947368421054,608
455001,1,5,0.11439114391143912,542
455001,1,6,0.08222222222222222,450
455001,1,7,0.023323615160349854,343
455001,1,8,0,235
455001,1,9,0,141
455001,1,10,0,74
455001,1,11,0,21
455001,2,0,0.15396341463414634,656
455001,2,1,0.1798780487804878,656
455001,2,2,0.1807044410413476,653
455001,2,3,0.16018662519440124,643
455001,2,4,0.14967105263157895,608
455001,2,5,0.11623616236162361,542
455001,2,6,0.07555555555555556,450
455001,2,7,0.03206997084548105,343
455001,2,8,0,235
455001,2,9,0,141
455001,2,10,0,74
455001,2,11,0,21
455001,3,0,0.18292682926829268,656
455001,3,1,0.1798780487804878,656
455001,3,2,0.17611026033690658,653
455001,3,3,0.15085536547433903,643
455001,3,4,0.17105263157894737,608
455001,3,5,0.11623616236162361,542
455001,3,6,0.08222222222222222,450
455001,3,7,0.026239067055393587,343
455001,3,8,0,235
455001,3,9,0,141
455001,3,10,0,74
455001,3,11,0,21
455001,4,0,0.16310975609756098,656
455001,4,1,0.18292682926829268,656
455001,4,2,0.17611026033690658,653
455001,4,3,0.16951788491446346,643
455001,4,4,0.15296052631578946,608
455001,4,5,0.11254612546125461,542
455001,4,6,0.07111111111111111,450
455001,4,7,0.029154518950437316,343
455001,4,8,0,235
455001,4,9,0,141
455001,4,10,0,74
455001,4,11,0,21
455001,5,0,0.17073170731707318,656
455001,5,1,0.18140243902439024,656
455001,5,2,0.1990811638591118,653
455001,5,3,0.16018662519440124,643
455001,5,4,0.14802631578947367,608
455001,5,5,0.11254612546125461,542
455001,5,6,0.08222222222222222,450
455001,5,7,0.037900874635568516,343
455001,5,8,0,235
455001,5,9,0,141
455001,5,10,0,74
455001,5,11,0,21
460001,1,0,0.21036585365853658,656
460001,1,1,0.1676829268292683,656
460001,1,2,0.18989280245022971,653
460001,1,3,0.15863141524105753,643
460001,1,4,0.14473684210526316,608
460001,1,5,0.11070110701107011,542
460001,1,6,0.07777777777777778,450
460001,1,7,0.029154518950437316,343
460001,1,8,0,235
460001,1,9,0,141
460001,1,10,0,74
460001,1,11,0,21
460001,2,0,0.1600609756097561,656
460001,2,1,0.18140243902439024,656
460001,2,2,0.17151607963246554,653
460001,2,3,0.16174183514774496,643
460001,2,4,0.13157894736842105,608
460001,2,5,0.11070110701107011,542
460001,2,6,0.08,450
460001,2,7,0.029154518950437316,343
460001,2,8,0,235
460001,2,9,0,141
460001,2,10,0,74
460001,2,11,0,21
460001,3,0,0.19817073170731708,656
460001,3,1,0.18140243902439024,656
460001,3,2,0.1669218989280245,653
460001,3,3,0.15396578538102643,643
460001,3,4,0.15460526315789475,608
460001,3,5,0.0996309963099631,542
460001,3,6,0.07777777777777778,450
460001,3,7,0.03498542274052478,343
460001,3,8,0,235
460001,3,9,0,141
460001,3,10,0,74
460001,3,11,0,21
460001,4,0,0.19359756097560976,656
460001,4,1,0.14786585365853658,656
460001,4,2,0.1638591117917305,653
460001,4,3,0.16174183514774496,643
460001,4,4,0.14309210526315788,608
460001,4,5,0.11070110701107011,542
460001,4,6,0.08444444444444445,450
460001,4,7,0.04081632653061224,343
460001,4,8,0,235
460001,4,9,0,141
460001,4,10,0,74
460001,4,11,0,21
460001,5,0,0.1875,656
460001,5,1,0.19207317073170732,656
460001,5,2,0.18223583460949463,653
460001,5,3,0.15707620528771385,643
460001,5,4,0.15789473684210525,608
460001,5,5,0.1070110701107011,542
460001,5,6,0.08888888888888889,450
460001,5,7,0.029154518950437316,343
460001,5,8,0,235
460001,5,9,0,141
460001,5,10,0,74
460001,5,11,0,21
465001,1,0,0.17530487804878048,656
465001,1,1,0.1875,656
465001,1,2,0.19142419601837674,653
465001,1,3,0.14152410575427682,643
465001,1,4,0.14144736842105263,608
465001,1,5,0.1088560885608856,542
465001,1,6,0.06666666666666667,450
465001,1,7,0.037900874635568516,343
465001,1,8,0,235
465001,1,9,0,141
465001,1,10,0,74
465001,1,11,0,21
465001,2,0,0.1524390243902439,656
465001,2,1,0.17530487804878048,656
465001,2,2,0.16232771822358347,653
465001,2,3,0.16018662519440124,643
465001,2,4,0.14638157894736842,608
465001,2,5,0.12361623616236163,542
465001,2,6,0.06222222222222222,450
465001,2,7,0.037900874635568516,343
465001,2,8,0,235
465001,2,9,0,141
465001,2,10,0,74
465001,2,11,0,21
465001,3,0,0.16615853658536586,656
465001,3,1,0.16615853658536586,656
465001,3,2,0.1807044410413476,653
465001,3,3,0.16640746500777606,643
465001,3,4,0.14802631578947367,608
465001,3,5,0.11992619926199262,542
465001,3,6,0.08666666666666667,450
465001,3,7,0.03206997084548105,343
465001,3,8,0,235
465001,3,9,0,141
465001,3,10,0,74
465001,3,11,0,21
465001,4,0,0.18445121951219512,656
465001,4,1,0.19207317073170732,656
465001,4,2,0.16845329249617153,653
465001,4,3,0.14618973561430793,643
465001,4,4,0.14144736842105263,608
465001,4,5,0.11623616236162361,542
465001,4,6,0.06888888888888889,450
465001,4,7,0.04081632653061224,343
465001,4,8,0,235
465001,4,9,0,141
465001,4,10,0,74
465001,4,11,0,21
465001,5,0,0.18902439024390244,656
465001,5,1,0.18597560975609756,656
465001,5,2,0.17917304747320062,653
465001,5,3,0.17573872472783825,643
465001,5,4,0.1069078947368421,608
465001,5,5,0.11992619926199262,542
465001,5,6,0.08444444444444445,450
465001,5,7,0.029154518950437316,343
465001,5,8,0,235
465001,5,9,0,141
465001,5,10,0,74
465001,5,11,0,21
470001,1,0,0.16310975609756098,656
470001,1,1,0.19207317073170732,656
470001,1,2,0.18989280245022971,653
