samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.63023689088628,2.40614712598701,0,0.412118581780387,0,0.483573509772143,0,0.159753373993724,0.4,0,10,1.63293210059634,0,1,20,0,-8680.80938767334,-7752.77625250122,-928.033135172119
11,2.63023689088628,2.46647373550258,0,0.409713410940112,0,0.43757234772552,0,0.159753373993724,0.4,0,10,2.22056651799424,0,1,20,0,-6672.32810697406,-5639.21128021912,-1033.11682675494
21,2.84313642777791,2.97033702675954,0,0.409713410940112,0,0.43757234772552,0,0.145464148688257,0.4,0,10,2.22056651799424,0,1,20,0,-6188.12571910943,-5092.62060867891,-1095.50511043052
31,2.84313642777791,3.17553994178593,0,0.390534071235705,0,0.392517969325124,0,0.145464148688257,0.4,0,10,2.22056651799424,0,1,20,0,-5938.55479220529,-4700.98928811795,-1237.56550408734
41,3.23928369492549,3.17553994178593,0,0.377400600700482,0,0.371370096189198,0,0.122183135015446,0.4,0,10,2.22056651799424,0,1,20,0,-5597.39547042601,-4341.84571266945,-1255.54975775655
51,3.23928369492549,3.25980802519249,0,0.377400600700482,0,0.346275319048498,0,0.122183135015446,0.4,0,10,2.22056651799424,0,1,20,0,-5513.51747021247,-4217.62140776828,-1295.89606244419
61,3.23928369492549,3.42140858682175,0,0.377400600700482,0,0.346275319048498,0,0.122183135015446,0.4,0,10,2.22056651799424,0,1,20,0,-5404.06506385279,-4128.36072993812,-1275.70433391467
71,3.23928369492549,3.48622130680225,0,0.377400600700482,0,0.351814220095369,0,0.101378231026854,0.4,0,10,2.22056651799424,0,1,20,0,-5336.14530746653,-4050.7262186122,-1285.41908885433
81,3.23928369492549,3.62864380482536,0,0.377996759052231,0,0.351814220095369,0,0.0852982798921974,0.4,0,10,2.22056651799424,0,1,20,0,-5329.03634750762,-4037.60601037958,-1291.43033712803
91,3.23928369492549,3.57913518479562,0,0.377996759052231,0,0.351814220095369,0,0.0852982798921974,0.4,0,10,2.22056651799424,0,1,20,0,-5249.68513277937,-3956.27489581991,-1293.41023695945
