j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,2.060339660339662,2,0,7,2113.1559189640748,1.0079279765397724,1.0188505280682285
2,1,8.064535464535464,7,0,21,722.9491304204474,1.0047145308993852,1.0133758692669006
3,1,28.41478521478521,29,7,48,518.6407470271059,1.0054314559118918,1.0113505905156135
4,1,58.4957042957043,59,39,78,1230.3225341224495,1.002252632055557,1.0065943015616954
5,1,31.202397602397614,31,14,50,605.4876533350293,1.0097995804114681,1.0268561129552047
6,1,18.605994005993995,18,9,32,1601.3615341822772,1.0026376245879425,1.008942178187213
7,1,107.82917082917083,108,85,131,1202.3518985298153,1.0082255128647033,1.0236451364059798
8,1,75.45994005994005,76,54,97.89999999999964,1097.4415295077324,1.0039036340585987,1.0107563741588257
9,1,174.37222777222775,175,156,192,1489.5661619626942,1.0206656500194258,1.056939955641611
10,1,36.47772227772229,36,17,58,639.2007672665458,1.0272612829822174,1.0738653563500633
11,1,23.238161838161815,23,10,39,568.0971612184783,1.0221987573340736,1.0612078978349098
12,1,6.909290709290709,7,4,11,1843.7325195567996,1.378038900059996,1.8351234094560351
