samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.51189964997469,0,0.42077963911513,0,0.482568854483385,0,0,0.063204097900645,0,8,1.60277275703306,0.001,0.5,0.5,0,-11625.1859736336,-10883.6806196561,-741.50535397748
501,0,2.27532035332793,0,0.367603108277881,0,0.217361820235676,0,0,0.00684568311877131,0,8,0.812299168891793,0.001,0.5,0.5,0,-3520.15121946029,-2006.96941222802,-1513.18180723227
1001,0,2.22873974064781,0,0.368946553636548,0,0.227406350989016,0,0,0.0141109970968886,0,8,0.812299168891793,0.001,0.5,0.5,0,-3439.4487325727,-1984.12202865403,-1455.32670391868
1501,0,2.33452299502231,0,0.403933903416212,0,0.198268194296347,0,0,0.0173412074607265,0,8,0.799388991383117,0.001,0.5,0.5,0,-3471.13478336194,-1958.04592619913,-1513.08885716281
2001,0,2.20657846498497,0,0.322774276984169,0,0.170020197998779,0,0,0.0205541851896026,0,8,0.806227061826557,0.001,0.5,0.5,0,-3458.22450046749,-1981.32676357316,-1476.89773689433
2501,0,2.11352885625406,0,0.375924626248534,0,0.161842960244774,0,0,0.00618304209058993,0,8,0.810856155166311,0.001,0.5,0.5,0,-3423.2904702578,-1999.54273084354,-1423.74773941425
3001,0,2.04594341216351,0,0.385915285028852,0,0.130249103329141,0,0,0.0223840003928763,0,8,0.815792070520763,0.001,0.5,0.5,0,-3427.46068084934,-2026.24648677455,-1401.21419407479
3501,0,2.14031796635081,0,0.334688256115633,0,0.140977589302527,0,0,0.025236232724368,0,8,0.798626316928887,0.001,0.5,0.5,0,-3398.76139446328,-2002.01719283057,-1396.74420163271
4001,0,2.01114541492148,0,0.344496851253464,0,0.111154011366529,0,0,0.0153017451548702,0,8,0.825268857658127,0.001,0.5,0.5,0,-3342.67415172001,-2028.86045093619,-1313.81370078382
4501,0,2.1364110543461,0,0.399876871565175,0,0.124132473141707,0,0,0.0297147745203863,0,8,0.823144820068958,0.001,0.5,0.5,0,-3287.61940624103,-2014.50508179898,-1273.11432444205
5001,0,1.9091613253701,0,0.352376564677659,0,0.0958824211830226,0,0,0.0209470949667051,0,8,0.774066847309085,0.001,0.5,0.5,0,-3398.54742274905,-2004.45228141242,-1394.09514133663
5501,0,1.83210539946531,0,0.35048535547027,0,0.0893899687177539,0,0,0.0170861744019713,0,8,0.807106282128556,0.001,0.5,0.5,0,-3432.23867248998,-2024.29710848125,-1407.94156400873
6001,0,1.91414439721864,0,0.448100787392234,0,0.0336608485933285,0,0,0.040186735263144,0,8,0.803783903868632,0.001,0.5,0.5,0,-3391.00719171927,-2032.47173739863,-1358.53545432064
6501,0,1.81228234513474,0,0.532420489287823,0,0.0144548017824325,0,0,0.0332978517237189,0,8,0.822874718422244,0.001,0.5,0.5,0,-3495.84091444162,-2062.96130387776,-1432.87961056386
7001,0,1.96179984459639,0,0.479679008221837,0,0.0590683606006574,0,0,0.0239784600282926,0,8,0.834183224300073,0.001,0.5,0.5,0,-3357.16938238417,-2043.04656375084,-1314.12281863332
7501,0,1.91797111953513,0,0.417201785236221,0,0.0657577119804165,0,0,0.0376896586919656,0,8,0.795667167814814,0.001,0.5,0.5,0,-3535.46897321093,-2019.21408772943,-1516.25488548151
8001,0,1.98770526744694,0,0.383246528092814,0,0.0944493963487242,0,0,0.014472927335384,0,8,0.79581094477123,0.001,0.5,0.5,0,-3398.53994938993,-2008.09227471926,-1390.44767467066
8501,0,1.88320181562271,0,0.403531154074139,0,0.091061029189698,0,0,0.0187509985225724,0,8,0.852025993918001,0.001,0.5,0.5,0,-3532.22123302396,-2053.12193933575,-1479.09929368821
9001,0,1.9555691982044,0,0.428314000650418,0,0.0735114915276929,0,0,0.0253689190591251,0,8,0.812340398520733,0.001,0.5,0.5,0,-3498.98240888844,-2059.93625738815,-1439.04615150029
9501,0,1.93320308747635,0,0.447235988377649,0,0.0698765634670408,0,0,0.019203151056553,0,8,0.836617868550729,0.001,0.5,0.5,0,-3472.77435576449,-2034.64262959621,-1438.13172616828
10001,0,1.8752316672212,0,0.451620471294792,0,0.0372162789741472,0,0,0.027433335992782,0,8,0.82299295511908,0.001,0.5,0.5,0,-3449.70407813945,-2070.11994255899,-1379.58413558046
10501,0,1.80746320960939,0,0.442958666809904,0,0.029368846886616,0,0,0.034259390468921,0,8,0.815762948626496,0.001,0.5,0.5,0,-3399.46234978156,-2046.69722063211,-1352.76512914945
11001,0,1.93997220587194,0,0.488223301862079,0,0.0526556802515461,0,0,0.0230962252086039,0,8,0.842052477684173,0.001,0.5,0.5,0,-3386.62671310862,-2062.49321195596,-1324.13350115266
11501,0,1.87810583920386,0,0.403139256165702,0,0.0580605808124998,0,0,0.0338846851772555,0,8,0.78746379166383,0.001,0.5,0.5,0,-3355.24711687492,-2014.32278771338,-1340.92432916154
12001,0,1.8355242363755,0,0.446229279992837,0,0.0401165886498232,0,0,0.0234633030473914,0,8,0.812948385572162,0.001,0.5,0.5,0,-3497.01090732899,-2044.7598433807,-1452.25106394829
12501,0,1.78189042179187,0,0.467471915212193,0,0.0165279668783543,0,0,0.0323034861931687,0,8,0.821654592742882,0.001,0.5,0.5,0,-3440.9510364433,-2062.13297453856,-1378.81806190474
13001,0,1.73621097414455,0,0.512521376427172,0,0.0137601058028056,0,0,0.0145500095582483,0,8,0.834439194432666,0.001,0.5,0.5,0,-3379.84997994086,-2078.03353065698,-1301.81644928388
13501,0,1.64362172292247,0,0.46287507225369,0,0.00394159956659922,0,0,0.0145897964565301,0,8,0.829881521963684,0.001,0.5,0.5,0,-3345.70389331716,-2039.00666913723,-1306.69722417994
14001,0,1.96970482801818,0,0.449678037268064,0,0.0566725495702842,0,0,0.0305120631946647,0,8,0.808271099194664,0.001,0.5,0.5,0,-3389.59348076142,-2060.41990664956,-1329.17357411186
14501,0,1.91272219337472,0,0.434638441077932,0,0.0577871422766583,0,0,0.0305221037247972,0,8,0.812050250207445,0.001,0.5,0.5,0,-3478.99786908255,-2037.56960279639,-1441.42826628615
15001,0,1.95431158351275,0,0.483678685597679,0,0.050204206788158,0,0,0.0318561764716322,0,8,0.790728046842042,0.001,0.5,0.5,0,-3455.60255745621,-2059.21794593353,-1396.38461152268
15501,0,1.99287877097113,0,0.470454684092321,0,0.0570586400996378,0,0,0.0295339140977402,0,8,0.805670932019628,0.001,0.5,0.5,0,-3419.31909039127,-2046.42921336983,-1372.88987702144
16001,0,1.77596473057324,0,0.442962839224236,0,0.0090431371735271,0,0,0.037210512426408,0,8,0.821042363167807,0.001,0.5,0.5,0,-3489.90620620434,-2054.71102278266,-1435.19518342168
16501,0,1.80002607717331,0,0.554108997614436,0,0.006027428897455,0,0,0.0285898097427716,0,8,0.803868036541976,0.001,0.5,0.5,0,-3508.24177972882,-2072.65794233903,-1435.5838373898
17001,0,1.81025920377322,0,0.531070584046297,0,0.00785759366747373,0,0,0.0340313123166693,0,8,0.826212577092688,0.001,0.5,0.5,0,-3465.07974850901,-2075.35720135366,-1389.72254715535
17501,0,1.88825613532494,0,0.455496329051732,0,0.049940687873155,0,0,0.0250162473498441,0,8,0.818186878507216,0.001,0.5,0.5,0,-3306.29346130085,-2030.27417662968,-1276.01928467117
18001,0,1.85969473351401,0,0.438172837539192,0,0.025032122376762,0,0,0.0341327196656517,0,8,0.822453004234237,0.001,0.5,0.5,0,-3501.33813392558,-2051.9415122091,-1449.39662171648
18501,0,1.81785787139903,0,0.492102619791445,0,0.0219720898967433,0,0,0.0272742068137928,0,8,0.791195949491925,0.001,0.5,0.5,0,-3529.71983911021,-2050.05107177678,-1479.66876733343
19001,0,1.75953008718756,0,0.477787857332103,0,0.024836287893666,0,0,0.0315012526068842,0,8,0.81846271175421,0.001,0.5,0.5,0,-3558.24897613915,-2054.70936448834,-1503.53961165082
19501,0,1.80582918940813,0,0.433814157065768,0,0.0318376171550751,0,0,0.028349236716535,0,8,0.801781126810202,0.001,0.5,0.5,0,-3492.95568799314,-2041.45492342708,-1451.50076456606
20001,0,1.72304822580942,0,0.443862020359791,0,0.0133987405979659,0,0,0.0280254844069405,0,8,0.812517592734572,0.001,0.5,0.5,0,-3454.95824364631,-2033.81886477925,-1421.13937886706
20501,0,1.82588081948828,0,0.509378703826624,0,0.0157593202715259,0,0,0.0347535632259672,0,8,0.812605943241056,0.001,0.5,0.5,0,-3414.65782513596,-2048.19903198099,-1366.45879315497
21001,0,1.97433829945486,0,0.447523629692743,0,0.0494951005741263,0,0,0.0316692052632835,0,8,0.810986595934709,0.001,0.5,0.5,0,-3386.48858441735,-2042.6622271237,-1343.82635729366
21501,0,1.82553680802666,0,0.531931304812147,0,0.0161844113354139,0,0,0.0296806741636305,0,8,0.816253034389416,0.001,0.5,0.5,0,-3398.42960304746,-2064.04496622005,-1334.38463682741
22001,0,1.88611949787997,0,0.522675600495877,0,0.030353805876905,0,0,0.0319004017502989,0,8,0.816218673990998,0.001,0.5,0.5,0,-3447.78552951447,-2067.56832894787,-1380.2172005666
22501,0,1.80225135342206,0,0.519119496484719,0,0.00686304842833153,0,0,0.0275015576265856,0,8,0.825123780640501,0.001,0.5,0.5,0,-3428.43318489638,-2068.92144642797,-1359.5117384684
23001,0,1.86062217919424,0,0.451300122875234,0,0.0374405800768978,0,0,0.0226325428502016,0,8,0.796627318935622,0.001,0.5,0.5,0,-3449.16040580841,-2043.46469552083,-1405.69571028759
23501,0,1.91220252500353,0,0.463049737232758,0,0.0620709891645258,0,0,0.0199107203118445,0,8,0.804808552119645,0.001,0.5,0.5,0,-3511.1951589077,-2049.10761076118,-1462.08754814651
24001,0,1.81952713371935,0,0.427525705784438,0,0.0513499402386168,0,0,0.0223741848820564,0,8,0.791919052099351,0.001,0.5,0.5,0,-3452.28101135393,-2022.37405026301,-1429.90696109092
24501,0,1.93505456275319,0,0.429389666001348,0,0.0750682288174829,0,0,0.0208594292885143,0,8,0.816797356622429,0.001,0.5,0.5,0,-3485.74161453426,-2043.01041496702,-1442.73119956723
25001,0,1.95280065011285,0,0.463326791823817,0,0.04643719077693,0,0,0.035490421531662,0,8,0.822569596073353,0.001,0.5,0.5,0,-3374.46198674253,-2040.67774949632,-1333.78423724621
25501,0,1.80151297945966,0,0.446517056796736,0,0.0176174207052756,0,0,0.0403956404442027,0,8,0.817571227968119,0.001,0.5,0.5,0,-3324.97986230101,-2039.10815609121,-1285.8717062098
