samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.01674725173121,0,0.467413078137189,0,0.440737737243401,0,0,0.0164028304051116,0,8,1.30890566197978,0.001,0.5,0.5,0,-11016.1986836761,-10151.0542950196,-865.14438865647
501,0,2.0803816604706,0,0.359125473675807,0,0.169688767938703,0,0,0.00393898425607681,0,8,0.816726967315006,0.001,0.5,0.5,0,-3409.70006207422,-2012.90033731558,-1396.79972475864
1001,0,2.06351888743507,0,0.360422457816981,0,0.174810260734645,0,0,0.0190650260321623,0,8,0.816726967315006,0.001,0.5,0.5,0,-3394.62093243109,-1975.58180181844,-1419.03913061265
1501,0,2.05514053648087,0,0.404709439836341,0,0.155635896993863,0,0,0.0115657503124504,0,8,0.773483171450091,0.001,0.5,0.5,0,-3346.09967033512,-1997.13576523844,-1348.96390509668
2001,0,2.03493649379043,0,0.393285491807243,0,0.121133011601788,0,0,0.0164712760332099,0,8,0.820885006744434,0.001,0.5,0.5,0,-3400.28687285583,-2018.36069989023,-1381.9261729656
2501,0,2.11814718948505,0,0.461679502884646,0,0.108004694406017,0,0,0.019266253333946,0,8,0.818811840887799,0.001,0.5,0.5,0,-3433.21568059433,-2045.33523592881,-1387.88044466552
3001,0,2.06245735942492,0,0.446154932902157,0,0.0863886524353504,0,0,0.0306704795959873,0,8,0.810794261325619,0.001,0.5,0.5,0,-3335.56748193653,-2059.93684210245,-1275.63063983408
3501,0,2.09608707251904,0,0.397304258530539,0,0.112891245574616,0,0,0.0176734767946,0,8,0.817012567452557,0.001,0.5,0.5,0,-3355.24340229448,-2049.53431614883,-1305.70908614565
4001,0,1.98453260810644,0,0.411266953498337,0,0.0954862325126526,0,0,0.0199599481651253,0,8,0.807242026730878,0.001,0.5,0.5,0,-3502.31962026358,-2039.47687419014,-1462.84274607344
4501,0,1.84324413352493,0,0.430125924199437,0,0.025458001139411,0,0,0.0371239552614797,0,8,0.78641168262743,0.001,0.5,0.5,0,-3389.87457116781,-2032.09475741585,-1357.77981375195
5001,0,1.91170394846927,0,0.478220300894218,0,0.000762410618676026,0,0,0.0527283090419917,0,8,0.777061579266397,0.001,0.5,0.5,0,-3355.67456990502,-2014.82824666888,-1340.84632323614
5501,0,2.00815300384101,0,0.409711818162536,0,0.00257520035625577,0,0,0.0620115629240079,0,8,0.783803324972842,0.001,0.5,0.5,0,-3227.44937878846,-1983.40921132886,-1244.04016745961
6001,0,2.17935124263994,0,0.502163127625637,0,0.00186428705956407,0,0,0.0874002834401779,0,8,0.812211089024681,0.001,0.5,0.5,0,-3277.46541146748,-2012.58693035927,-1264.87848110821
6501,0,1.99736967862209,0,0.470867666702457,0,7.57342165310995e-05,0,0,0.0674092011048346,0,8,0.774595876527784,0.001,0.5,0.5,0,-3236.67510196425,-1987.03300990134,-1249.64209206291
7001,0,2.16625736683704,0,0.388372635426404,0,0.00802976815461595,0,0,0.0827789661524218,0,8,0.77379969623715,0.001,0.5,0.5,0,-3224.06436482952,-1959.45735200791,-1264.6070128216
7501,0,2.15997182035619,0,0.385212962191116,0,0.000822230710770969,0,0,0.0825871273459938,0,8,0.75685632303696,0.001,0.5,0.5,0,-3135.0035754503,-1936.18196112346,-1198.82161432684
8001,0,2.24059923228505,0,0.372399325150845,0,0.00437513353014683,0,0,0.0924211774528534,0,8,0.758043501736645,0.001,0.5,0.5,0,-3159.93458915485,-1952.89265632196,-1207.04193283289
8501,0,2.27625595212387,0,0.40126169781227,0,0.00362317025152071,0,0,0.0939415942512357,0,8,0.775870290632333,0.001,0.5,0.5,0,-3162.30967129367,-1965.58577677489,-1196.72389451878
9001,0,2.17269100456358,0,0.431239679138873,0,0.00229811400167876,0,0,0.0721630278972377,0,8,0.783086235405454,0.001,0.5,0.5,0,-3118.12729031545,-1990.46051467426,-1127.66677564119
9501,0,2.21020139516349,0,0.479043913903295,0,0.00728442661142774,0,0,0.0857758487970131,0,8,0.791622491544921,0.001,0.5,0.5,0,-3206.02481947645,-1983.68649725116,-1222.33832222529
10001,0,2.22140965826303,0,0.472030103642125,0,0.000557158396238429,0,0,0.0877043950228247,0,8,0.797971632015916,0.001,0.5,0.5,0,-3186.89720671882,-1974.79389827706,-1212.10330844176
10501,0,2.27969910876306,0,0.533781730898375,0,0.00428594837968583,0,0,0.0848659165500632,0,8,0.807118635259236,0.001,0.5,0.5,0,-3226.84471190074,-2020.90412757039,-1205.94058433034
11001,0,1.98658394299887,0,0.475498307447695,0,0.00182321307324784,0,0,0.0641160324489482,0,8,0.769144279720555,0.001,0.5,0.5,0,-3300.56231746046,-1988.80275253208,-1311.75956492838
11501,0,2.06265049373956,0,0.475139327780785,0,0.00357393012328199,0,0,0.0712595606776889,0,8,0.777458223188853,0.001,0.5,0.5,0,-3295.6598769867,-1996.74608026018,-1298.91379672652
12001,0,2.10269574848159,0,0.461523529003264,0,0.000557665847007389,0,0,0.0699856356812795,0,8,0.777168698233759,0.001,0.5,0.5,0,-3192.21349789251,-1999.91947924764,-1192.29401864487
12501,0,2.06198379260772,0,0.528447799124139,0,1.89984988997467e-05,0,0,0.0661567506097649,0,8,0.769721022371155,0.001,0.5,0.5,0,-3211.50758934527,-1981.34913745417,-1230.1584518911
13001,0,2.08040785008705,0,0.47706790784266,0,0.00296146048329521,0,0,0.0737210085284838,0,8,0.771644889879287,0.001,0.5,0.5,0,-3214.93956089584,-2001.49765226294,-1213.4419086329
13501,0,2.04899479411452,0,0.459388424573981,0,0.0030519558816988,0,0,0.0687776037737715,0,8,0.779950239082501,0.001,0.5,0.5,0,-3202.98324279175,-1982.6705822834,-1220.31266050834
14001,0,2.19741426435993,0,0.465498049057126,0,0.000415483787456319,0,0,0.0861068644262799,0,8,0.779298438051217,0.001,0.5,0.5,0,-3141.55705707837,-1977.58427391486,-1163.97278316351
14501,0,2.1134869165274,0,0.500036443767764,0,0.000261971536778181,0,0,0.0733484881837777,0,8,0.77938081026352,0.001,0.5,0.5,0,-3225.06508653145,-1990.58351224971,-1234.48157428174
15001,0,2.15134310184045,0,0.466116362013701,0,0.00102030377460326,0,0,0.0806135826239114,0,8,0.770576913273793,0.001,0.5,0.5,0,-3200.8311167668,-1967.71646023275,-1233.11465653406
15501,0,2.13805744553596,0,0.400828131366489,0,0.00445631318531073,0,0,0.0789407287147404,0,8,0.777898061055605,0.001,0.5,0.5,0,-3189.86315264341,-1989.75434890035,-1200.10880374306
16001,0,2.07016660633794,0,0.364402583975983,0,0.00250480909290216,0,0,0.0809748766845722,0,8,0.752151149551073,0.001,0.5,0.5,0,-3227.68931775434,-1974.10796926567,-1253.58134848867
16501,0,2.16632307888428,0,0.410799350601023,0,0.000298378260002265,0,0,0.0925672164671206,0,8,0.747519606739455,0.001,0.5,0.5,0,-3161.78113226587,-1949.95714178616,-1211.82399047971
17001,0,2.20388949027108,0,0.389603604705923,0,0.000210650811930051,0,0,0.0997094217344178,0,8,0.763483484832147,0.001,0.5,0.5,0,-3182.63934853474,-1945.38845375897,-1237.25089477577
17501,0,2.1230208717857,0,0.42161862876578,0,0.0010873340588974,0,0,0.0912522030319527,0,8,0.776641603185647,0.001,0.5,0.5,0,-3243.70507159406,-1961.68576899446,-1282.0193025996
18001,0,2.25757857100187,0,0.449463792251951,0,0.00250016534757503,0,0,0.0911013673888342,0,8,0.783315268126212,0.001,0.5,0.5,0,-3225.11340329935,-1962.08150407914,-1263.0318992202
18501,0,2.24136204307779,0,0.468077508267493,0,0.00329690353778771,0,0,0.0866309895493743,0,8,0.773157003246001,0.001,0.5,0.5,0,-3148.99078965278,-1972.33885001833,-1176.65193963445
19001,0,2.19190950383201,0,0.398036987854444,0,0.00156709175075826,0,0,0.0922126128277158,0,8,0.78608781452823,0.001,0.5,0.5,0,-3195.15818630813,-1956.27356364643,-1238.8846226617
19501,0,2.19713049164492,0,0.45306862556167,0,0.00398126050744837,0,0,0.0834118512702796,0,8,0.790299985102397,0.001,0.5,0.5,0,-3194.55863209859,-1991.05286896693,-1203.50576313166
20001,0,2.16174449202876,0,0.397757808811303,0,0.00223158278980745,0,0,0.0823850382672759,0,8,0.759921803923055,0.001,0.5,0.5,0,-3177.17290780614,-1937.79972383959,-1239.37318396655
20501,0,2.09521483659885,0,0.434635556698978,0,0.000762554890414537,0,0,0.0711470384373421,0,8,0.802010317558356,0.001,0.5,0.5,0,-3240.01807401102,-1984.2459436925,-1255.77213031852
21001,0,2.16306347294757,0,0.4429177185463,0,0.00299968138682422,0,0,0.0851001630244559,0,8,0.794204218048251,0.001,0.5,0.5,0,-3181.61563355049,-1977.49111053765,-1204.12452301284
21501,0,2.18755615025872,0,0.370791048016909,0,0.00591663041871272,0,0,0.0856584669345847,0,8,0.785273351257186,0.001,0.5,0.5,0,-3084.94027750205,-1940.55885213896,-1144.38142536309
22001,0,2.19490726434985,0,0.380008390003831,0,0.00542269619621822,0,0,0.0809498233867271,0,8,0.740373914478592,0.001,0.5,0.5,0,-3173.40758722974,-1947.34061863175,-1226.06696859799
22501,0,2.2204585635414,0,0.401469400241013,0,0.00242986304906882,0,0,0.0956393687293995,0,8,0.772026295210393,0.001,0.5,0.5,0,-3183.08408023943,-1946.98424935882,-1236.09983088061
23001,0,2.09225691787957,0,0.429377397242339,0,0.000792580457471766,0,0,0.0814523384775916,0,8,0.75676274830456,0.001,0.5,0.5,0,-3178.28425682645,-1951.17550660465,-1227.1087502218
23501,0,2.20883538200009,0,0.450619018998152,0,7.11919620196897e-05,0,0,0.0834718868932357,0,8,0.786007245928445,0.001,0.5,0.5,0,-3139.48317391872,-1967.1495461212,-1172.33362779753
24001,0,2.18686932491149,0,0.494721068748661,0,0.00260568569977888,0,0,0.074188552295923,0,8,0.759799301995723,0.001,0.5,0.5,0,-3167.15070830127,-1993.5850031325,-1173.56570516878
