samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.34721730608055,2.81044891140735,0,0.463540747532732,0,0.41772229747992,0,0.144540895257263,0.0536281899164113,0,12,1.27106003285863,0.001,0,0,2.55403863294982,0,0.40478182621175,0,0.441661681063853,0,0,0.0973972621556908,0,8,1.52731956580711,0.001,0.5,0.5,0,-21609.5941556562,-20438.9647092655,-1170.62944639075
501,2.21471780805413,4.18914773677074,0,0.394527932201002,0,0.699750624491863,0,0.148195230500914,0.0150781158954483,0,12,1.45133523209433,0.001,0,0,2.20731766957838,0,0.412000108881859,0,0.160825717321539,0,0,0.0339254285386972,0,8,0.906451285477232,0.001,0.5,0.5,0,-6469.08949811762,-4905.81397734959,-1563.27552076803
1001,2.14477115145708,4.92259087993272,0,0.366515082548172,0,0.72232610281646,0,0.243653346057957,0.0103299319345098,0,12,1.3181854999118,0.001,0,0,1.89989631333818,0,0.425077711678148,0,0.110407449995342,0,0,0.0205011138329821,0,8,0.910229631659521,0.001,0.5,0.5,0,-6320.37068030607,-4730.04643102975,-1590.32424927633
1501,2.22265965349814,5.07049737192305,0,0.347398966913807,0,0.675542118519722,0,0.28425644657699,0.0128245305706519,0,12,1.20805960946633,0.001,0,0,1.75053384036548,0,0.377700305814311,0,0.0996969707629109,0,0,0.0225315677157058,0,8,0.869393744816515,0.001,0.5,0.5,0,-6340.94168307891,-4669.58463126194,-1671.35705181698
2001,2.10214579702502,5.09277949898926,0,0.335266626704358,0,0.722022760003045,0,0.312300120517245,0.00961490484883548,0,12,1.2239965453258,0.001,0,0,1.82594306138255,0,0.353237810468642,0,0.106985039788505,0,0,0.0336244576084164,0,8,0.869393744816515,0.001,0.5,0.5,0,-6274.16659946295,-4659.77542443675,-1614.3911750262
2501,2.06971080479378,5.45746378268706,0,0.325257607735495,0,0.720394668161226,0,0.342299256979967,0.0108262704190438,0,12,1.2239965453258,0.001,0,0,1.91194040330477,0,0.316027196672878,0,0.119681131200861,0,0,0.0344812368952844,0,8,0.852384083063953,0.001,0.5,0.5,0,-6277.67562416094,-4646.80803645617,-1630.86758770478
3001,1.84086969086908,5.27605568542418,0,0.312040246596185,0,0.631676174945897,0,0.362297023194984,0.0237318664988505,0,12,1.24928746475844,0.001,0,0,1.77723462079667,0,0.331197666694047,0,0.112214237289695,0,0,0.0164224595970673,0,8,0.830186813497452,0.001,0.5,0.5,0,-6253.8706142465,-4643.6301701142,-1610.24044413229
3501,1.95612983299771,5.52311683378479,0,0.329483279771084,0,0.721193817059381,0,0.29714749811349,0.0182502399563656,0,12,1.14672790666629,0.001,0,0,1.77052439060116,0,0.334868668974681,0,0.0918047883168405,0,0,0.0347602644896828,0,8,0.830755104316897,0.001,0.5,0.5,0,-6267.38429942939,-4607.90412193505,-1659.48017749435
4001,2.00717108125742,5.57276652470466,0,0.298071054113436,0,0.702735044665922,0,0.373951147856627,0.0252971163097516,0,12,1.1543255125786,0.001,0,0,1.72348514935842,0,0.314083251375747,0,0.0854604756871463,0,0,0.0372006969177355,0,8,0.875591842842193,0.001,0.5,0.5,0,-6262.28918184539,-4581.20860749993,-1681.08057434546
4501,1.8319860925458,5.33258734865972,0,0.263882987037098,0,0.686829348192373,0,0.362542198195099,0.0251750475889477,0,12,1.21748378329017,0.001,0,0,1.65849154384893,0,0.351866414947188,0,0.0848819717459359,0,0,0.0154017278806175,0,8,0.865717746229397,0.001,0.5,0.5,0,-6298.13989645202,-4638.574561553,-1659.56533489902
5001,1.65290256963894,4.86205026242179,0,0.237761720863282,0,0.634399342031974,0,0.316403376232618,0.0166143329958096,0,12,1.16434069664427,0.001,0,0,1.5924752017005,0,0.359002463867392,0,0.0848790934966827,0,0,0.00733131568720199,0,8,0.873355598942167,0.001,0.5,0.5,0,-6266.38317273925,-4618.15166221867,-1648.23151052058
5501,1.83627801225961,4.59083091631992,0,0.204125822725619,0,0.68117981930867,0,0.343063150727122,0.0113980408463431,0,12,1.18655983386509,0.001,0,0,1.54621403063234,0,0.354007870339874,0,0.0648712691375291,0,0,0.00832621515835006,0,8,0.862017876134145,0.001,0.5,0.5,0,-6235.52357804647,-4614.35186619593,-1621.17171185054
6001,2.05566328611649,4.2927896301918,0,0.173209049524451,0,0.682826635527824,0,0.352551214367826,0.00358350498392095,0,12,1.17520483925616,0.001,0,0,1.61922873529443,0,0.426283821465882,0,0.0626915051679415,0,0,0.00978372172037646,0,8,0.85898062175342,0.001,0.5,0.5,0,-6238.34381729754,-4601.78785996375,-1636.55595733379
6501,2.01817415482717,4.11310666073196,0,0.134724771524416,0,0.636108637849158,0,0.33836896442332,0.00277265981631897,0,12,1.19976590717278,0.001,0,0,1.68573117371802,0,0.416405007079311,0,0.072233563866064,0,0,0.0145336218466474,0,8,0.869111965258431,0.001,0.5,0.5,0,-6215.27897407111,-4601.05044583709,-1614.22852823402
7001,1.89633417417769,4.24557645807134,0,0.130075372051519,0,0.628278128427591,0,0.359952252399322,0.0102377262826016,0,12,1.15237529732301,0.001,0,0,1.67770612283703,0,0.377075992303793,0,0.074634250312167,0,0,0.0216471531553535,0,8,0.884445455365074,0.001,0.5,0.5,0,-6273.76097101152,-4610.29750396267,-1663.46346704885
7501,2.04018465349584,4.1482852023468,0,0.103782487223926,0,0.616855945058969,0,0.405582678820362,0.00836342299531427,0,12,1.13471200035544,0.001,0,0,1.69978010954048,0,0.369997269614991,0,0.0685028717545657,0,0,0.0223968756669553,0,8,0.876150059329507,0.001,0.5,0.5,0,-6221.68403204052,-4586.61915089412,-1635.0648811464
8001,2.03809543325526,4.14852235484659,0,0.127933648812214,0,0.628100150653648,0,0.404120041948167,0.000630780916356838,0,12,1.18657723372659,0.001,0,0,1.78961643197961,0,0.435713553950463,0,0.0534477635368043,0,0,0.0350823798984883,0,8,0.881291731901666,0.001,0.5,0.5,0,-6256.79821260386,-4635.68024313854,-1621.11796946532
8501,1.72736363506965,4.22118788304925,0,0.0946079134746103,0,0.593429017933922,0,0.476817826302857,0.0013065743074121,0,12,1.09217348731811,0.001,0,0,1.80557298865788,0,0.47023348741496,0,0.069643465559137,0,0,0.0234106102778101,0,8,0.900677588676076,0.001,0.5,0.5,0,-6182.01621115313,-4627.38802988019,-1554.62818127294
9001,1.63221295868929,4.27722791472399,0,0.0678745200985081,0,0.544092407652227,0,0.525270294368441,0.018446116829695,0,12,1.11918139323467,0.001,0,0,1.70169266196734,0,0.422359310186774,0,0.087741567564775,0,0,0.00835752664295695,0,8,0.876596347690057,0.001,0.5,0.5,0,-6202.31324360987,-4609.19959612311,-1593.11364748677
9501,1.72384537063042,4.3511220106611,0,0.0819726644504369,0,0.55368989911138,0,0.535461159054336,0.014406063119772,0,12,1.11425586397036,0.001,0,0,1.67870953384066,0,0.444311975314507,0,0.0778089754049868,0,0,0.00577882688610187,0,8,0.883783917390351,0.001,0.5,0.5,0,-6167.13574851665,-4572.47138184568,-1594.66436667097
10001,1.61156739043025,4.18421931718942,0,0.0877149309816072,0,0.547108825221537,0,0.461356576149335,0.00644747304490349,0,12,1.13836209280656,0.001,0,0,1.71168840322786,0,0.438758710168889,0,0.0738567179815101,0,0,0.0128198011566541,0,8,0.905798603331755,0.001,0.5,0.5,0,-6207.13041119112,-4585.44775652639,-1621.68265466472
10501,1.83808173072563,4.14918944956819,0,0.120357904658429,0,0.563414358926048,0,0.402039557216648,0.00480753539315287,0,12,1.14066465388642,0.001,0,0,1.75018937434581,0,0.416277205611528,0,0.092090127053132,0,0,0.0160829047958296,0,8,0.87358819512324,0.001,0.5,0.5,0,-6220.3047020044,-4626.09409265646,-1594.21060934793
11001,1.89191128563907,4.1832795126094,0,0.110608497337993,0,0.564240465996974,0,0.441644907293724,0.00937672992821234,0,12,1.11795754154902,0.001,0,0,1.6533105946163,0,0.443707052122374,0,0.0703844115651564,0,0,0.00112899833450305,0,8,0.890097477552974,0.001,0.5,0.5,0,-6158.20893498903,-4618.77182852032,-1539.43710646871
11501,1.53409534435038,4.44213089148942,0,0.0724754660365763,0,0.562814165870509,0,0.517855191727865,0.0172654398857581,0,12,1.16991925393969,0.001,0,0,1.71871402276242,0,0.443829480284892,0,0.0929052880252984,0,0,0.000608210412551307,0,8,0.921136498985605,0.001,0.5,0.5,0,-6182.51239995737,-4588.82561425583,-1593.68678570155
12001,1.56205736638522,4.2968649448441,0,0.0764164165287796,0,0.513975135987019,0,0.522995891483783,0.0160780577065639,0,12,1.16015297499504,0.001,0,0,1.76856354029785,0,0.447323722526907,0,0.0826192210721978,0,0,0.009747385243005,0,8,0.888829470408298,0.001,0.5,0.5,0,-6229.91384494845,-4589.15527191331,-1640.75857303514
12501,1.50066324429201,4.19037578070402,0,0.0924857948228198,0,0.518385494821451,0,0.462679839803365,0.0136796537036821,0,12,1.13796333456812,0.001,0,0,1.80240199783708,0,0.467249742850203,0,0.089695711314262,0,0,0.0124299523866216,0,8,0.916859219016118,0.001,0.5,0.5,0,-6254.44191424805,-4617.97400797017,-1636.46790627788
