samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.51747863032752,2.41041725696223,0,0.472481120348925,0,0.409290564742973,0,0.104042482013078,0.0574503225250326,0,12,1.78015964286709,0.001,0,0,2.84451623788555,0,0.436814500567833,0,0.404112696148325,0,0,0.0126742407624242,0,8,1.08991148036476,0.001,0.5,0.5,0,-24661.8393417898,-24061.5417786212,-600.297563168599
1001,1.55989490823311,4.22267456737261,0,0.20990103237783,0,0.725345349933914,0,0.185939379100546,0.00432072075519476,0,12,1.30894117284561,0.001,0,0,2.1705464771189,0,0.468164885737537,0,0.161693167926785,0,0,0.0228582253434022,0,8,0.944325339146813,0.001,0.5,0.5,0,-6332.3667673524,-4809.22614768989,-1523.14061966251
2001,1.3293439930546,4.43857401046515,0,0.124648187362315,0,0.581527851791539,0,0.509143027640355,0.00466593520960646,0,12,1.24603906801812,0.001,0,0,1.96380865524342,0,0.411010783279837,0,0.146731662033169,0,0,0.0109234175020993,0,8,0.880537409137884,0.001,0.5,0.5,0,-6293.36918968307,-4654.45809159322,-1638.91109808985
3001,1.5076889232487,4.29092605550853,0,0.0678663249136668,0,0.573414733186048,0,0.901818293754226,0.00309309529826443,0,12,1.16207350049513,0.001,0,0,1.85105527193927,0,0.443004234696603,0,0.11385426028091,0,0,0.0149200373607693,0,8,0.862762554013683,0.001,0.5,0.5,0,-6116.32451796145,-4592.37738255957,-1523.94713540188
4001,1.45884832275373,4.44492935489953,0,0.0686622236140219,0,0.550807169799121,0,1.06174636141863,0.005849148927405,0,12,1.17220284906124,0.001,0,0,1.87603227067798,0,0.421135392410698,0,0.115880406720452,0,0,0.0143420251777689,0,8,0.873471630538347,0.001,0.5,0.5,0,-6168.87868610918,-4622.39337937679,-1546.48530673239
5001,1.59232102253795,4.60751118805577,0,0.062457674862654,0,0.50426921483525,0,1.4065263497128,0.0129098578358105,0,12,1.13825173277032,0.001,0,0,1.90475256512513,0,0.448506932829653,0,0.107222581796901,0,0,0.0142879295109454,0,8,0.888042395675732,0.001,0.5,0.5,0,-6136.54648860307,-4586.10950823425,-1550.43698036883
6001,1.29825641511721,4.56887142427454,0,0.0886073647252602,0,0.477422792843421,0,1.31111683152413,0.0172532745074443,0,12,1.10438208280028,0.001,0,0,1.79907034962194,0,0.462763651123738,0,0.0854930126883341,0,0,0.0223005225686088,0,8,0.875262835540925,0.001,0.5,0.5,0,-6177.72297554529,-4594.15979662752,-1583.56317891777
7001,1.39784464629699,4.56328710021255,0,0.0248983253303948,0,0.499401699776674,0,1.62438739282523,0.0188681595666366,0,12,1.10149557804098,0.001,0,0,1.80281303721135,0,0.441725093426268,0,0.0829089954788672,0,0,0.0215760817069384,0,8,0.887047557564415,0.001,0.5,0.5,0,-6103.6424487933,-4547.6488877303,-1555.993561063
8001,1.35785298532355,4.46007427179107,0,0.0276376928387872,0,0.526853546855638,0,1.50299410388177,0.0153855380089971,0,12,1.13140307316091,0.001,0,0,1.80088912738689,0,0.414496859473446,0,0.102102489048279,0,0,0.0206237813300647,0,8,0.851278669571119,0.001,0.5,0.5,0,-6125.94138172174,-4563.42105887372,-1562.52032284802
9001,1.57714060469674,4.38418429488272,0,0.00511217717953722,0,0.510907263827431,0,1.51527139669754,0.0120950112874216,0,12,1.09652133310118,0.001,0,0,1.72890205981831,0,0.415590035444672,0,0.0914578925924393,0,0,0.0171753785549313,0,8,0.844188678305618,0.001,0.5,0.5,0,-6142.47384912256,-4560.24548669065,-1582.22836243191
10001,1.53134472345063,4.23316042790578,0,0.0329829168747556,0,0.502184466129172,0,0.987881752157029,0.00740789472355661,0,12,1.1112375740839,0.001,0,0,1.768015875649,0,0.44043298304274,0,0.0640829945060183,0,0,0.0214793303770858,0,8,0.856166276167766,0.001,0.5,0.5,0,-6131.71931557893,-4576.56973335466,-1555.14958222428
11001,1.37687513188415,4.13447382086324,0,0.0439288570052113,0,0.498383193140299,0,1.16151005115873,0.000771409131746564,0,12,1.10513564931593,0.001,0,0,1.79513518893827,0,0.411710779771693,0,0.097904808862196,0,0,0.0204283658001945,0,8,0.889301316565628,0.001,0.5,0.5,0,-6165.61401000059,-4572.77135556239,-1592.8426544382
12001,1.45410267067075,4.30294093124405,0,0.0594178778488727,0,0.477778512800206,0,1.39988946036959,0.00557897334243043,0,12,1.16624213303005,0.001,0,0,1.74176734296738,0,0.428248652992844,0,0.061617070008142,0,0,0.03728249475975,0,8,0.886559502698876,0.001,0.5,0.5,0,-6216.09694535882,-4607.68138406526,-1608.41556129356
