samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.37275070825875,2.97739654041326,0,0.460206557396558,0,0.441585547884413,0,0.15844928195175,0.0446462181295299,0,12,1.83066941815876,0.001,0.5,0.5,0,-12528.999474182,-11728.6454240927,-800.354050089324
501,2.02178240114142,4.49611231465623,0,0.270489150439795,0,0.782961037558479,0,0.0776349046379468,0.0797511093919703,0,12,1.40641742153904,0.001,0.5,0.5,0,-4272.33888896716,-2717.69935786305,-1554.63953110411
1001,1.79741864806579,4.54093790667017,0,0.190243829640261,0,0.681070689894889,0,0.132884832317952,0.0794305063298777,0,12,1.18519373273484,0.001,0.5,0.5,0,-4155.84592006417,-2558.92576391579,-1596.92015614838
1501,1.87498737694635,4.19467979890607,0,0.134172330286318,0,0.536879989824035,0,0.16056977307855,0.0794305063298777,0,12,1.18519373273484,0.001,0.5,0.5,0,-4122.49268987971,-2543.54363275092,-1578.94905712879
2001,1.83921638972988,4.28817790228432,0,0.150175488539157,0,0.505312115048273,0,0.176440824847597,0.0619981036907076,0,12,1.15607275405506,0.001,0.5,0.5,0,-4107.63159636741,-2533.90676505401,-1573.7248313134
2501,1.57528562130383,4.57814332944542,0,0.105983173370947,0,0.508224458404459,0,0.240031765065143,0.0561742744455377,0,12,1.12707238026877,0.001,0.5,0.5,0,-4091.69948858059,-2505.63571651756,-1586.06377206303
3001,1.51320230057992,4.46064620430385,0,0.103705878697459,0,0.498564801481748,0,0.319662861179683,0.0341307274164356,0,12,1.1427643234043,0.001,0.5,0.5,0,-4135.73973580555,-2496.62051556479,-1639.11922024076
3501,1.56498201969256,4.31409589095693,0,0.109665759301832,0,0.5095708443763,0,0.345436088836186,0.0258817965825508,0,12,1.17795782166182,0.001,0.5,0.5,0,-4176.95094888198,-2512.59129531455,-1664.35965356743
4001,1.55221792232744,4.40152222089796,0,0.0907465263728869,0,0.493405407901266,0,0.325637095377982,0.0352315129260825,0,12,1.14067093867344,0.001,0.5,0.5,0,-4098.14221199305,-2515.08231747558,-1583.05989451747
4501,1.7086629709171,4.28055173467231,0,0.0556757023665466,0,0.512148647870253,0,0.418293113173763,0.0230564741378214,0,12,1.13447307968706,0.001,0.5,0.5,0,-4057.06286638919,-2505.67078148111,-1551.39208490808
5001,1.51159181303389,4.44308801697687,0,0.0527905169397684,0,0.505272401340432,0,0.494889503725656,0.020392755491346,0,12,1.11675933283617,0.001,0.5,0.5,0,-4007.24531362523,-2464.90390101295,-1542.34141261228
5501,1.78991519727815,4.04527994929386,0,0.0663567157168867,0,0.533836739746003,0,0.44559762198169,0.00672598088098782,0,12,1.16146920177244,0.001,0.5,0.5,0,-4033.36781950828,-2469.61937345768,-1563.7484460506
6001,1.84515799354924,4.11445552169489,0,0.067690571314337,0,0.585041489732179,0,0.40754599670492,0.00516080032177217,0,12,1.11490647855828,0.001,0.5,0.5,0,-4026.97160062431,-2474.65617775235,-1552.31542287197
6501,1.77465719587249,4.10594370309444,0,0.0560171261148841,0,0.538104599917179,0,0.434279138680218,0.00813388560619629,0,12,1.08559728208136,0.001,0.5,0.5,0,-3976.6440269851,-2452.05051944228,-1524.59350754282
7001,1.68324007422946,4.28516987871059,0,0.0643022736748488,0,0.536304921501886,0,0.42974540848648,0.0225875479993112,0,12,1.14041027638021,0.001,0.5,0.5,0,-4001.86949275254,-2465.34380075743,-1536.52569199511
7501,1.92579310661725,4.02572847067611,0,0.0322571380844501,0,0.571716731150036,0,0.448772822724859,0.000163201689007252,0,12,1.0751717697558,0.001,0.5,0.5,0,-3991.9826755762,-2459.57930186764,-1532.40337370856
8001,2.03138949563767,3.84474771875206,0,0.0860069461105479,0,0.581895799048642,0,0.309448163290763,0.0156969671760688,0,12,1.13508188528544,0.001,0.5,0.5,0,-4062.87493966607,-2491.32377966065,-1571.55116000542
8501,2.15441238398742,3.76444974808326,0,0.0735425096711253,0,0.531731330801388,0,0.362325334671201,3.29055394217668e-05,0,12,1.11478782668925,0.001,0.5,0.5,0,-4000.62198435563,-2480.18375126031,-1520.43823309532
