samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.9425604520488,2.59275502881339,0,0.463129009523158,0,0.482493779728819,0,0.111622334764676,0.0408391013868463,0,12,0.749395656719407,0.001,0.5,0.5,0,-16389.7542453612,-15791.7520545476,-598.00219081359
501,2.50661603300277,2.88775147233445,0,0.17118760508183,0,0.832397110862331,0,0.129892269130236,0.0024048115453219,0,12,1.25706208647902,0.001,0.5,0.5,0,-4139.2441433275,-2633.03057264639,-1506.2135706811
1001,2.21493802478237,3.06762372452434,0,0.134849749470304,0,0.761173832748122,0,0.162303966483852,0.00112570677747649,0,12,1.23498363440777,0.001,0.5,0.5,0,-4108.14081146462,-2605.46866836686,-1502.67214309776
1501,2.02566260260945,3.41262820424202,0,0.147350886801487,0,0.750323281150135,0,0.171056415578289,0.00112570677747649,0,12,1.21463146855667,0.001,0.5,0.5,0,-4108.60216950532,-2592.51347703233,-1516.08869247299
2001,1.84713951912826,3.50759132150072,0,0.106711184977537,0,0.665043475625349,0,0.194760672797035,0.00112570677747649,0,12,1.11786187894532,0.001,0.5,0.5,0,-4000.79212310684,-2521.62485749028,-1479.16726561656
2501,1.68728244057895,3.76342826644931,0,0.0888298551321007,0,0.662925299023064,0,0.208514560666449,0.00165426705857656,0,12,1.16395888386881,0.001,0.5,0.5,0,-4098.80880558156,-2507.34281488735,-1591.46599069421
3001,1.64250337774949,3.84450800642241,0,0.090112558252259,0,0.634294929499645,0,0.27952948801326,0.000143820542633403,0,12,1.08814890917851,0.001,0.5,0.5,0,-4070.05352781308,-2494.32686355432,-1575.72666425876
3501,1.66578628477605,3.86995768329136,0,0.0866233865302623,0,0.591094855599588,0,0.307057477819396,0.000101361586590597,0,12,1.14883968320651,0.001,0.5,0.5,0,-4048.6447326198,-2514.14488596964,-1534.49984665016
4001,1.46707933785224,4.04308617137697,0,0.0374143045238838,0,0.637669234523243,0,0.435209304631083,0.000101361586590597,0,12,1.17083369520981,0.001,0.5,0.5,0,-4033.70749318811,-2486.66091543589,-1547.04657775223
4501,1.40805855926003,4.18357366168289,0,0.0389702124082444,0,0.541617079573508,0,0.729711673075566,0.00264701160860142,0,12,1.11559029847174,0.001,0.5,0.5,0,-3996.28092243614,-2456.48279845772,-1539.79812397842
5001,1.51063266554254,4.18801935585696,0,0.0501656789917393,0,0.550471283758644,0,0.752508204791914,0.00128489219038028,0,12,1.10284475478057,0.001,0.5,0.5,0,-3998.64562407657,-2479.86181676622,-1518.78380731034
5501,1.3777641084869,4.29942550068937,0,0.0232820160824907,0,0.546861292963721,0,0.931792266560944,0.00828570467287205,0,12,1.1043774182402,0.001,0.5,0.5,0,-3996.26026140122,-2449.72944662343,-1546.53081477779
6001,1.60965045869056,4.41030156510006,0,0.0545506479358458,0,0.556984570547052,0,1.14015036451791,0.00385037403384453,0,12,1.11297779186221,0.001,0.5,0.5,0,-3919.02204856662,-2447.04420140594,-1471.97784716068
6501,1.54419832502104,4.53965296442483,0,0.053975734666808,0,0.53195027679659,0,1.5481883915172,0.0125594865864023,0,12,1.10272594198137,0.001,0.5,0.5,0,-3969.25225208203,-2440.75176894435,-1528.50048313768
7001,1.38645783003259,4.60396866467556,0,0.0232026696831863,0,0.581813629831471,0,1.51166041020203,0.0154531211345214,0,12,1.11706888257593,0.001,0.5,0.5,0,-3959.14052339981,-2465.34145575339,-1493.79906764642
7501,1.4888348780409,4.58421511375014,0,0.0261177626578053,0,0.527709603102241,0,1.56907766173746,0.0157108672764018,0,12,1.1217259312787,0.001,0.5,0.5,0,-3931.73226032986,-2445.51680446132,-1486.21545586854
8001,1.57283073496279,4.52577131637618,0,0.00983325841562026,0,0.544231129643387,0,1.72485393611176,0.00982478140784504,0,12,1.08625185139392,0.001,0.5,0.5,0,-3957.55500596641,-2451.07667289787,-1506.47833306854
8501,1.34795331785466,4.43703499586401,0,0.0386907466838855,0,0.534914920337782,0,1.2134067702883,0.00933305246536732,0,12,1.10489546827596,0.001,0.5,0.5,0,-3997.15439995043,-2431.61332710306,-1565.54107284737
9001,1.64655856819723,4.39693397834039,0,0.0411188157574235,0,0.551410403061453,0,1.22552272430163,0.00192874990503544,0,12,1.0837312633222,0.001,0.5,0.5,0,-3890.35949979329,-2423.74936913437,-1466.61013065892
9501,1.51703323853389,4.3825665340997,0,0.0491689998985155,0,0.547752877347143,0,1.02030539791854,0.00463968321645119,0,12,1.10335610268741,0.001,0.5,0.5,0,-3940.55826028718,-2467.27241818021,-1473.28584210697
10001,1.58912503736766,4.33620240222716,0,0.048977667919455,0,0.556142807388678,0,1.0821965660052,0.0040325421510421,0,12,1.07115642383629,0.001,0.5,0.5,0,-3957.30799364896,-2429.81523861355,-1527.49275503541
