j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,3.8950000000000014,3,0,13,1108.160791667804,1.0083104547509691,1.0303695423824029
2,1,29.031,30,8.975000000000001,42,1161.1934581457342,1.010156162406562,1.0318463440680699
3,1,26.865,27,3,56,1000,0.9986510997331128,1.0038919908398913
4,1,42.413,41,9,81.02499999999998,999.9999999999998,1.0030457898985463,1.0165866650847928
5,1,72.65299999999999,72,25.950000000000003,118.02499999999998,1000,1.0004767940172516,1.0073431144964862
6,1,120.615,121,73,164,1000,1.0028619758603114,1.015003565253784
7,1,69.46700000000001,69,30,114,999.9999999999998,1.002354836792481,1.012222025429407
8,1,56.859,56,17,100.04999999999995,900.8036488345034,1.0009983790401784,1.0069862013332869
9,1,61.48100000000001,61,26,101.04999999999995,1000.0000000000001,1.0080881670735318,1.0278788503246998
10,1,34.318000000000005,33.5,8,67,1000,1.0051147159080807,1.0176605838715058
11,1,21.327999999999996,20,5,43,1000.0000000000002,1.0011080211686059,1.0083690691826628
12,1,3.9919999999999995,3,0,11,1000.0000000000002,1.0010428698377216,1.0095640646684312
