j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,5.169154228855722,5,0,13,671.0710328537773,1.0041868370599112,1.0191230212083404
2,1,21.143283582089552,21,8,33,1109.475274495428,1.0039410355280889,1.0106103799080988
3,1,47.13034825870646,47,28,65,964.9702710484214,1.0061946925713112,1.0220382711575955
4,1,35.59203980099502,36,10,59.89999999999998,727.022912036363,1.0125804489135493,1.0383371771548602
5,1,66.3960199004975,67,42.1,90,1004.9999999999999,0.9993442653314012,1.0063699292807016
6,1,21.06965174129353,20,9,39,1005,1.0024066586956675,1.0128841610831603
7,1,150.3313432835821,150,131,170,1005.0000000000002,1.0017499686570244,1.0098242942913311
8,1,97.03582089552239,97,76,120,625.7525968722673,1.0075293310519402,1.0282311894109617
9,1,138.46965174129355,138,119.1,156.89999999999998,826.3051306931562,1.0046680819662412,1.0173116049493747
10,1,80.45373134328358,81,62,97,476.49260150348573,1.0054176592282578,1.0184856342047965
11,1,27.231840796019902,27,15,40,512.9635370607306,1.0046670558742363,1.0178651657543911
12,1,2.6696517412935323,2,0,7,820.6394566789164,1.0090571274854911,1.03058703340653
