j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,3.9670000000000005,4,1,8,533.1870695629981,1.0126626766189868,1.039186201785762
2,1,2.812000000000001,2,0,10,1000,0.9984391560276094,1.004325992473535
3,1,34.653,35,25,43,1445.7510609404073,1.0116682502802905,1.0379715359326382
4,1,30.735999999999997,31,17,46,1000,0.999989799659722,1.0033209123397155
5,1,24.709999999999997,24,7.975000000000001,43.02499999999998,1000.0000000000002,1.0008327980361091,1.0089029401971097
6,1,61.781,62,42,84,1000,0.9980347747016717,0.999877894346819
7,1,23.19,23,11,39,959.3088447878458,1.0013795587805798,1.0100131597610682
8,1,151.101,152,130.97500000000002,170,999.9999999999999,1.0038251185469176,1.0171780433647808
9,1,106.753,107,87,126,907.1489252585529,1.0034254958961548,1.015547061967816
10,1,133.176,133,116,151.02499999999998,1626.4670127180148,1.0077904135553313,1.0252247912728802
11,1,74.292,74,57.975,92,690.6715130682982,1.0030217102147314,1.0159551634525539
12,1,34.066,34,19,47,571.5558362029682,1.0112079626455612,1.0369543451715681
