j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,2.8929999999999993,3,0,7,1012.3834996264693,1.0025436235967689,1.015349128450517
2,1,4.300000000000001,4,0,13,1000,1.0095304081182153,1.0334269188591525
3,1,27.473,28,13,39,1000,1.00870642718294,1.0292156706067381
4,1,38.076,37,19.975,58,1000,0.9979066500297171,1.0012700916205046
5,1,27.679000000000002,27,8,52,606.747051431184,1.0032876011982899,1.0161995960626922
6,1,52.048,52,30.975,77,999.9999999999998,0.9995194401309294,1.0052565973527352
7,1,22.387,22,12,37,1196.8325628197524,1.008122772538697,1.0230796527537245
8,1,131.216,131,110.97500000000001,152,1066.0209889105627,1.0042346270320552,1.01566924627451
9,1,98.213,98,78,117.02499999999998,699.0054747140013,1.0057689429674166,1.019578453324393
10,1,137.673,138,118,156,803.2603062538874,1.0070619157371477,1.026614871014341
11,1,77.916,78,58,96,466.2985109082514,1.0236413204950336,1.0699787650179862
12,1,31.607999999999997,32,16.975,46,558.7916308781312,1.0120398937775825,1.0410632988330362
