j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,3.93,3,0,13,960.8633309886205,1.0045783213894846,1.0181897689868356
2,1,32.051,32,22,41,1754.553500725689,1.003675119405914,1.0175771275219128
3,1,25.116,25,8,42,999.9999999999999,1.0037187674603663,1.0173208327513215
4,1,17.373,16,2,38.02499999999998,1000.0000000000008,1.0036320684019302,1.0171149141445457
5,1,57.840999999999994,58,37,80,1100.6764643091547,1.0035153696545598,1.0171044733335628
6,1,19.029000000000003,19,10,32,1136.4020643867013,0.9977905838422644,1.0015261467454566
7,1,136.916,137,117,157,1000.0000000000001,1.003554594123302,1.014892171033461
8,1,104.208,104,85.975,124,999.9999999999998,0.9998996073072917,1.0076866248637284
9,1,134.332,134,117.975,151,686.9587641012147,1.0103423464803247,1.034602164921512
10,1,70.33000000000001,70,54,88,821.7644907107442,1.0028050482724018,1.014567719471763
11,1,39.312,40,26,51,611.2162829450078,1.006021651813009,1.0171028628983187
12,1,3.059,3,1,7,557.1475590947983,1.0003143954647846,1.0050436303350108
