samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.44641220962017,2.75708704429541,0,0.408317819547399,0,0.449075121154921,0,0.191635353714263,0.069380267111374,0,12,0.743811074810266,0.001,0.5,0.5,0,-16875.9461169809,-16058.0466378512,-817.899479129777
251,2.40599982972442,2.95884971857088,0,0.193962787334868,0,0.612740029592516,0,0.143723856703044,0.0111130235510667,0,12,1.39946906643211,0.001,0.5,0.5,0,-4240.99624347791,-2732.96095068348,-1508.03529279442
501,2.43303488746082,3.08094388722357,0,0.119474645273463,0,0.723513329702144,0,0.163165671527027,0.0121555102822246,0,12,1.19858676341969,0.001,0.5,0.5,0,-4102.24472335177,-2548.33704404098,-1553.90767931079
751,2.41096033730538,3.2594760253958,0,0.104365058640934,0,0.854692231485617,0,0.158603814358263,0.0271332061951297,0,12,1.19858676341969,0.001,0.5,0.5,0,-4077.03845567828,-2547.53627447388,-1529.50218120441
1001,2.50594619075693,3.11783142278645,0,0.116949769115437,0,0.956660599863484,0,0.158603814358263,0.0168098631539502,0,12,1.18161170959362,0.001,0.5,0.5,0,-4127.69534941015,-2542.51071309736,-1585.18463631279
1251,2.56727743008959,3.16109884611996,0,0.107106774644509,0,0.852393372752197,0,0.1833305994125,0.0185033951999401,0,12,1.18161170959362,0.001,0.5,0.5,0,-4110.02264550393,-2540.87482023382,-1569.1478252701
1501,2.63134801520975,2.95622208008873,0,0.105283685680248,0,0.908304531529393,0,0.177831313220997,0.00781572904104168,0,12,1.19338598724555,0.001,0.5,0.5,0,-4079.83275041191,-2510.68936102518,-1569.14338938672
1751,2.67931971319451,3.16289686874546,0,0.0838805347092337,0,0.934178911454327,0,0.193843241785512,0.00469976067020327,0,12,1.16498857173548,0.001,0.5,0.5,0,-4002.54721867679,-2507.0743910768,-1495.47282759999
2001,2.66460906729072,3.12395792114159,0,0.110621478434016,0,0.872486448538766,0,0.191826665541145,0.00469976067020327,0,12,1.19363109797129,0.001,0.5,0.5,0,-4058.27212267496,-2508.97342439275,-1549.29869828221
2251,2.98724162201391,2.98948261180983,0,0.124598648648851,0,1.01049207710793,0,0.20106934723985,0.00234942029048323,0,12,1.13807249546377,0.001,0.5,0.5,0,-3989.45693739583,-2500.62764501469,-1488.82929238114
