samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.62396293826967,2.69783521470375,0,0.401394153709985,0,0.471982553711247,0,0.170590111818803,0.0414268137274257,0,12,1.44745125332146,0.001,0.5,0.5,0,-13606.7352287576,-12826.5939310844,-780.141297673226
251,2.85644174938553,2.76545773800817,0,0.295744739453054,0,0.807896456667796,0,0.0811514352167721,0.0123592191959539,0,12,1.60676828322648,0.001,0.5,0.5,0,-4371.49713583909,-2927.76440650715,-1443.73272933194
501,2.60694391407174,3.02825930125032,0,0.158063769963864,0,1.37866388327956,0,0.0905537248205336,0.0223417361655927,0,12,1.31029272965176,0.001,0.5,0.5,0,-4274.53610606668,-2721.36087122522,-1553.17523484147
751,2.63047477694665,2.74479733587193,0,0.104465559224793,0,1.58831942260043,0,0.093686538070161,0.0100605011853819,0,12,1.25000612158358,0.001,0.5,0.5,0,-4195.08605214949,-2676.75589447334,-1518.33015767615
1001,2.63047477694665,2.84394395508346,0,0.0943375363764838,0,1.18309264164029,0,0.106426179999636,0.00797081072300867,0,12,1.25000612158358,0.001,0.5,0.5,0,-4143.00303040262,-2657.49958403744,-1485.50344636518
1251,2.6360328028665,2.83373951144,0,0.111130609343566,0,1.1256980691676,0,0.109962481696204,0.000107580689335376,0,12,1.25000612158358,0.001,0.5,0.5,0,-4143.82210775726,-2641.52057622229,-1502.30153153498
1501,2.61931231562443,2.79678143768817,0,0.0858122899078199,0,1.09114495237781,0,0.109962481696204,0.00803781281967297,0,12,1.20499359097767,0.001,0.5,0.5,0,-4065.51476715188,-2638.76776244947,-1426.74700470241
1751,2.48673649403294,2.83853061795569,0,0.116895299571153,0,1.04089669929969,0,0.119312822636466,0.000173215688212987,0,12,1.19573951657252,0.001,0.5,0.5,0,-4077.68665643037,-2605.63540030717,-1472.0512561232
2001,2.46861927636732,2.79450039389918,0,0.10908177161799,0,1.15310697083973,0,0.117860490110466,0.00291677683747595,0,12,1.19573951657252,0.001,0.5,0.5,0,-4067.85332674755,-2619.77892988325,-1448.0743968643
2251,2.35154629607232,2.92757393973347,0,0.0635848437067227,0,0.989077879380439,0,0.129079460629352,0.000906798047614644,0,12,1.19573951657252,0.001,0.5,0.5,0,-4041.38607911174,-2597.91761508672,-1443.46846402502
