j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,2.8776119402985074,3,1,7,365.18354593946003,1.0276008749329177,1.0787276827732823
2,1,4.603980099502488,4,0,13,943.4681298835264,1.0051177738997643,1.0213315691279738
3,1,26.82487562189054,27,14,38.89999999999998,725.8100748390008,0.9983152668398385,1.0006573261627203
4,1,38.90547263681592,38,21,59.89999999999998,670.1051309125723,0.99659712755295915,0.9977221875339423
5,1,27.429850746268656,26,7,52,562.2556901758238,1.001004250368369,1.0101132391586216
6,1,51.383084577114424,52,28,74,829.4350342846142,1.003266460446992,1.0143897802657489
7,1,22.68955223880597,22,12,37.89999999999998,797.7534911717911,1.0126576786117851,1.0278064228324617
8,1,130.62786069651742,131,109.10000000000001,151,1218.2153636350793,1.0076505839287817,1.028184024447559
9,1,97.76119402985074,97,79,117,793.415461243339,1.0260259238885612,1.076172613653303
10,1,137.6228855721393,137,119.1,155.89999999999998,592.2817072410288,1.0050488619056368,1.0199490486626432
11,1,78.40099502487563,79,59,97,237.13306697739887,1.02727545116667,1.073715936227941
12,1,31.835820895522396,32,16,45.89999999999998,215.16568679433308,1.0564003773785902,1.1518863489511262
