j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,4.033830845771144,3,0,13,961.5802775798561,0.9989328697448023,1.0049982390783523
2,1,32.028855721393036,32,21,41,1124.437815787606,1.005720604330324,1.023977085571752
3,1,25.006965174129355,25,10,39,1035.2181067282409,1.0200609778768062,1.0567132138034219
4,1,17.793034825870645,17,3,38,810.5932085168444,1.0025591986027298,1.0132491252320976
5,1,57.841791044776116,58,35.1,80,878.5185303029468,1.0036356140221268,1.0165342753652258
6,1,19.279601990049752,19,10,32,776.1614607497645,1.0112306004248417,1.0368588522287563
7,1,136.97114427860697,137,117,157.89999999999998,997.4079689174041,1.0177234318389818,1.0552205253480786
8,1,104.34925373134328,105,83,123,581.5078213039163,1.008467561952736,1.0217279332875282
9,1,133.94228855721394,134,117,150,380.2559521463702,1.0133651765309395,1.0367077196722183
10,1,70.9860696517413,71,54,89,394.9392157859963,1.0197332039880669,1.055400194430201
11,1,38.838805970149274,39,24,52,244.81697367378496,1.0397863985860383,1.1005171372429294
12,1,3.092537313432833,3,1,7,318.3681648196346,1.0037706527362498,1.010623445811328
