samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.32257283830437,0,0.416990672199535,0,0.466465652413866,0,0,0.0433952200473765,0,8,1.44890716482715,0.001,0.5,0.5,0,-5516.85718902224,-4375.42818957727,-1141.42899944497
6,0,2.32257283830437,0,0.428540321284995,0,0.466465652413866,0,0,0.0433952200473765,0,8,1.44890716482715,0.001,0.5,0.5,0,-5406.72944947349,-4259.25748627369,-1147.4719631998
11,0,2.32257283830437,0,0.381808279854274,0,0.466465652413866,0,0,0.0433952200473765,0,8,1.44890716482715,0.001,0.5,0.5,0,-5245.0999034849,-4111.61554099516,-1133.48436248974
16,0,2.32257283830437,0,0.381808279854274,0,0.466465652413866,0,0,0.0317296895384266,0,8,1.44890716482715,0.001,0.5,0.5,0,-5138.35650361559,-3965.99378741985,-1172.36271619574
21,0,2.64637328834404,0,0.334256457776144,0,0.466465652413866,0,0,0.0317296895384266,0,8,1.44890716482715,0.001,0.5,0.5,0,-5118.63142190584,-3914.87966223324,-1203.75175967261
26,0,2.52024777331658,0,0.328176424387073,0,0.466465652413866,0,0,0.0317296895384266,0,8,1.44890716482715,0.001,0.5,0.5,0,-4982.02801407238,-3781.83727976114,-1200.19073431124
31,0,2.52024777331658,0,0.328176424387073,0,0.368920130872956,0,0,0.0317296895384266,0,8,1.44890716482715,0.001,0.5,0.5,0,-4859.911089209,-3664.79318376307,-1195.11790544593
36,0,2.53477404528135,0,0.350056074259724,0,0.302115990323975,0,0,0.0317296895384266,0,8,1.44890716482715,0.001,0.5,0.5,0,-4827.79805289903,-3615.48544414763,-1212.3126087514
41,0,2.5586632954427,0,0.350056074259724,0,0.302115990323975,0,0,0.0317296895384266,0,8,1.44890716482715,0.001,0.5,0.5,0,-4726.20002274587,-3547.03238683095,-1179.16763591493
46,0,2.5586632954427,0,0.350056074259724,0,0.297343481482809,0,0,0.0330561375235386,0,8,1.44890716482715,0.001,0.5,0.5,0,-4742.5856532677,-3497.66891092357,-1244.91674234413
51,0,2.5586632954427,0,0.350056074259724,0,0.297343481482809,0,0,0.0330561375235386,0,8,1.44890716482715,0.001,0.5,0.5,0,-4700.25506592751,-3464.99448111029,-1235.26058481722
56,0,2.5586632954427,0,0.369645609400768,0,0.297343481482809,0,0,0.0330561375235386,0,8,1.44890716482715,0.001,0.5,0.5,0,-4676.33308415423,-3384.8908634774,-1291.44222067682
61,0,2.5586632954427,0,0.369645609400768,0,0.297343481482809,0,0,0.0330561375235386,0,8,1.44890716482715,0.001,0.5,0.5,0,-4635.43203970388,-3328.63347584609,-1306.79856385779
66,0,2.5586632954427,0,0.361928272824986,0,0.297343481482809,0,0,0.0141547755022052,0,8,1.44890716482715,0.001,0.5,0.5,0,-4618.21201415635,-3314.74936268442,-1303.46265147192
71,0,2.5586632954427,0,0.361928272824986,0,0.297343481482809,0,0,0.0141547755022052,0,8,1.44890716482715,0.001,0.5,0.5,0,-4572.31209252879,-3307.13943845913,-1265.17265406966
76,0,2.5586632954427,0,0.361928272824986,0,0.297343481482809,0,0,0.0141547755022052,0,8,1.44890716482715,0.001,0.5,0.5,0,-4530.08967887894,-3267.54438190014,-1262.5452969788
81,0,2.5586632954427,0,0.354162509684871,0,0.297343481482809,0,0,0.0141547755022052,0,8,1.44890716482715,0.001,0.5,0.5,0,-4522.78568281482,-3263.50157171058,-1259.28411110425
86,0,2.47288984282899,0,0.354162509684871,0,0.297343481482809,0,0,0.0141547755022052,0,8,1.40344330538442,0.001,0.5,0.5,0,-4519.0275561981,-3230.73172031073,-1288.29583588736
91,0,2.47288984282899,0,0.354162509684871,0,0.297343481482809,0,0,0.0141547755022052,0,8,1.40344330538442,0.001,0.5,0.5,0,-4521.70202855486,-3222.51893266094,-1299.18309589392
96,0,2.47288984282899,0,0.354162509684871,0,0.297343481482809,0,0,0.0141547755022052,0,8,1.40344330538442,0.001,0.5,0.5,0,-4504.55686081575,-3225.59010366101,-1278.96675715474
101,0,2.47288984282899,0,0.309055901594373,0,0.297343481482809,0,0,0.0141547755022052,0,8,1.40344330538442,0.001,0.5,0.5,0,-4508.7063177953,-3213.97602304389,-1294.7302947514
106,0,2.47288984282899,0,0.309055901594373,0,0.297343481482809,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4437.24131759641,-3174.21213570658,-1263.02918188983
111,0,2.39097994131125,0,0.299704064740438,0,0.297343481482809,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4423.63175125462,-3155.23580465556,-1268.39594659906
116,0,2.39097994131125,0,0.299704064740438,0,0.297343481482809,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4410.32947556738,-3142.7335227453,-1267.59595282207
121,0,2.39097994131125,0,0.299704064740438,0,0.297343481482809,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4415.41184363016,-3140.9862033318,-1274.42564029836
126,0,2.39097994131125,0,0.249907211675472,0,0.297343481482809,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4426.40776397384,-3141.93926137814,-1284.4685025957
131,0,2.39097994131125,0,0.249907211675472,0,0.297343481482809,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4382.74031527028,-3128.74689690144,-1253.99341836884
136,0,2.39097994131125,0,0.249907211675472,0,0.297343481482809,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4390.7225688771,-3117.62189272039,-1273.1006761567
141,0,2.39097994131125,0,0.286260330570431,0,0.297343481482809,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4376.52663413403,-3111.92278523499,-1264.60384889904
146,0,2.39097994131125,0,0.240763942473312,0,0.297343481482809,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4415.85458523055,-3130.82730816002,-1285.02727707053
151,0,2.39097994131125,0,0.240763942473312,0,0.300657662688008,0,0,0.0146709050823814,0,8,1.40344330538442,0.001,0.5,0.5,0,-4411.48734588479,-3148.68773995973,-1262.79960592506
