samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.98472884898623,0,0.423738408120719,0,0.446009233097993,0,0,0.0445620895291014,0,8,1.62674695913758,0.001,0.5,0.5,0,-5736.68111597447,-4444.36251031885,-1292.31860565562
501,0,2.3659489846596,0,0.22274405374908,0,0.316724218306746,0,0,0.000651975380166171,0,8,0.805297876941497,0.001,0.5,0.5,0,-4138.24085755193,-2640.85958244071,-1497.38127511122
1001,0,2.16955043065047,0,0.180486708749374,0,0.266398647593083,0,0,0.00422234287910336,0,8,0.778504642524982,0.001,0.5,0.5,0,-4091.71001965905,-2632.92902422967,-1458.78099542938
1501,0,2.16774878424866,0,0.296344811222451,0,0.224519039108409,0,0,0.00372467729606031,0,8,0.813858720190501,0.001,0.5,0.5,0,-3978.12035045766,-2647.01553059243,-1331.10481986524
2001,0,2.18428889702356,0,0.328162722256465,0,0.176868903494611,0,0,0.00430418569484503,0,8,0.798142059592892,0.001,0.5,0.5,0,-3979.6713367927,-2628.55361090724,-1351.11772588546
2501,0,2.04503777361627,0,0.4683364017137,0,0.0477440018929794,0,0,0.0211298723414273,0,8,0.835731184178101,0.001,0.5,0.5,0,-3914.99984171768,-2665.34878591273,-1249.65105580496
3001,0,2.00653916277656,0,0.534198224991802,0,0.00625701318094549,0,0,0.0378549981853569,0,8,0.804091725883833,0.001,0.5,0.5,0,-3929.50567111917,-2632.24689743077,-1297.25877368841
3501,0,2.1432878796464,0,0.578872905758631,0,0.00552266656954986,0,0,0.0421064862897879,0,8,0.799075236867082,0.001,0.5,0.5,0,-3861.83465152349,-2629.53704047628,-1232.29761104721
4001,0,2.19455265872389,0,0.647939402351788,0,0.00544709365085151,0,0,0.0437810829426827,0,8,0.810331601228257,0.001,0.5,0.5,0,-3771.38813165916,-2609.04836275027,-1162.33976890889
4501,0,2.23796579701192,0,0.593833479653566,0,0.0131132668844958,0,0,0.0448936256436002,0,8,0.824238564518788,0.001,0.5,0.5,0,-3732.64728666989,-2611.78268148321,-1120.86460518668
