samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.59643601394694,2.47562382345315,0,0.464754896394214,0,0.453287143023621,0,0.12945773560256,0.0239525739853586,0,12,0.87988189584935,0.001,0,0,2.16390243989688,0,0.437204629098662,0,0.402677658516204,0,0,0.0722614671523648,0,8,1.56767736458613,0.001,0.5,0.5,0,-26747.1011986423,-25997.0313260614,-750.06987258088
501,2.10290670232023,3.24087285616006,0,0.159410600587121,0,0.439148580712011,0,0.0383029356754875,0.0849733335744715,0,12,1.22084854530089,0.001,0,0,2.25856870682498,0,0.58437516702107,0,0.122929715311476,0,0,0.0134794877035854,0,8,0.86196448416184,0.001,0.5,0.5,0,-7340.71006697811,-5980.09245502316,-1360.61761195495
1001,2.14474168180168,3.41706693050217,0,0.157350354974362,0,0.416938723908564,0,0.0552105175759149,0.0645566498599442,0,12,1.23802007560343,0.001,0,0,2.16078298986956,0,0.828213612774488,0,0.0891728028999509,0,0,0.00218687912096984,0,8,0.86196448416184,0.001,0.5,0.5,0,-7387.22704403875,-6005.9167648308,-1381.31027920794
1501,2.18445426848868,3.5431076895833,0,0.181225794808698,0,0.414626544095185,0,0.0552105175759149,0.0677299615339917,0,12,1.0893975560541,0.001,0,0,2.14604685515579,0,0.856337572079668,0,0.0535048679283385,0,0,0.003208326412675,0,8,0.906078628372484,0.001,0.5,0.5,0,-7327.42604871758,-5912.78266829729,-1414.64338042029
2001,2.18230061007629,3.7240496442193,0,0.159357282134312,0,0.419222657172548,0,0.0632561373657726,0.076988557417323,0,12,1.15686574418286,0.001,0,0,2.14304145638659,0,0.818751327623678,0,0.039183322002676,0,0,0.017959404942942,0,8,0.906078628372484,0.001,0.5,0.5,0,-7379.73140248979,-5920.57355642587,-1459.15784606392
2501,2.24165183789488,3.55536500388929,0,0.188059572798448,0,0.397872980732438,0,0.0679981472075579,0.0794706276961448,0,12,1.10023427174335,0.001,0,0,1.8944186065849,0,0.758715375000081,0,0.0109280794872474,0,0,0.0147674400798552,0,8,0.899007596028419,0.001,0.5,0.5,0,-7372.99968777599,-5842.53573494928,-1530.4639528267
3001,2.34720653967513,3.49558331706334,0,0.17075000668093,0,0.404297092431401,0,0.0646034774274381,0.0791094904612508,0,12,1.09840503772394,0.001,0,0,1.91282497211541,0,0.835703978373786,0,0.00956953869932298,0,0,0.0054371658794967,0,8,0.923077095314591,0.001,0.5,0.5,0,-7309.24715264778,-5854.78203323509,-1454.46511941269
3501,2.54564902079756,3.26621427984495,0,0.173370119023934,0,0.436731383202959,0,0.0660953791299875,0.0803642554465218,0,12,1.0877730134262,0.001,0,0,1.84323797820061,0,0.730332512241686,0,0.0152267408276057,0,0,0.00229737136386053,0,8,0.922943947803962,0.001,0.5,0.5,0,-7317.93631868511,-5856.33639748149,-1461.59992120362
4001,2.67995224935624,3.06381499786889,0,0.138139648624108,0,0.517182603588906,0,0.0638054196187993,0.0902041710927887,0,12,1.12663542292462,0.001,0,0,1.83081910533985,0,0.761756391467625,0,0.00729317962569469,0,0,0.00654183393998479,0,8,0.881609967892498,0.001,0.5,0.5,0,-7365.2576842647,-5881.67032393224,-1483.58736033246
4501,2.611795233206,3.37720608656635,0,0.132272390778116,0,0.540582736560696,0,0.0670840955787503,0.104075173504007,0,12,1.0901536640446,0.001,0,0,1.86421407904606,0,0.748571194441269,0,0.00549231216580284,0,0,0.00921320466383848,0,8,0.904207875481547,0.001,0.5,0.5,0,-7347.72363681429,-5828.92258645223,-1518.80105036206
5001,2.67559038284363,3.31125090382365,0,0.156727685428015,0,0.532155063228053,0,0.067318119194855,0.103342711204144,0,12,1.08866966512248,0.001,0,0,1.83349705759748,0,0.737306034535868,0,0.000372112231827721,0,0,0.0171637795945238,0,8,0.904991689954504,0.001,0.5,0.5,0,-7327.78998380246,-5835.02827243929,-1492.76171136317
5501,2.78206336974527,3.24027151036159,0,0.136639674190346,0,0.506070448155934,0,0.0663750285878569,0.109254131312782,0,12,1.12069894863468,0.001,0,0,1.8316782041594,0,0.67204696775072,0,0.00756075933352618,0,0,0.0105517068140286,0,8,0.891194107400606,0.001,0.5,0.5,0,-7299.42314414223,-5846.3883401181,-1453.03480402413
6001,2.81540581856791,3.16614411983017,0,0.168256072647952,0,0.558038714202042,0,0.062003410695183,0.107126003235617,0,12,1.097713992286,0.001,0,0,1.84401940781661,0,0.785987569990197,0,0.000926227678242524,0,0,0.0137779511644257,0,8,0.880768720456636,0.001,0.5,0.5,0,-7338.44585152544,-5888.71221752287,-1449.73363400257
6501,2.95680079674002,3.10194609448208,0,0.159745425072739,0,0.544046089980249,0,0.0671086186481326,0.0987264928452883,0,12,1.12939957538727,0.001,0,0,1.94052083805217,0,0.829928250205299,0,0.00533274029550326,0,0,0.0117183945758362,0,8,0.878946181244279,0.001,0.5,0.5,0,-7301.35709871365,-5847.92483820515,-1453.4322605085
7001,2.95003116648584,3.14152658703935,0,0.158866366485549,0,0.531216056335255,0,0.0725581554743807,0.0936369335786447,0,12,1.11094383150744,0.001,0,0,1.99911428639761,0,0.824807127189784,0,0.00542756834589581,0,0,0.0206811116870156,0,8,0.884029881763808,0.001,0.5,0.5,0,-7276.18609558187,-5844.86813085532,-1431.31796472656
7501,3.05556633924099,2.80980600707505,0,0.144878256906194,0,0.549202314701429,0,0.0816347570624506,0.0715948400230405,0,12,1.07714478049181,0.001,0,0,1.97199667653312,0,0.763212514513733,0,0.0045485872539599,0,0,0.0260691551852163,0,8,0.901944745821501,0.001,0.5,0.5,0,-7279.47144708359,-5789.84024153321,-1489.63120555039
8001,3.14118537147805,2.83451843608901,0,0.191668218901018,0,0.572479504123827,0,0.0835597290023463,0.0555627882583595,0,12,1.08834748630889,0.001,0,0,1.96848092408538,0,0.714108476002197,0,0.00835782037515984,0,0,0.0256723821039797,0,8,0.881900814309462,0.001,0.5,0.5,0,-7319.79254591112,-5812.64588256172,-1507.1466633494
8501,3.01061976755781,2.81150863118059,0,0.178873292725827,0,0.5250404534258,0,0.0855414438918706,0.0576096731593336,0,12,1.07654727408647,0.001,0,0,1.87246834480477,0,0.74009673003625,0,0.00274366029632445,0,0,0.0149063913752317,0,8,0.901403509304352,0.001,0.5,0.5,0,-7249.38982762312,-5786.46710804418,-1462.92271957895
9001,3.12087246487577,2.8376776653838,0,0.165632143359159,0,0.543780992893017,0,0.0994405384338288,0.0404168287073469,0,12,1.07891657492561,0.001,0,0,1.71815961828302,0,0.690609654138495,0,0.000645955738153609,0,0,0.00279732826880955,0,8,0.870975835427753,0.001,0.5,0.5,0,-7255.08590297528,-5795.30569829163,-1459.78020468364
9501,3.17890443297476,2.76530191958214,0,0.154924147061689,0,0.574084215549696,0,0.101699043911697,0.0273537585177307,0,12,1.0776777537343,0.001,0,0,1.78307065742963,0,0.690536454276027,0,0.0120503233769855,0,0,0.00486463259408605,0,8,0.873124008948895,0.001,0.5,0.5,0,-7261.04941210448,-5816.73580136602,-1444.31361073846
10001,3.19616403691664,2.53282798633107,0,0.155445730897107,0,0.603198320542913,0,0.102964297791261,0.0342770824802348,0,12,1.07134964244189,0.001,0,0,1.75522420727415,0,0.724373943169999,0,0.000318497737221304,0,0,0.00485618385462994,0,8,0.881191424023397,0.001,0.5,0.5,0,-7297.55010170105,-5809.51356388695,-1488.0365378141
10501,3.02677178313906,2.62878334582208,0,0.144250894860147,0,0.565874706512278,0,0.103442322430428,0.0133147132215292,0,12,1.10202293068403,0.001,0,0,1.78438997793734,0,0.672046713456734,0,0.00496417854662918,0,0,0.0145432303869142,0,8,0.905156199295563,0.001,0.5,0.5,0,-7249.9630134976,-5811.56690232258,-1438.39611117502
