samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.81661226876438,2.26827343874631,0,0.460821212281196,0,0.483164679910581,0,0.175427312005516,0.0567848517678793,0,12,0.823607661251536,0.001,0,0,2.92020782674738,0,0.434824493490973,0,0.439997668661996,0,0,0.0613052751057542,0,8,1.06468133592366,0.001,0.5,0.5,0,-30417.5224811856,-29687.3854243814,-730.137056804152
1001,3.0141207283682,2.39468722829943,0,0.241113221168413,0,0.495331929141898,0,0.0587276106968855,0.0127601743010143,0,12,1.1534498948412,0.001,0,0,2.04948879729344,0,0.768875417259077,0,0.0217911613016765,0,0,0.0205352781739407,0,8,0.898249029725744,0.001,0.5,0.5,0,-7331.78603944819,-5957.00475315385,-1374.78128629434
2001,3.04672356986406,2.67722281097955,0,0.249956112469284,0,0.529822514393154,0,0.0598832407863145,0.0246932492582583,0,12,1.1534498948412,0.001,0,0,2.06649231310711,0,0.819982858224874,0,0.00507817036850831,0,0,0.0249222074830484,0,8,0.895477070184246,0.001,0.5,0.5,0,-7392.02413523929,-5955.21887101404,-1436.80526422526
3001,2.99105845873361,2.74960729765902,0,0.208108195074589,0,0.540105134927781,0,0.0711677227823183,0.0061378683346745,0,12,1.12802361624122,0.001,0,0,1.98611363934454,0,0.853279749499869,0,0.00131230925367156,0,0,0.0189194029262198,0,8,0.917101050208531,0.001,0.5,0.5,0,-7362.97461747348,-5912.04083425268,-1450.9337832208
4001,3.00019792335914,2.32904314044554,0,0.183200521486778,0,0.495771813005831,0,0.0677439159085301,0.00465332147555724,0,12,1.13376290022229,0.001,0,0,1.98841276892431,0,0.832692836249897,0,0.00019585428956279,0,0,0.0203353680245356,0,8,0.88803533072049,0.001,0.5,0.5,0,-7322.10914621754,-5893.76168881663,-1428.34745740091
5001,2.8933622094647,2.44114908943946,0,0.185541422104233,0,0.588675193975923,0,0.0674992862418459,0.00551200842051454,0,12,1.09272437117221,0.001,0,0,1.96312411214436,0,0.802642193571672,0,0.000355750917136738,0,0,0.0312496077853748,0,8,0.926293346529541,0.001,0.5,0.5,0,-7302.46515649111,-5874.64100530331,-1427.82415118779
6001,2.893333418193,2.66376227179648,0,0.220260627838383,0,0.516569348679259,0,0.0692123645415926,0.0103299550785908,0,12,1.11994955569015,0.001,0,0,1.93886310171286,0,0.799982274828274,0,0.000553092452307767,0,0,0.0282067675910913,0,8,0.885442336695659,0.001,0.5,0.5,0,-7335.6505529312,-5864.91069588678,-1470.73985704442
7001,2.87620395830975,2.64841601010417,0,0.239319949511728,0,0.487150549554925,0,0.0749120080077596,0.000244384930884297,0,12,1.10022453471832,0.001,0,0,1.94744632407583,0,0.753321451245261,0,0.00838365433750521,0,0,0.0232930877354406,0,8,0.874870585825304,0.001,0.5,0.5,0,-7266.05544690084,-5867.18235856527,-1398.87308833557
8001,2.75686249844572,2.46707130420218,0,0.207708996779959,0,0.484342954580143,0,0.0653961341577382,0.00743430656993117,0,12,1.12775440473601,0.001,0,0,1.92032237731127,0,0.75857326160516,0,0.00115605968019344,0,0,0.0207782546959734,0,8,0.88174121105522,0.001,0.5,0.5,0,-7372.27071157392,-5897.42887853489,-1474.84183303903
9001,2.95310249917166,2.25961007229563,0,0.205396578093706,0,0.487277965733975,0,0.0668690854717366,0.00196467655383281,0,12,1.12781166136754,0.001,0,0,2.01637867000901,0,0.861082188473423,0,0.00183104230506791,0,0,0.0211735380143873,0,8,0.918703478312744,0.001,0.5,0.5,0,-7303.61737673865,-5910.3517446143,-1393.26563212436
10001,2.92759364909632,2.72399068527802,0,0.214841909814618,0,0.505602904309002,0,0.0653351335120718,0.0140655026093742,0,12,1.16302923637577,0.001,0,0,1.9097053855035,0,0.798784546637246,0,0.00039836120413484,0,0,0.0204675861553887,0,8,0.894343428391538,0.001,0.5,0.5,0,-7327.58904665619,-5921.66617413081,-1405.92287252539
11001,2.8715942174445,2.60295200763805,0,0.212987872165605,0,0.498121873833366,0,0.0699184192119474,0.00185648485265405,0,12,1.12459065084355,0.001,0,0,1.97327547863513,0,0.785085819918652,0,0.00518017420921211,0,0,0.0270819976124866,0,8,0.89337933461471,0.001,0.5,0.5,0,-7339.36168266208,-5883.93701983074,-1455.42466283134
12001,2.94489292727658,2.63337371285876,0,0.175824344724832,0,0.496208486364111,0,0.0654465608287175,0.00367212957486938,0,12,1.14286623539731,0.001,0,0,2.00622604647405,0,0.850519393446458,0,0.000607645740681818,0,0,0.0212540077728828,0,8,0.90437118276283,0.001,0.5,0.5,0,-7288.25568917694,-5904.30662623771,-1383.94906293923
13001,2.9580290911282,2.5297722093005,0,0.230403734592582,0,0.514803215647128,0,0.066031947537746,0.00572815558007086,0,12,1.14089961901414,0.001,0,0,1.96465575996692,0,0.86911252121415,0,1.35696171438653e-05,0,0,0.0183924282083466,0,8,0.878210900017298,0.001,0.5,0.5,0,-7308.2861804231,-5912.77206760272,-1395.51411282039
14001,2.87496944456139,2.76306326625489,0,0.254281657646847,0,0.458129414331333,0,0.061321706746631,0.0196000149986746,0,12,1.12211952163085,0.001,0,0,2.06668513713599,0,0.838090114915301,0,0.000413608877098518,0,0,0.0371323128547696,0,8,0.901377452549857,0.001,0.5,0.5,0,-7357.04747990146,-5926.11608131443,-1430.93139858702
15001,2.89765617364194,2.89390888063067,0,0.245248964283939,0,0.453084730592961,0,0.0693709573055205,0.0226398704674872,0,12,1.13483935216195,0.001,0,0,2.01908141732396,0,0.844444347223428,0,0.00367899257468437,0,0,0.0268788963048746,0,8,0.897744339832397,0.001,0.5,0.5,0,-7346.53363136526,-5885.5947191323,-1460.93891223296
16001,2.9012084877135,2.64286052394275,0,0.221711284612694,0,0.512288586814569,0,0.0707095726287376,0.00452232929847958,0,12,1.11307963846416,0.001,0,0,2.05932110006005,0,0.830916378496023,0,0.0171405043995771,0,0,0.0232246341439885,0,8,0.908104830514146,0.001,0.5,0.5,0,-7324.91336803752,-5896.26586483547,-1428.64750320205
17001,2.86018044476423,2.88767225045339,0,0.234740305078509,0,0.536533237639524,0,0.0655603815179352,0.00864498955061026,0,12,1.14031773413445,0.001,0,0,2.02661835712049,0,0.801927356166973,0,0.00536506999877039,0,0,0.0284873063666751,0,8,0.897560783726134,0.001,0.5,0.5,0,-7345.90703743497,-5900.45251953929,-1445.45451789569
18001,2.64503157525725,2.94845372014922,0,0.242763399364784,0,0.453827992638476,0,0.0690683889629702,0.000546002494740247,0,12,1.13205262198229,0.001,0,0,2.02288967393616,0,0.824972253696547,0,0.00175731454924354,0,0,0.0342174570733529,0,8,0.901369010901597,0.001,0.5,0.5,0,-7342.33058717022,-5882.5968863609,-1459.73370080932
19001,2.85152336903353,3.11345893859814,0,0.291680545306032,0,0.431207607163747,0,0.0781835313367969,0.00267085060655595,0,12,1.12262165656293,0.001,0,0,1.98661390789078,0,0.816573306483589,0,0.00573378730039203,0,0,0.0239480853771137,0,8,0.897684205813865,0.001,0.5,0.5,0,-7371.16626847416,-5879.48884315695,-1491.67742531721
20001,2.82984139223206,2.89400952664077,0,0.248958987024507,0,0.460743336242942,0,0.0692623836809856,0.00579716285858982,0,12,1.1079343366313,0.001,0,0,1.94242500548795,0,0.807270743964147,0,0.00245172232454443,0,0,0.02760338956962,0,8,0.883191314704123,0.001,0.5,0.5,0,-7376.50109225736,-5893.40582012786,-1483.0952721295
21001,2.77913596410864,3.20944900157819,0,0.252077498793812,0,0.476074490639059,0,0.0712656090778851,0.0147979548870613,0,12,1.12341900685736,0.001,0,0,1.86958431007769,0,0.69396525669564,0,0.00062696382360879,0,0,0.0306833187523793,0,8,0.875871786312531,0.001,0.5,0.5,0,-7375.06588146204,-5875.95920241127,-1499.10667905077
22001,2.74074170123065,3.13502431966969,0,0.260793449831776,0,0.449815963136172,0,0.0698732248684511,0.0171764560901343,0,12,1.14070027401536,0.001,0,0,1.89680772955624,0,0.794729304294892,0,0.000561759209714783,0,0,0.016998079452404,0,8,0.919547071943417,0.001,0.5,0.5,0,-7342.51818127951,-5887.59507195683,-1454.92310932268
23001,2.80799922983907,3.03636000954876,0,0.263035962638073,0,0.447692464295815,0,0.0726088279682736,0.000586451929057176,0,12,1.11703034961117,0.001,0,0,1.92014661680468,0,0.778424959731291,0,0.00867658178885178,0,0,0.0154165807436672,0,8,0.891233148056969,0.001,0.5,0.5,0,-7340.40461335321,-5883.88553791813,-1456.51907543508
24001,2.69089310614855,3.06526682141942,0,0.247668222877056,0,0.455323682541425,0,0.0730248355078525,0.00311810357476174,0,12,1.1226513561357,0.001,0,0,1.95608943330329,0,0.769059566719932,0,0.00211159458229501,0,0,0.0240799192842877,0,8,0.88428644936202,0.001,0.5,0.5,0,-7282.73427112102,-5842.66829014835,-1440.06598097267
25001,2.77344457736108,2.97265439052147,0,0.248800287797636,0,0.462011281476246,0,0.0730130461492815,0.00877447311731503,0,12,1.12352376842018,0.001,0,0,1.83741521114507,0,0.701220428494736,0,0.000804873502390606,0,0,0.0195554859212928,0,8,0.88179767892025,0.001,0.5,0.5,0,-7313.39897389556,-5879.05560887688,-1434.34336501868
26001,2.92000003245996,3.04463164311948,0,0.266006223015905,0,0.472845722303122,0,0.0738564564918262,0.00924004356326538,0,12,1.1144553703206,0.001,0,0,2.02435212523962,0,0.784799694390314,0,0.00399193838860719,0,0,0.0275433001633535,0,8,0.897789758745678,0.001,0.5,0.5,0,-7326.90948089279,-5912.11221498831,-1414.79726590448
27001,2.82766910660873,2.54147357347684,0,0.189867543374111,0,0.547588738553874,0,0.0663526680684219,0.00932810131372993,0,12,1.11741787954583,0.001,0,0,2.04795709303703,0,0.83062285398591,0,1.77553638299136e-05,0,0,0.0257730548838947,0,8,0.856789067316194,0.001,0.5,0.5,0,-7290.30113175723,-5858.90118437031,-1431.39994738692
