samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.79447786818524,2.888952984219,0,0.416375168228065,0,0.485620119215219,0,0.190826869381589,0.034812031237153,0,12,1.08298133191655,0.001,0.5,0.5,0,-15985.1321825796,-15020.4480566954,-964.68412588417
501,2.48772531353097,3.86708506232912,0,0.275054837440003,0,0.343640082044792,0,0.0760887906249773,0.0731287583570886,0,12,1.22932929911197,0.001,0.5,0.5,0,-4560.11764638325,-3205.97900935265,-1354.1386370306
1001,2.61179900710802,3.55548183637211,0,0.249305561500499,0,0.38558149598561,0,0.0809865012171661,0.0751266162275189,0,12,1.15722630014715,0.001,0.5,0.5,0,-4556.32524272467,-3137.49920136939,-1418.82604135528
1501,2.73109109012106,3.26468129219807,0,0.201738964594366,0,0.387864659674431,0,0.0837222084901807,0.048283420892654,0,12,1.14453257074644,0.001,0.5,0.5,0,-4520.71013210599,-3108.27466627653,-1412.43546582947
2001,2.79626192916708,3.25636301937595,0,0.227376438652701,0,0.363412736400461,0,0.0815978460880817,0.0682109739673052,0,12,1.14453257074644,0.001,0.5,0.5,0,-4516.51699235293,-3089.03601099482,-1427.48098135811
2501,2.88399018353766,3.03121470910752,0,0.176013929617234,0,0.382470279576298,0,0.0849278955286815,0.0598688136570304,0,12,1.12275851130828,0.001,0.5,0.5,0,-4489.41420324642,-3115.76567270219,-1373.64853054423
3001,3.01445492131313,3.13903551346421,0,0.189971025121261,0,0.533145670961079,0,0.079266553754292,0.0647612287678314,0,12,1.12275851130828,0.001,0.5,0.5,0,-4458.74790155286,-3093.16839453617,-1365.57950701669
3501,3.0240449493141,2.91631082068085,0,0.186168348786095,0,0.506925889022376,0,0.0784964599074411,0.0573822072582825,0,12,1.09432671436819,0.001,0.5,0.5,0,-4420.45340477712,-3064.81378026549,-1355.63962451163
4001,3.13226980537263,2.78802739496461,0,0.210898813479318,0,0.450293020661141,0,0.0804186931983453,0.0796130531108707,0,12,1.07290487235238,0.001,0.5,0.5,0,-4483.43693523924,-3070.13161998759,-1413.30531525165
4501,3.41406660380369,2.45697884204419,0,0.233758979317873,0,0.479907096200876,0,0.0789343247857288,0.0533490600152388,0,12,1.11496811510286,0.001,0.5,0.5,0,-4447.92743493648,-3092.89071610333,-1355.03671883315
5001,3.40112598862043,2.63816707438601,0,0.206071116596672,0,0.497889384433601,0,0.0833301543243898,0.0438189236544448,0,12,1.07278732981078,0.001,0.5,0.5,0,-4426.70232464531,-3070.59603409468,-1356.10629055063
