j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,2.9300000000000006,2,0,10,1000.0000000000001,1.01342313740601,1.0321403344591453
2,1,18.383,19,1,35,788.4294577551893,1.0070790683739992,1.0278222844449691
3,1,24.511000000000003,23,2,55,670.3852894315648,1.0006068985683436,1.0078453681429984
4,1,40.480000000000004,40,7.975000000000001,80,1000,1.0050271072701313,1.0180099641474678
5,1,71.00800000000001,71,24,122.02499999999998,999.9999999999997,1.0235000988083611,1.062600407696636
6,1,110.563,112,60.975,159,1000,1.0116035446348635,1.0353657967228975
7,1,56.089,55,21,99,871.3754859537798,0.9999631257295276,1.008093977026738
8,1,45.80499999999999,44,12,88,1000.0000000000001,1.0010281248257527,1.0071241166475975
9,1,49.916,49,15,89.02499999999998,1000.0000000000002,0.9977731725457957,0.9998547539888796
10,1,29.825999999999997,30,7,58,999.9999999999999,1.0110270950561544,1.0323006414778162
11,1,19.843,19,4,40,1000,0.9988233439160319,1.004452570100715
12,1,3.803,3,0,10,1000,0.9974853642127743,0.9994615943112343
