j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,3.01592039800995,2,0,9,1005,0.99820481532765315,1.0023233435535188
2,1,3.3273631840796023,2,0,13,1005,1.0035481310658667,1.0146546260805194
3,1,2.6417910447761197,1,0,13,1005,0.9992957313572963,1.0002662000865947
4,1,5.240796019900496,3,0,22.899999999999977,1004.9999999999998,1.0025944113342995,1.0076825478689602
5,1,66.97412935323383,68,33,98,1004.9999999999999,1.0037484791393039,1.0147246338506026
6,1,145.7144278606965,146,102,185,1023.5125982935475,1.0056108611528911,1.018010073919579
7,1,139.94925373134328,141,91,187,1004.9999999999999,1.0035308591888676,1.0168934338437572
8,1,31.515422885572136,29,0,84.89999999999998,885.8773104475808,0.9978559743254929,1.002585574080718
9,1,27.79701492537314,28,0,61,724.0050014647123,1.0141997915654397,1.0461640420054656
10,1,22,16,0,73.89999999999998,752.6384228140279,1.0069235404856993,1.0257608927624406
11,1,46.51641791044776,48,0,94,498.693136576028,1.0225474623132733,1.0688203831846494
12,1,1.4029850746268657,1,0,7,1005,1.0306609783345144,1.0726011943642375
