j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,2.215,2,1,5,805.8281803854736,1.0067600471879716,1.0258749350137288
2,1,7.357000000000001,8,0,14,798.6311041614721,1.0083665351232987,1.0273385916689932
3,1,13.064000000000004,12,0,30,722.857480302681,1.008780155330534,1.0303424388005036
4,1,32.00300000000001,33,13,50,720.358981314765,1.0096266366931232,1.0324182764762317
5,1,56.554,56,38,77,1134.953925990214,0.9993989916513121,1.0068331370849697
6,1,40.198,40,22,61,1178.5665362834466,1.0038112502062384,1.0155622183723263
7,1,23.741,23,12,39,898.7674167276291,1.0003323314788748,1.007093481552128
8,1,109.23899999999999,110,83,133,780.301490363828,1.003124862364228,1.0141748692924437
9,1,98.303,98,73.975,124,862.6569946110102,1.000145117664293,1.007607791367875
10,1,118.241,119,93.975,140.02499999999998,1000.0000000000002,1.007576978282165,1.027702597561007
11,1,54.049,54,34.975,74,1002.8693441229784,1.0025623326786728,1.0141872428643912
12,1,15.878000000000002,16,7,27,622.8444890331873,1.0033343257263987,1.0144567991609452
