j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,5.747263681592053,5,0,13,90.28962921900568,1.6344802657923891,2.393770048846945
2,1,28.48258706467661,29,18,37,163.6008291961375,1.2934293754628614,1.6903325518012733
3,1,27.88855721393034,28,10.100000000000001,44,60.62785510545303,1.0906500767384393,1.2171330549224413
4,1,47.6149253731343,47,27.1,69,56.4451487863674,1.6271722775741857,2.4344861494577086
5,1,37.739303482587076,37,17,67,213.63484801252417,1.6662293557835406,2.4595647118556214
6,1,51.9651741293532,51,24,80,22.830527585553867,1.2920376833733862,1.9462228516384026
7,1,97.76417910447762,97,74.1,121.89999999999998,46.479978897058785,1.0257563867711292,1.0726452539775628
8,1,89.57810945273631,90,62,117,30.94165887645466,1.4498266248618832,2.1419634207118503
9,1,106.76019900497512,107,77,138.89999999999998,152.72573250673798,1.5783527790451704,2.3382273805786626
10,1,52.25870646766168,52,24,77,133.5637853358647,3.0198329014774212,4.857089449637637
11,1,21.925373134328392,20,9,45,24.210145124340514,1.6115733025697971,2.4008311733981276
12,1,4.863681592039803,5,1,10,87.59457885995745,1.1288212750938829,1.3482813012946242
