j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,6.6060000000000025,7,0,14,769.6118469531746,1.21293188235767,1.5384794675850184
2,1,6.070000000000004,4,0,21,498.01238423993595,1.1168863981617614,1.2898125819427044
3,1,33.144,33.5,10,52.02499999999998,570.2770232373384,1.0002322917442552,1.0083644567819328
4,1,55.257,56,29,78,764.5175800396887,1.1110203118567656,1.2703016744500206
5,1,85.35300000000001,82,34,154.04999999999995,330.5437641310224,1.061664907460584,1.1625428300691056
6,1,14.376000000000001,14,7,24,1000,1.0190761035116482,1.0567660851346603
7,1,111.047,111,86,133,767.3653497052785,1.1390919964985478,1.3394563551184249
8,1,93.628,94,67,120,1717.8996408064027,1.060354762344521,1.1509932917296894
9,1,122.65,123,94,146,899.0376934770696,1.0732076787526519,1.182708252402201
10,1,45.62299999999999,46.5,14,70,935.4275782919577,1.523997813164029,2.121988523639557
11,1,16.109999999999996,16,5,30,715.8003528708448,1.1233236727536249,1.3086562479806887
12,1,1.6029999999999998,1,0,5,1000,1.0109901235904084,1.0292215299948178
