j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,6.9220000000000015,7,0,14,985.248245927807,0.9958144918559607,0.9965961879075749
2,1,25.087,25,10.975000000000001,37,1000,1.0025335058257299,1.0156703346016738
3,1,33.407000000000004,33,18,51,1000.0000000000002,1.0080221744259108,1.0293549319442252
4,1,56.025999999999996,56,36.975,76,1000,1.002723729755378,1.0151535347349545
5,1,32.563,32,10,58,795.1166330706764,1.0188496547197456,1.0555460343357634
6,1,33.361000000000004,32,15,57,1056.5266742185136,1.0198178241660019,1.0419674579877325
7,1,79.397,79,54,106.02499999999998,843.2511680451261,0.9969113930015376,0.9976590625192424
8,1,75.197,75,51,102,999.9999999999995,1.0093107921377533,1.0310937058343845
9,1,110.96300000000001,112,85,134,790.5679735089209,1.0061455828370873,1.021523405915267
10,1,42.883,43,20,65,829.7434178252746,0.9985863025566423,1.0023368947377895
11,1,18.599,18,7,31,1000.0000000000001,0.998236593019911,1.0007420790830055
12,1,2.7579999999999996,3,0,7,1000,1.0124378690696063,1.0377120518640137
