samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.97935746556762,2.13125414385015,0,0.47819699492887,0,0.498466673186298,0,0.173687341023927,0.0976641508085056,0,12,1.62304030849887,0.001,0.5,0.5,0,-8042.99103259666,-7525.41421660582,-517.57681599084
51,3.922592857736,2.69773892060148,0,0.506734363339084,0,0.213866779879734,0,0.153075245148421,0.000450754792838584,0,12,1.95519845622622,0.001,0.5,0.5,0,-4734.19090391194,-3790.18488034358,-944.006023568361
101,3.11093969109362,2.76530512813094,0,0.420615360743365,0,0.167074419174222,0,0.153075245148421,0.000205549281731779,0,12,2.10586392565623,0.001,0.5,0.5,0,-4077.53525494203,-3123.615023171,-953.920231771039
151,2.63618227725986,3.0695651712058,0,0.385646973576995,0,0.167074419174222,0,0.153075245148421,0.000205549281731779,0,12,1.72973978968474,0.001,0.5,0.5,0,-3844.11808584379,-2908.90975487454,-935.20833096925
201,2.60121344268611,3.203786222075,0,0.364232192086125,0,0.173959515752173,0,0.153075245148421,0.000205549281731779,0,12,1.72973978968474,0.001,0.5,0.5,0,-3880.362149925,-2857.72644760434,-1022.63570232065
251,2.12425711933651,3.37524649623113,0,0.364232192086125,0,0.173959515752173,0,0.153075245148421,0.000205549281731779,0,12,1.29383041968493,0.001,0.5,0.5,0,-3756.27478444869,-2725.77211066961,-1030.50267377908
301,1.85803235277318,3.49629576076509,0,0.329566410218788,0,0.173959515752173,0,0.144503199997513,0.000205549281731779,0,12,1.29383041968493,0.001,0.5,0.5,0,-3713.12940784026,-2619.45644368499,-1093.67296415527
351,1.85803235277318,3.61256942567752,0,0.329566410218788,0,0.173959515752173,0,0.144503199997513,0.000205549281731779,0,12,1.29383041968493,0.001,0.5,0.5,0,-3699.46113622426,-2584.98572126931,-1114.47541495495
401,1.59036877807153,3.90909197989179,0,0.31701089235448,0,0.173959515752173,0,0.144503199997513,0.000205549281731779,0,12,1.29383041968493,0.001,0.5,0.5,0,-3654.96742619192,-2569.84531332347,-1085.12211286845
451,1.59036877807153,3.81597456357505,0,0.31701089235448,0,0.173959515752173,0,0.143235233261466,0.000205549281731779,0,12,1.29383041968493,0.001,0.5,0.5,0,-3647.9217806506,-2549.57542539169,-1098.34635525891
501,1.59036877807153,3.82177966696447,0,0.31701089235448,0,0.173959515752173,0,0.124769189453682,0.000205549281731779,0,12,1.29383041968493,0.001,0.5,0.5,0,-3670.48857566552,-2591.02416936732,-1079.4644062982
551,1.59036877807153,3.61366874399667,0,0.293466847795319,0,0.173959515752173,0,0.117430822999592,0.000205549281731779,0,12,1.29383041968493,0.001,0.5,0.5,0,-3618.25867771866,-2566.01172532519,-1052.24695239346
