j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,8.277522477522476,8,5,12,1477.9509388840552,1.0129269899112328,1.0356201566999756
2,1,1.9242757242757205,1,0,7,2239.370205911471,1.0008616786856492,1.0037828502478612
3,1,7.091708291708284,6,0,19,1034.0205953424193,1.0016775379226552,1.0048287332816306
4,1,25.21778221778221,25,4,46,794.850937935786,1.0051385717506038,1.0140616358014205
5,1,62.039160839160864,62,42,82,1152.9845403048757,1.0040781732635513,1.010867946401533
6,1,50.04915084915085,50,30,70,848.4872029847912,1.0024064465593636,1.0070097669824263
7,1,26.749650349650356,26,15,43,1750.5116258333287,1.003521810613146,1.010355525614895
8,1,117.9046953046953,118,93,142,1398.653229886591,1.0039626036737626,1.0120103437819141
9,1,83.18761238761239,83,60,106,1186.4560676709602,1.0076715133514444,1.0207846704817507
10,1,169.85934065934066,170,151,188.89999999999964,1791.7802055085338,1.0964257418323466,1.2412107651066382
11,1,38.312687312687345,38,19,59,606.2840524961833,1.0058151923730143,1.0173043459637956
12,1,22.204995004995013,22,10,37,370.9671256932842,1.010728501654661,1.0272701532677373
