names,median,mean,lower95_CrI,upper95_CrI,ess,Rhat point estimate,Rhat upper CI
boost_long,4.24220837298435,4.240921330519797,3.9865212925162217,4.487818457083246,452.19925124882064,1.0178968972520306,1.0496427357412925
boost_short,2.89764219998211,2.9085013691861477,2.5601612057988428,3.2866209853161905,490.18876435954235,1.0127148003819646,1.032443124721139
antigenic_seniority,0.316275874180299,0.31722477378817815,0.266772421914947,0.3697258824797911,369.5228183640281,1.0106334035922402,1.0292418428620544
wane_short,0.501663780545899,0.502468031854313,0.4387866529391061,0.5693542275580077,973.9964271452307,1.0210687133985517,1.0410816188401697
cr_long,0.0832949852430768,0.08322607867440358,0.075159725359046,0.09111255747107007,710.8350784719297,1.006836730135223,1.0128721055852061
cr_short,0.408911944335813,0.41274867098680107,0.2297361819406029,0.6175275383866696,1533.1960492595488,1.003318765581409,1.0097792948392914
obs_sd,1.17468054613165,1.1754225780286005,1.126466365223145,1.228402414283822,3026.342992727611,1.0005249669739773,1.0026569068082898
boost_long.1,2.37916889351564,2.3785579849486083,2.244666054836741,2.508695643678499,830.4360600937671,1.0037995874503696,1.010947820630679
boost_short.1,0.294071298013503,0.2991026543553816,0.17585641084921672,0.44623718901285514,1860.39405929288,0.9996238505738045,1.0001137982431414
antigenic_seniority.1,0.781311635185403,0.7800936463377551,0.7123264354267558,0.841626156062325,969.3706601729498,1.0075094527340918,1.0192886421753293
wane_short.1,0.647476317854988,0.6464224369451854,0.46926889446090353,0.8138669302304676,4046.227080264747,1.000410546320356,1.0017492702848412
cr_long.1,0.0326918926174494,0.0325788102742192,0.022539633596093588,0.04225232769433976,1126.7190298955927,1.003562215234658,1.0106881077675751
cr_short.1,0.495360252516125,0.4957269461519178,0.2879644438733831,0.6986916734433408,4480.832786597858,1.0000198337469035,1.0013856467487106
obs_sd.1,0.93405441061067,0.9343429788864699,0.9003905803565853,0.9702020133494992,3649.8899247462427,1.002435001150531,1.008180751762858
total_infections,613,612.8185814185814,582,644,772.3323507261965,1.008583534810418,1.0243031024904268
