"time","n","quantile(V1, 0.5)","quantile(V1, 0.025)","quantile(V1, 0.975)"
2001,2755,0.0476190476190476,0,0.333333333333333
2002,2755,0.297297297297297,0.108108108108108,0.445945945945946
2003,2755,0.177304964539007,0.0283687943262411,0.326241134751773
2004,2755,0.221276595744681,0.11063829787234,0.314893617021277
2005,2755,0.0816326530612245,0.0174927113702624,0.166180758017493
2006,2755,0.08,0.0355555555555556,0.14
2007,2755,0.164206642066421,0.119926199261993,0.212177121771218
2008,2755,0.132149901380671,0.0867850098619329,0.17948717948718
2009,2755,0.407766990291262,0.356796116504854,0.449029126213592
2010,2755,0.115523465703971,0.0469314079422383,0.1985559566787
2011,2755,0.145251396648045,0.0670391061452514,0.223463687150838
2012,2755,0.214285714285714,0.119047619047619,0.30952380952381
