samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.79243738479609,0,0.45900240295392,0,0.446516472514585,0,0,0.0702533802722355,0,8,1.10948567622644,0.001,0.5,0.5,0,-11532.0905073544,-10720.6639898336,-811.42651752075
1001,0,2.25061990039631,0,0.401284552567449,0,0.159516957141349,0,0,0.0276756094876972,0,8,0.795956291155637,0.001,0.5,0.5,0,-3460.90635484522,-1981.41255152583,-1479.49380331939
2001,0,2.1093752799905,0,0.373582204805012,0,0.133189425851079,0,0,0.0250227359390652,0,8,0.83039326924407,0.001,0.5,0.5,0,-3426.54693993278,-1997.43817195884,-1429.10876797393
3001,0,2.05927348783013,0,0.414564170075998,0,0.0843795322062055,0,0,0.0336900420060355,0,8,0.824651604272864,0.001,0.5,0.5,0,-3273.01074696961,-2032.95824677274,-1240.05250019687
4001,0,1.92141838872325,0,0.499996453413136,0,0.0353976986467623,0,0,0.033093708641542,0,8,0.819978115140625,0.001,0.5,0.5,0,-3513.55219294698,-2079.46969216673,-1434.08250078025
5001,0,1.85348140851996,0,0.460939144163086,0,0.0451506849978429,0,0,0.0294556303448054,0,8,0.811078471711082,0.001,0.5,0.5,0,-3511.42759529629,-2054.90113165966,-1456.52646363662
6001,0,1.87493416591186,0,0.407793155511694,0,0.080007608234505,0,0,0.0234255899473003,0,8,0.811635587839021,0.001,0.5,0.5,0,-3468.27965630326,-2018.53186292233,-1449.74779338093
7001,0,1.96847443712108,0,0.419233217563029,0,0.102363519234539,0,0,0.00572261790972474,0,8,0.781185343062872,0.001,0.5,0.5,0,-3369.36271362989,-2029.44177213743,-1339.92094149246
8001,0,2.0794806071414,0,0.402740890107749,0,0.138035013395121,0,0,0.0236980908539228,0,8,0.807702241506237,0.001,0.5,0.5,0,-3401.07546990311,-1983.31237011719,-1417.76309978592
9001,0,1.954127790575,0,0.331394049176893,0,0.130041635905488,0,0,0.0256284687451847,0,8,0.796291250637088,0.001,0.5,0.5,0,-3420.47591090261,-1990.69148421069,-1429.78442669192
10001,0,1.97607520167361,0,0.386105838790738,0,0.129600570221241,0,0,0.00767962679993805,0,8,0.787359401556503,0.001,0.5,0.5,0,-3441.42649184887,-1998.2295382094,-1443.19695363948
11001,0,1.81551322989408,0,0.382026609918233,0,0.0594707867520542,0,0,0.0223912633487168,0,8,0.793392391422829,0.001,0.5,0.5,0,-3419.78521496012,-2035.29960002691,-1384.48561493321
12001,0,1.80375739986748,0,0.401352076337879,0,0.0432116719018956,0,0,0.0239324549183215,0,8,0.798409081851878,0.001,0.5,0.5,0,-3346.34213220242,-2038.30217240842,-1308.039959794
