samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.17588111306151,0,0.456887364208831,0,0.424022624384776,0,0,0.04194427058669,0,8,1.76952109824875,0.001,0.5,0.5,0,-10795.6559683368,-9830.26294246991,-965.393025866932
1001,0,2.21188802813941,0,0.39588733821748,0,0.144565383151546,0,0,0.0279565035167506,0,8,0.80923808257131,0.001,0.5,0.5,0,-3410.22502702828,-2022.61910173607,-1387.60592529221
2001,0,2.04292755223087,0,0.397596226772298,0,0.124770727160459,0,0,0.0209290386301558,0,8,0.788641895059849,0.001,0.5,0.5,0,-3330.97202641994,-1996.71062497487,-1334.26140144508
3001,0,2.09632235468804,0,0.429258381889885,0,0.080962380277379,0,0,0.0410762182448455,0,8,0.791412654376266,0.001,0.5,0.5,0,-3450.10089276852,-2031.05842625054,-1419.04246651798
4001,0,1.99006556698359,0,0.484684352370763,0,0.010618859257129,0,0,0.0532314672650001,0,8,0.807009799733191,0.001,0.5,0.5,0,-3429.88689677742,-2007.14419160548,-1422.74270517194
5001,0,2.15246981850891,0,0.514229311036627,0,0.000810328553455249,0,0,0.0774339815923294,0,8,0.761994729957124,0.001,0.5,0.5,0,-3295.56668380122,-2003.95797278969,-1291.60871101154
6001,0,2.12025673209069,0,0.489010811641132,0,0.00783581150390838,0,0,0.0753674463501418,0,8,0.760766970339316,0.001,0.5,0.5,0,-3288.02691443103,-1983.86951634727,-1304.15739808376
7001,0,2.04493892244802,0,0.447183026192811,0,0.0105919639486383,0,0,0.072023196088127,0,8,0.7746773471256,0.001,0.5,0.5,0,-3328.26567079614,-1992.71680346183,-1335.54886733431
8001,0,2.19837770949241,0,0.484177918605055,0,0.00731015332537861,0,0,0.0743269828665785,0,8,0.787036188630367,0.001,0.5,0.5,0,-3276.36438868466,-1983.74454136483,-1292.61984731983
9001,0,2.14473595577532,0,0.47509510607022,0,0.00182586499668119,0,0,0.0817571439782818,0,8,0.774007119632415,0.001,0.5,0.5,0,-3141.12812165806,-1986.83916560006,-1154.28895605801
10001,0,2.05668341279505,0,0.502577563556255,0,0.00600736585503109,0,0,0.0560416995637316,0,8,0.777614305971264,0.001,0.5,0.5,0,-3191.53029071599,-1989.95238869817,-1201.57790201782
11001,0,2.21107703338918,0,0.516550380829191,0,0.00200022522505325,0,0,0.0830698124783852,0,8,0.753300279869634,0.001,0.5,0.5,0,-3259.98046767985,-1974.87666904606,-1285.1037986338
12001,0,2.05963439913445,0,0.462776339549638,0,7.75149612392443e-05,0,0,0.0728977102398033,0,8,0.781213243717545,0.001,0.5,0.5,0,-3213.64595551228,-1968.35087339985,-1245.29508211243
13001,0,2.15629426272169,0,0.517893664540997,0,0.000176610544735224,0,0,0.0895196375888862,0,8,0.784448998772648,0.001,0.5,0.5,0,-3234.77547784279,-1979.4957671074,-1255.27971073539
14001,0,2.19500620219417,0,0.454047365909265,0,0.0167571391680819,0,0,0.0801269294635174,0,8,0.765884812627637,0.001,0.5,0.5,0,-3318.07546643616,-1965.32241249082,-1352.75305394535
15001,0,2.08668030924026,0,0.478481002664842,0,8.44309104592479e-05,0,0,0.0796568068330387,0,8,0.778858409015403,0.001,0.5,0.5,0,-3259.09554627667,-1970.34769172269,-1288.74785455398
16001,0,2.04260771654563,0,0.471836762585774,0,0.000636325791532705,0,0,0.0739318160408476,0,8,0.774218468222387,0.001,0.5,0.5,0,-3378.14946830218,-1961.50068257681,-1416.64878572537
17001,0,2.16441419942459,0,0.55400028791608,0,0.00684365875322482,0,0,0.0790080127924184,0,8,0.7767437519408,0.001,0.5,0.5,0,-3302.26633153025,-1999.53259891334,-1302.73373261691
18001,0,2.04226876934529,0,0.481047435442187,0,0.00307316350417784,0,0,0.0626600978653657,0,8,0.769088883482187,0.001,0.5,0.5,0,-3245.27287592051,-1976.38995638179,-1268.88291953872
19001,0,2.05238887061964,0,0.464637186739508,0,6.51310711429699e-06,0,0,0.0747218229779678,0,8,0.8041625372737,0.001,0.5,0.5,0,-3350.77784847492,-1986.98897918868,-1363.78886928624
20001,0,2.08053987185167,0,0.47613839911364,0,0.0179764031839374,0,0,0.0620045917048701,0,8,0.79419289916801,0.001,0.5,0.5,0,-3376.82293562737,-2007.14210607871,-1369.68082954866
21001,0,1.93316244652682,0,0.434298256757697,0,0.00453072378073146,0,0,0.0664057994868782,0,8,0.798534890945936,0.001,0.5,0.5,0,-3374.25386108569,-1997.95947515992,-1376.29438592577
22001,0,2.14092273292819,0,0.486876128008337,0,0.00528383187207212,0,0,0.0845794312677711,0,8,0.784123983570957,0.001,0.5,0.5,0,-3297.4576895439,-2000.46968420586,-1296.98800533804
23001,0,2.1774285470322,0,0.416097510652956,0,0.0127283197829792,0,0,0.090050199290494,0,8,0.789663259510743,0.001,0.5,0.5,0,-3345.56298297367,-1975.554417314,-1370.00856565967
24001,0,2.15212875977038,0,0.547184570756772,0,0.00921892588357246,0,0,0.0683552811873842,0,8,0.808494111169853,0.001,0.5,0.5,0,-3314.0459527228,-2016.90335422049,-1297.14259850232
25001,0,2.17081661606562,0,0.472189094232789,0,0.00490482267378722,0,0,0.0798513877068449,0,8,0.77611436189809,0.001,0.5,0.5,0,-3219.71686386877,-1965.27869911901,-1254.43816474975
26001,0,2.11393352209526,0,0.493599364903196,0,0.0123964003545007,0,0,0.0706741903322975,0,8,0.795063879491046,0.001,0.5,0.5,0,-3310.77165753213,-2005.29771974021,-1305.47393779192
27001,0,2.13378292071007,0,0.447399548736133,0,0.00500747175086487,0,0,0.0790594087248249,0,8,0.820342353814438,0.001,0.5,0.5,0,-3295.88651365065,-1981.84395650053,-1314.04255715012
28001,0,2.04929649125306,0,0.419063552456446,0,0.000531137194963478,0,0,0.0757408226097397,0,8,0.789580955000601,0.001,0.5,0.5,0,-3255.54197589097,-1987.70096359153,-1267.84101229944
29001,0,2.07774164515029,0,0.435869345450562,0,0.00129949362373484,0,0,0.0747943756071978,0,8,0.801066165554826,0.001,0.5,0.5,0,-3180.46315422357,-2001.07455585129,-1179.38859837228
30001,0,2.10884067126419,0,0.484883142615346,0,0.00330576496507017,0,0,0.0727480946985019,0,8,0.789506675111443,0.001,0.5,0.5,0,-3336.42237174863,-1993.47471353768,-1342.94765821094
