samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.84121375367336,2.86957390230879,0,0.440917153123479,0,0.436885225580103,0,0.103347084274561,0.0893951627458897,0,12,1.97082715340239,0.001,0,0,2.97932858362336,0,0.411336109986974,0,0.490513950243337,0,0,0.0960846192379484,0,8,1.95842592135365,0.001,0.5,0.5,0,-20075.5211306497,-19008.9267909083,-1066.59433974139
1001,2.70979089681909,4.4481686283413,0,0.301761328374584,0,0.83647599543608,0,0.164347612109106,0.0239047832675732,0,12,1.20381659895504,0.001,0,0,2.0137999406714,0,0.373773462615181,0,0.0705503848787584,0,0,0.0510361821636386,0,8,0.898899577667731,0.001,0.5,0.5,0,-6315.92331443303,-4745.12108671557,-1570.80222771746
2001,2.57774571305399,4.44722866043997,0,0.263512824268702,0,0.858738464982622,0,0.204856984785351,0.0316305772399437,0,12,1.19138743852,0.001,0,0,1.95448421461804,0,0.435927518660418,0,0.0704207716387512,0,0,0.0358321197198427,0,8,0.870614351026665,0.001,0.5,0.5,0,-6334.76025061877,-4678.94848891878,-1655.8117617
3001,2.28310361142055,4.15926882097062,0,0.183558717946923,0,0.745802598937764,0,0.232835502732092,0.0254990199175321,0,12,1.15283777143341,0.001,0,0,1.69889033944811,0,0.439488872264043,0,0.0370697715873071,0,0,0.0299420170583892,0,8,0.884096814157496,0.001,0.5,0.5,0,-6316.56253638035,-4632.89685748986,-1683.66567889049
4001,2.30217919862596,4.07640116687753,0,0.173649670817333,0,0.772323223626423,0,0.256845326595009,0.00882749186797631,0,12,1.1184124170617,0.001,0,0,1.74736215605006,0,0.44478558641713,0,0.0356209664938608,0,0,0.0419368362652802,0,8,0.889022335826048,0.001,0.5,0.5,0,-6276.37007090445,-4599.07528707748,-1677.29478382697
5001,2.18614510472271,3.6718808789843,0,0.0869692309625827,0,0.664301925625428,0,0.293449267968123,0.00290324733198784,0,12,1.14181904150519,0.001,0,0,1.67086011149139,0,0.42342213167042,0,0.0388979191147207,0,0,0.0354068649919858,0,8,0.87674730390306,0.001,0.5,0.5,0,-6226.73323979684,-4608.76052048227,-1617.97271931457
6001,2.02721090930515,3.61214706417301,0,0.0665691294339913,0,0.613489513285833,0,0.324648517789744,0.00103072272459197,0,12,1.13149293038968,0.001,0,0,1.78872917120583,0,0.451386855970816,0,0.0687368828824298,0,0,0.0314791353207193,0,8,0.879912750161079,0.001,0.5,0.5,0,-6194.42325735164,-4605.65089286406,-1588.77236448758
7001,2.00045294349698,3.77505203030983,0,0.0581416031995442,0,0.576108937924281,0,0.278886310467109,0.0213511179285774,0,12,1.11878962960887,0.001,0,0,1.76573796793281,0,0.442740503789424,0,0.0651464963811095,0,0,0.015041506945827,0,8,0.863438435742301,0.001,0.5,0.5,0,-6149.59898277084,-4579.39657624548,-1570.20240652536
8001,2.11922793936411,3.56828703415501,0,0.0858973598906609,0,0.633105454279269,0,0.283740793231057,0.00461922916367834,0,12,1.11820245101258,0.001,0,0,1.70676036037967,0,0.47603256009962,0,0.0539632790187532,0,0,0.0118576233771678,0,8,0.862097196008906,0.001,0.5,0.5,0,-6174.66780451328,-4585.5866161043,-1589.08118840898
9001,2.31101591070717,3.49995142405562,0,0.0427735615944686,0,0.69362715202221,0,0.280498521281165,0.0060814078345078,0,12,1.09740888573063,0.001,0,0,1.78348637991759,0,0.445411310944237,0,0.0577794107105479,0,0,0.0252965359270749,0,8,0.881065062527629,0.001,0.5,0.5,0,-6138.28634508081,-4552.11536433398,-1586.17098074684
10001,2.13067542977181,3.26309322772264,0,0.0560843660342596,0,0.647431455174554,0,0.282258196919936,0.00104712094197156,0,12,1.17512915050769,0.001,0,0,1.68377175129174,0,0.422634294615545,0,0.046485572634556,0,0,0.032177849795179,0,8,0.884819078261154,0.001,0.5,0.5,0,-6236.97786160872,-4608.08293704567,-1628.89492456305
11001,2.24610815858946,3.15201563444864,0,0.0204100558265432,0,0.80966323706825,0,0.260135502588257,0.00165885923612295,0,12,1.14666278914101,0.001,0,0,1.68362069845984,0,0.424642754623455,0,0.0643091902658392,0,0,0.0177631209305586,0,8,0.86566627418351,0.001,0.5,0.5,0,-6222.23463506786,-4615.3624686862,-1606.87216638166
12001,2.3070823142157,3.33774059536568,0,0.0595604915161118,0,0.85025228371495,0,0.243151807369382,0.00718409328684,0,12,1.12916205678493,0.001,0,0,1.79625918599649,0,0.424299733074802,0,0.070368488626743,0,0,0.0351919339199501,0,8,0.899513057075371,0.001,0.5,0.5,0,-6231.59105234708,-4589.07280715604,-1642.51824519105
13001,2.22585815128099,3.56068584351175,0,0.0593226020308255,0,0.795532326496193,0,0.257388995066529,0.0119821787136507,0,12,1.07376594206345,0.001,0,0,1.69245355164044,0,0.411676845769141,0,0.0637624999716172,0,0,0.0172770043942028,0,8,0.861773467386571,0.001,0.5,0.5,0,-6188.78773935708,-4544.59285437437,-1644.1948849827
14001,1.97484632027231,3.59678339231313,0,0.0384398670413532,0,0.704601084998542,0,0.276332828974899,0.0123493968970223,0,12,1.10603341730491,0.001,0,0,1.77365918763438,0,0.457137490089986,0,0.0691698130106136,0,0,0.0155225063778763,0,8,0.919979663677422,0.001,0.5,0.5,0,-6176.73944638215,-4592.14815887354,-1584.59128750861
15001,1.92377418378102,3.37115318637383,0,0.0265877266712592,0,0.645391424410422,0,0.297969876172366,0.00259056132315111,0,12,1.13386834079572,0.001,0,0,1.7777492523659,0,0.463656883180132,0,0.0459128718730032,0,0,0.0338082870510653,0,8,0.847610736439258,0.001,0.5,0.5,0,-6227.49527975637,-4571.3275327727,-1656.16774698368
16001,1.99687654872105,3.39236987375975,0,0.0746318008308281,0,0.6536681113348,0,0.285838759032218,0.00207850959104558,0,12,1.10859937897842,0.001,0,0,1.62413913069391,0,0.380887670763957,0,0.0588499454280852,0,0,0.0201580501158336,0,8,0.856840078721536,0.001,0.5,0.5,0,-6250.9025532928,-4583.72768334815,-1667.17486994466
17001,1.89370985997996,3.94035136904214,0,0.0524004815667309,0,0.669576666541056,0,0.354604385365301,0.00354157337232416,0,12,1.13515367860064,0.001,0,0,1.56185396182962,0,0.416034161457214,0,0.043088366833597,0,0,0.00514941650813822,0,8,0.880800832034959,0.001,0.5,0.5,0,-6189.97653860587,-4612.27492990776,-1577.70160869811
18001,1.74863721193409,3.85866817911005,0,0.00358676067632963,0,0.62102189769227,0,0.420557935987521,0.0003911216514562,0,12,1.10035903254202,0.001,0,0,1.67658546955803,0,0.402657746615773,0,0.0819689468263085,0,0,0.0066044460302046,0,8,0.878432379426771,0.001,0.5,0.5,0,-6123.02845947659,-4562.99095825874,-1560.03750121785
19001,1.90609861772903,3.84643641166881,0,0.0432214273285632,0,0.535112372190996,0,0.395746094865961,0.0106932988101849,0,12,1.11410220070852,0.001,0,0,1.74912103226549,0,0.418735236522172,0,0.0962778466916267,0,0,0.00247433629889775,0,8,0.894500634588524,0.001,0.5,0.5,0,-6134.80357443172,-4594.20203807398,-1540.60153635774
20001,1.79157771741566,4.09429410602974,0,0.028692628731838,0,0.583550584418915,0,0.562345749696579,0.000754069296152882,0,12,1.10993090595243,0.001,0,0,1.77517245248414,0,0.422855164415529,0,0.116479848599254,0,0,0.00366355388864171,0,8,0.882478919497951,0.001,0.5,0.5,0,-6127.91404362091,-4570.86480631908,-1557.04923730182
21001,1.66931386313271,4.13654895706358,0,0.0177337055447695,0,0.566750044323585,0,0.611465574570753,0.00176197170681558,0,12,1.13894985003218,0.001,0,0,1.69260258811958,0,0.375445664412829,0,0.121230154784727,0,0,0.000545952267246987,0,8,0.905349203013771,0.001,0.5,0.5,0,-6178.23110155022,-4581.3855422761,-1596.84555927412
22001,1.8323584797476,4.12604664744739,0,0.0453639478449506,0,0.579766543147384,0,0.445303497714061,0.00244387971852815,0,12,1.10416308202661,0.001,0,0,1.70314447851541,0,0.375874416344036,0,0.106236891579795,0,0,0.0049781632748146,0,8,0.913336682304907,0.001,0.5,0.5,0,-6143.25606456481,-4571.78843255433,-1571.46763201049
