samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.55844906628071,2.02677866946207,0,0.471637672907821,0,0.46357520630668,0,0.158263348466432,0.036115052903055,0,12,1.0658899226005,0.001,0,0,2.41184684044312,0,0.49880668922602,0,0.493001157614459,0,0,0.0687837594717327,0,8,1.81027370284706,0.001,0.5,0.5,0,-24531.2608591542,-23632.6408864407,-898.619972713411
1001,2.34485539508283,2.95147333319915,0,0.118481943533813,0,0.978951802505641,0,0.12292241353259,0.00229939335916982,0,12,1.28142976168017,0.001,0,0,2.15216827407735,0,0.612137957435263,0,0.134436147348657,0,0,0.0114474619880952,0,8,0.862789607713987,0.001,0.5,0.5,0,-6293.26600374745,-4804.00086730164,-1489.26513644581
2001,1.75134667965586,3.63897994833715,0,0.10767038790403,0,0.815386206912887,0,0.183038661669018,0.000351703509957103,0,12,1.19633710613431,0.001,0,0,2.12881468250264,0,0.565920280295289,0,0.134005587634901,0,0,0.0152632397261341,0,8,0.920957448091161,0.001,0.5,0.5,0,-6212.78311985434,-4719.74484300538,-1493.03827684897
3001,1.66019270005797,3.72477963007872,0,0.0784725288664497,0,0.646234531013065,0,0.320849771481845,0.000351703509957103,0,12,1.14291168480742,0.001,0,0,1.81762101657286,0,0.461182085518552,0,0.0913212988106572,0,0,0.0178169583357158,0,8,0.892033336190491,0.001,0.5,0.5,0,-6217.98924781531,-4627.76527861011,-1590.22396920521
4001,1.42692296891836,4.16054291729566,0,0.0373017947517953,0,0.628385901740359,0,0.674430105890649,0.00162447453180613,0,12,1.16445021867891,0.001,0,0,1.66777441516714,0,0.386676163713448,0,0.0707099245206443,0,0,0.0194544285120144,0,8,0.887884994641097,0.001,0.5,0.5,0,-6183.20080465456,-4622.02550896878,-1561.17529568579
5001,1.67408908392186,4.14186795746238,0,0.0744557778462217,0,0.554939582096408,0,0.857223205566352,0.000833445790580701,0,12,1.10753653227286,0.001,0,0,1.7733880787697,0,0.400556625141788,0,0.0957021303045972,0,0,0.0217392971744539,0,8,0.900281754850395,0.001,0.5,0.5,0,-6156.40199784207,-4594.38244135781,-1562.01955648426
6001,1.63202688465018,4.22525184104835,0,0.070366722842402,0,0.534010793650367,0,0.96475273993849,0.00143845550152777,0,12,1.10349658611364,0.001,0,0,1.81478539287369,0,0.426618948010286,0,0.0933950877104989,0,0,0.0193182064181297,0,8,0.901573324021653,0.001,0.5,0.5,0,-6152.81375266592,-4575.93233219489,-1576.88142047104
7001,1.48702161624489,4.24269946194718,0,0.0144908394909852,0,0.578487712232122,0,1.04848467550505,0.00492362695009169,0,12,1.10669415922128,0.001,0,0,1.72401026390645,0,0.39263162765876,0,0.0808187913003396,0,0,0.022316716352131,0,8,0.884002744559683,0.001,0.5,0.5,0,-6190.54016818207,-4549.51860898504,-1641.02155919703
8001,1.6244411704572,4.29816795683904,0,0.102697471780875,0,0.485854650138735,0,1.06853770693024,0.00350067512143825,0,12,1.1010082043066,0.001,0,0,1.64246658794226,0,0.371255483162902,0,0.0693329308484653,0,0,0.0191887245816027,0,8,0.885390515213859,0.001,0.5,0.5,0,-6231.8391511514,-4590.16634036257,-1641.67281078883
9001,1.25518024936554,4.69280689409657,0,0.0957394462643201,0,0.465580500904562,0,1.83958934192905,0.0231350934302068,0,12,1.13417971489509,0.001,0,0,1.7430394773626,0,0.460712984764688,0,0.0699885608938649,0,0,0.0202383910485502,0,8,0.888419578440786,0.001,0.5,0.5,0,-6182.10109387035,-4610.84108788992,-1571.26000598043
10001,1.41530632457151,4.59508214134232,0,0.0907386916802594,0,0.48164733164159,0,1.50356600434974,0.0168935151808125,0,12,1.12303394277013,0.001,0,0,1.73926113341382,0,0.363175544157738,0,0.114214226990233,0,0,0.0162743600166557,0,8,0.865605348411768,0.001,0.5,0.5,0,-6166.15176848289,-4573.49733161574,-1592.65443686715
11001,1.46593892617341,4.27771992687987,0,0.0696343788516276,0,0.475345752564384,0,1.22521074437985,0.00921332130611901,0,12,1.19681118820929,0.001,0,0,1.71516413334198,0,0.438246295504851,0,0.0743346975222025,0,0,0.0102437576622939,0,8,0.862617369042747,0.001,0.5,0.5,0,-6178.79294947883,-4581.9131310663,-1596.87981841253
12001,1.32652524894253,4.52677401978086,0,0.0502882807191666,0,0.506832202238023,0,1.36618824271635,0.0171940382505112,0,12,1.13241284720064,0.001,0,0,1.70696824595251,0,0.361243948057425,0,0.0819814785366615,0,0,0.0233757369570548,0,8,0.85095760052534,0.001,0.5,0.5,0,-6232.2643857639,-4575.36525412178,-1656.89913164212
13001,1.22071285726836,4.76358581276619,0,0.0538985493777771,0,0.489350166099774,0,1.82283835480133,0.0289200069510747,0,12,1.14414119972939,0.001,0,0,1.74087184858238,0,0.381645949191069,0,0.107316294301237,0,0,0.0109275190698466,0,8,0.882108325156481,0.001,0.5,0.5,0,-6220.03600430423,-4616.25189560297,-1603.78410870126
14001,1.38919199857623,4.814312150674,0,0.0151370589310928,0,0.50929853307271,0,1.89933766912331,0.0267550735753769,0,12,1.11328667333016,0.001,0,0,1.82381151600773,0,0.43775094871071,0,0.0975965528144111,0,0,0.0180633752888451,0,8,0.903132610179203,0.001,0.5,0.5,0,-6117.46357666353,-4562.94979987301,-1554.51377679051
15001,1.21086514779322,4.74927430255718,0,0.0420501317972647,0,0.539540192080998,0,1.7015509683637,0.016728652540409,0,12,1.08859746684563,0.001,0,0,1.79516737581121,0,0.403184446500405,0,0.112515830868823,0,0,0.0180175519966991,0,8,0.885997591180914,0.001,0.5,0.5,0,-6167.11677539269,-4560.90639611629,-1606.21037927639
16001,1.42592625004479,4.48639397897974,0,0.0642128117014767,0,0.486811414899343,0,1.44419494682184,0.012691304059951,0,12,1.14979189967417,0.001,0,0,1.69755044452013,0,0.404131725338866,0,0.0897138759053539,0,0,0.0101733729667314,0,8,0.855032643658242,0.001,0.5,0.5,0,-6173.72945441886,-4588.15609761446,-1585.5733568044
17001,1.53154860963,4.78641330440627,0,0.0729634599406833,0,0.547103118677455,0,1.81883396754027,0.0135481523556529,0,12,1.1504153949377,0.001,0,0,1.82564491331313,0,0.41799829406492,0,0.095195828203829,0,0,0.0276582243306382,0,8,0.906109954462339,0.001,0.5,0.5,0,-6175.38116337969,-4579.46849631338,-1595.91266706631
18001,1.5070481630126,4.4935083855897,0,0.0475691536401728,0,0.535839796410494,0,1.47782215176174,0.0136624644324765,0,12,1.1325563504898,0.001,0,0,1.75698223137099,0,0.385168565474648,0,0.104768761233452,0,0,0.0183916824574287,0,8,0.902513262229577,0.001,0.5,0.5,0,-6113.73050377891,-4556.61669137656,-1557.11381240235
19001,1.50086594402232,4.76545960062019,0,0.0697071100732544,0,0.525989297127914,0,1.75918718852317,0.0152656627413998,0,12,1.10291048499335,0.001,0,0,1.75630112955001,0,0.390926727572308,0,0.108071102854164,0,0,0.0193471999108353,0,8,0.867271065208871,0.001,0.5,0.5,0,-6149.41630561303,-4540.07226625815,-1609.34403935488
20001,1.65171128876455,4.41289699411464,0,0.0681257904730808,0,0.513451240457725,0,1.63240543256211,0.00953755397674334,0,12,1.11969787190553,0.001,0,0,1.74517324762969,0,0.393316492210001,0,0.104315889985856,0,0,0.0160798336310255,0,8,0.866346687654178,0.001,0.5,0.5,0,-6131.7731237687,-4566.45586217519,-1565.31726159352
21001,1.42122265496809,4.49275876021601,0,0.0801597337873877,0,0.498969354765778,0,1.39610599617452,0.0116816338449404,0,12,1.13312859839498,0.001,0,0,1.83391170162917,0,0.458237824508318,0,0.0906353918509846,0,0,0.0267583359797904,0,8,0.888344870425471,0.001,0.5,0.5,0,-6159.68529992862,-4567.47582308095,-1592.20947684768
