samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.16684177487695,2.82782595096803,0,0.418558400813525,0,0.433426208526979,0,0.155261554008909,0.0696118301267877,0,12,0.721925265193092,0.001,0.5,0.5,0,-18733.2973129751,-17811.8843504793,-921.412962495769
1001,2.11336677791092,3.67929385604643,0,0.116989371467798,0,0.925484187202694,0,0.102555175645155,0.0688070861580489,0,12,1.15418466368467,0.001,0.5,0.5,0,-4136.41290578989,-2537.63265885702,-1598.78024693287
2001,2.09240870923293,3.70517846436173,0,0.0973386790245879,0,0.842895963281012,0,0.153195418642053,0.0538071568873451,0,12,1.11409540246982,0.001,0.5,0.5,0,-4069.62643617703,-2513.5123126121,-1556.11412356493
3001,2.29481448934056,3.52958352167886,0,0.0296163566856925,0,0.773540988060295,0,0.193846507533302,0.0313976597244746,0,12,1.16511786861969,0.001,0.5,0.5,0,-3990.36980770154,-2515.49555294885,-1474.8742547527
4001,2.47434802520087,3.3895013531448,0,0.106317990477741,0,0.796352996842608,0,0.236800320735518,0.00125662464598398,0,12,1.12125817325054,0.001,0.5,0.5,0,-4075.84548880741,-2489.65934285765,-1586.18614594976
5001,2.23197328873092,3.54920442764183,0,0.0749476339383458,0,0.632346321399739,0,0.281032073134458,0.00570428282037524,0,12,1.1678140143276,0.001,0.5,0.5,0,-4057.2554024058,-2495.08131229855,-1562.17409010725
6001,2.08639095165504,3.43879562132486,0,0.0547130481596059,0,0.693031638077975,0,0.249249985664294,0.00420683405499598,0,12,1.07544885229981,0.001,0.5,0.5,0,-3976.24753403589,-2469.44688314562,-1506.80065089027
7001,1.8314864039568,3.71266030034137,0,0.022873408067572,0,0.582423282731553,0,0.3333239882494,0.00590424387259347,0,12,1.1165922418837,0.001,0.5,0.5,0,-3998.46212067094,-2491.3644894937,-1507.09763117724
8001,2.04797904276481,3.70699982657428,0,0.0860307548622213,0,0.553356754772115,0,0.338394147722313,0.00344408857362832,0,12,1.11250618694716,0.001,0.5,0.5,0,-3985.80405871092,-2472.07872464956,-1513.72533406137
9001,1.88956684795175,3.89641639022462,0,0.0579845419706335,0,0.537428100195048,0,0.495688086748825,0.00374026639519281,0,12,1.11656366136994,0.001,0.5,0.5,0,-3965.84188287503,-2457.78649964159,-1508.05538323344
10001,2.04083163434513,4.02483302695508,0,0.0674495241350523,0,0.623532591753566,0,0.382848659289818,0.0017471999078898,0,12,1.11392851557661,0.001,0.5,0.5,0,-4002.55679020255,-2457.35743307504,-1545.19935712752
11001,2.05375385740311,3.83360400639098,0,0.0805083810019212,0,0.531959373223827,0,0.40773460557568,0.000815856643953952,0,12,1.14960186480502,0.001,0.5,0.5,0,-4018.42745017176,-2503.05783195587,-1515.3696182159
12001,2.15269854915682,3.47210378343489,0,0.0467388764890411,0,0.63261153711664,0,0.318434616343224,0.00103449839541206,0,12,1.09868323225461,0.001,0.5,0.5,0,-4007.93951249155,-2452.7077337192,-1555.23177877235
13001,1.90955795380083,4.01470421020007,0,0.0557636730088644,0,0.588960285941479,0,0.42803107106561,0.00251943950457276,0,12,1.12163244807665,0.001,0.5,0.5,0,-3996.62459637457,-2470.46240407625,-1526.16219229831
14001,1.89949055246386,3.93174268914365,0,0.0403519693176587,0,0.577440517728989,0,0.403655326813651,0.00795152398029626,0,12,1.10591373859359,0.001,0.5,0.5,0,-4005.34072729246,-2438.1293619464,-1567.21136534606
15001,1.93295367299315,3.86818555876188,0,0.0596129377965945,0,0.619740306728645,0,0.35589367838451,0.00711449245047526,0,12,1.13883309908694,0.001,0.5,0.5,0,-4001.39871244659,-2473.91374947414,-1527.48496297245
16001,1.82567724122317,3.91678452372022,0,0.0113432373421637,0,0.567878319673971,0,0.391190517971942,0.00679151661055611,0,12,1.10400431456037,0.001,0.5,0.5,0,-4016.10295434298,-2481.75730027062,-1534.34565407236
17001,1.66680424860629,4.01999067213986,0,0.0352964110698131,0,0.598156765977875,0,0.413228120763261,0.000942780958753521,0,12,1.1364754254074,0.001,0.5,0.5,0,-3987.42507513926,-2459.64789281557,-1527.77718232369
18001,1.94950480137437,3.95382525197585,0,0.0251303292481505,0,0.60266547566051,0,0.427386596121943,0.00937548116015611,0,12,1.05628286968382,0.001,0.5,0.5,0,-3976.44396478561,-2494.80204642967,-1481.64191835594
19001,1.99127967213709,3.72891183640761,0,0.00662835032564292,0,0.637462858516471,0,0.370709657738079,0.00225976299074871,0,12,1.12075892066842,0.001,0.5,0.5,0,-3954.43327110668,-2453.72171548282,-1500.71155562386
20001,1.69832540027452,4.02522502729526,0,0.0143996890438067,0,0.700424040360514,0,0.378999153985016,0.01102056909384,0,12,1.11593409844025,0.001,0.5,0.5,0,-4005.60586779995,-2450.42005494542,-1555.18581285452
21001,1.74575108554494,4.11883165947762,0,0.0553227526467437,0,0.498186139551898,0,0.511955700035274,0.000179167063207453,0,12,1.16480846508062,0.001,0.5,0.5,0,-4008.78807044703,-2491.17964668812,-1517.60842375891
22001,1.92495730652983,4.00081132665977,0,0.0577246217424739,0,0.607671977686425,0,0.436337586907035,0.00298410263259666,0,12,1.12032051753197,0.001,0.5,0.5,0,-3964.7086796942,-2435.65125168966,-1529.05742800454
23001,1.75999853211454,4.08527221424836,0,0.0260831141414574,0,0.57396402252073,0,0.493250600695813,0.00626270148819634,0,12,1.10944017510511,0.001,0.5,0.5,0,-3978.61309191983,-2460.21206604896,-1518.40102587087
24001,1.89082497136082,3.99698702228342,0,0.0195730519192264,0,0.581768097329198,0,0.375913495902566,0.0154955860551854,0,12,1.11984017892591,0.001,0.5,0.5,0,-3950.92504138013,-2468.89149081548,-1482.03355056465
25001,1.93564908772428,3.93222818041312,0,0.0215457865506525,0,0.634962631317412,0,0.45128566095091,0.000385549620868843,0,12,1.08851131624301,0.001,0.5,0.5,0,-3938.89569113154,-2419.12016081131,-1519.77553032023
26001,1.80109412978822,4.00027848642369,0,0.00284875291558002,0,0.637440377906995,0,0.416023008294665,0.011311650903335,0,12,1.09705905448115,0.001,0.5,0.5,0,-3931.48643913016,-2424.98916362434,-1506.49727550582
27001,1.80780158339392,3.89288210620572,0,0.0163206950757107,0,0.589247923406347,0,0.47384723896085,9.29988899468943e-06,0,12,1.09281719387817,0.001,0.5,0.5,0,-3957.37235702228,-2430.19714249282,-1527.17521452946
28001,1.83542265748102,3.97012560290047,0,0.022047667312495,0,0.589626954841845,0,0.45283600988098,0.00202270149983529,0,12,1.08585500178315,0.001,0.5,0.5,0,-3987.5969985854,-2445.86201752072,-1541.73498106468
29001,1.80792752630646,3.93979360524268,0,0.0424723024385049,0,0.505355474605604,0,0.476485450581672,0.00252521396191213,0,12,1.14522059041118,0.001,0.5,0.5,0,-3988.73114563502,-2457.16846360501,-1531.56268203
30001,1.85823394804029,4.219059569538,0,0.0510134570794523,0,0.530711786507272,0,0.479343672123932,0.00253998815832842,0,12,1.11044534875542,0.001,0.5,0.5,0,-3995.03478900873,-2473.22535936861,-1521.80942964011
