j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,6.925373134328358,7,0,14,1005,1.0051292552749724,1.0195868047289176
2,1,20.31442786069651,20,6,33,1192.5522575578702,1.009495100698855,1.0295578091574737
3,1,45.20199004975124,46,24.1,63,1005.0000000000002,1.0005135371992304,1.0087990674124678
4,1,22.69850746268657,22,0,53,1005.0000000000002,1.0068097288947182,1.0256802045156677
5,1,57.376119402985076,57,34,81,1005.0000000000001,1.0027867748172117,1.005998139224538
6,1,18.0636815920398,17,9,31,1005.0000000000002,1.00155158794013,1.010366332280859
7,1,136.98905472636815,137,118,156,1004.9999999999999,1.0011105455424434,1.006046663812384
8,1,96.78407960199006,97,78,115.89999999999998,1196.4653383952402,1.0108839590382601,1.0352686018967465
9,1,140.54825870646766,141,123,158,1163.7783542078785,1.0090027679166431,1.0231630905678188
10,1,75.15223880597016,76,55,93,1160.9684535322906,1.0019639034488654,1.0116538035626965
11,1,32.58706467661691,33,19,45,920.702141441049,1.011012906143994,1.0375112469679122
12,1,1.0059701492537314,0,0,4.899999999999977,1005,1.0216891309986842,1.0562406516867724
