samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.12645152194936,0,0.462207195404707,0,0.410071994595922,0,0,0.0126366598900466,0,8,0.537028315291249,0.001,0.5,0.5,0,-13354.459437434,-12285.2025387453,-1069.25689868864
1001,0,2.22442316517234,0,0.436962280163578,0,0.129943119415121,0,0,0.010213022538067,0,8,0.809307450041165,0.001,0.5,0.5,0,-4016.21820923533,-2644.41050888956,-1371.80770034577
2001,0,2.12046108759379,0,0.628155453399834,0,0.0344562956287783,0,0,0.0268862897908195,0,8,0.83776403305934,0.001,0.5,0.5,0,-4049.50771862085,-2684.13617336057,-1365.37154526028
3001,0,2.05742919249844,0,0.578613977208651,0,0.0527267035441799,0,0,0.0110946636770781,0,8,0.827059333933881,0.001,0.5,0.5,0,-3950.91929754723,-2661.44423310324,-1289.47506444399
4001,0,2.00345068085531,0,0.568541381646071,0,0.000501032305620886,0,0,0.0297877329856862,0,8,0.825770812942026,0.001,0.5,0.5,0,-3893.14729986002,-2663.32216635421,-1229.82513350581
5001,0,1.90337273181992,0,0.642808564570991,0,0.000494815936891142,0,0,0.0258893332071938,0,8,0.844616075135754,0.001,0.5,0.5,0,-3893.14267836886,-2666.85125606113,-1226.29142230773
6001,0,1.98123849238234,0,0.57687346250594,0,0.00191750475091882,0,0,0.0303332203937745,0,8,0.842282717934429,0.001,0.5,0.5,0,-3787.98922351204,-2666.2824262541,-1121.70679725795
7001,0,2.02511935256593,0,0.605674159118256,0,0.0108910809184153,0,0,0.0289630360472805,0,8,0.853886970626274,0.001,0.5,0.5,0,-3786.36626607893,-2664.706171762,-1121.66009431692
8001,0,2.086027467248,0,0.635116358571837,0,0.0315240717384712,0,0,0.0277995072132952,0,8,0.834211701596763,0.001,0.5,0.5,0,-3944.19433012243,-2699.71826781957,-1244.47606230286
9001,0,1.96918717056274,0,0.591502587126598,0,0.00842094360483875,0,0,0.0302253125959706,0,8,0.814153845071682,0.001,0.5,0.5,0,-3945.83870302689,-2664.96582148245,-1280.87288154444
