samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,0,2.90663028009681,0,0.460442174266086,0,0.474308893702983,0,0,0.0613228648866424,0,8,1.17650205751705,0.001,0.5,0.5,0,-5798.49809310756,-4987.00373605831,-811.494357049243
1001,0,2.16723945233641,0,0.267402370045822,0,0.21626726144077,0,0,6.65985243051262e-05,0,8,0.856023987651103,0.001,0.5,0.5,0,-4008.39873483699,-2685.36290065088,-1323.03583418611
2001,0,2.22766642713794,0,0.533456480656506,0,0.0411605644415595,0,0,0.0447510568374349,0,8,0.802153811754659,0.001,0.5,0.5,0,-3904.54613292112,-2615.65855127798,-1288.88758164314
3001,0,2.2541690505305,0,0.576593902248559,0,0.00502822014664267,0,0,0.0503282581154931,0,8,0.822821075113976,0.001,0.5,0.5,0,-3859.05555501457,-2635.85267649924,-1223.20287851534
4001,0,2.12938191084437,0,0.57040995152227,0,0.00369649538399008,0,0,0.0456591458882039,0,8,0.786762667541489,0.001,0.5,0.5,0,-3849.18503815313,-2622.63035423045,-1226.55468392268
5001,0,2.32646280763458,0,0.656486731028917,0,0.0190746401155475,0,0,0.0457580544271659,0,8,0.810286213282786,0.001,0.5,0.5,0,-3822.65367729355,-2630.19024668607,-1192.46343060749
6001,0,2.3064632246437,0,0.652464880972684,0,0.00406848283538858,0,0,0.0537734284220988,0,8,0.823101728852162,0.001,0.5,0.5,0,-3850.92054306022,-2622.54322103537,-1228.37732202486
7001,0,2.24545537335886,0,0.562544752692109,0,0.0116573894137856,0,0,0.0554771272194644,0,8,0.812963534859895,0.001,0.5,0.5,0,-3820.94349290314,-2623.74258355998,-1197.20090934316
8001,0,2.14496499291828,0,0.631314047611562,0,0.00242094648994469,0,0,0.0422372657782413,0,8,0.826937417121812,0.001,0.5,0.5,0,-3811.129469861,-2636.67044415941,-1174.45902570159
9001,0,2.21992144799897,0,0.578284482577597,0,0.0185233849277884,0,0,0.0517920037524454,0,8,0.802193812171758,0.001,0.5,0.5,0,-3848.46715823057,-2619.51927076009,-1228.94788747049
