samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.34392995376546,2.06812661214972,0,0.453023778653924,0,0.473978963817382,0,0.102577622056973,0.0328052737269311,0,12,1.46767401329153,0.001,0,0,2.27895558486291,0,0.491393194536163,0,0.452616477302329,0,0,0.071098207819375,0,8,1.82213920483015,0.001,0.5,0.5,0,-14587.6955702843,-13645.063834449,-942.631735835336
1001,2.47958728963373,3.86136282984248,0,0.310595925176505,0,0.408262074323956,0,0.0869758511173951,0.0335594187375063,0,12,1.17641368070479,0.001,0,0,2.02211949504001,0,0.68987548164886,0,0.0297381748644497,0,0,0.0297490877536615,0,8,0.845878824578319,0.001,0.5,0.5,0,-7433.87544119633,-5948.94253553488,-1484.93290566145
2001,2.60906584083235,3.95643981973163,0,0.313373505575976,0,0.414977698264495,0,0.0876159464065258,0.0556864030549238,0,12,1.17641368070479,0.001,0,0,1.97134619682096,0,0.801563144248244,0,0.00781520812901748,0,0,0.0185076465480007,0,8,0.867281804651632,0.001,0.5,0.5,0,-7383.5386679556,-5875.44925377311,-1508.0894141825
3001,2.90084894519594,3.59580672613036,0,0.290229669931885,0,0.478588479497108,0,0.079561831608532,0.0596314402439343,0,12,1.0621177203682,0.001,0,0,1.8016965844219,0,0.712384426921206,0,0.00530587292088557,0,0,0.0172814894847808,0,8,0.868378657366789,0.001,0.5,0.5,0,-7355.10300543421,-5851.16704242395,-1503.93596301026
4001,3.07245757575203,3.04025383670088,0,0.242339754634748,0,0.443916075877222,0,0.087190137611455,0.0675399583365762,0,12,1.05446365163713,0.001,0,0,1.85301330878022,0,0.764374031428518,0,0.0112853033465713,0,0,0.00385848191137687,0,8,0.916371588710751,0.001,0.5,0.5,0,-7299.16201786258,-5833.69839978228,-1465.4636180803
5001,3.23352492264013,2.81544077178124,0,0.235643252525526,0,0.466940484035733,0,0.0898762333089509,0.0500866361011464,0,12,1.08675808526203,0.001,0,0,1.7701808913831,0,0.702330435046562,0,0.00311991728416893,0,0,0.00315364269616098,0,8,0.900694692497508,0.001,0.5,0.5,0,-7242.14991458952,-5825.57331256322,-1416.5766020263
6001,3.3444106186556,2.46490526225492,0,0.198901229734847,0,0.520644368068157,0,0.101212094347065,0.00511929130738269,0,12,1.07990082602278,0.001,0,0,1.86694528376195,0,0.756658729283881,0,0.000292756626643425,0,0,0.0124915288739994,0,8,0.908565159570888,0.001,0.5,0.5,0,-7217.04350977578,-5804.05689811959,-1412.98661165619
7001,3.46402095320363,2.35170131089364,0,0.201654265140274,0,0.562339579537756,0,0.103897321167045,0.00293721213426889,0,12,1.0495813905162,0.001,0,0,1.97287816449182,0,0.766077615278959,0,0.00535096453513368,0,0,0.0316792073738271,0,8,0.874178878337182,0.001,0.5,0.5,0,-7294.60218044827,-5807.44258717776,-1487.15959327051
8001,3.42802343593971,2.41358516238808,0,0.189470087785875,0,0.512257700860552,0,0.0974710001530669,0.0134761851550068,0,12,1.05245797722037,0.001,0,0,1.89274233428156,0,0.710441943499384,0,0.0030719168067024,0,0,0.0197735037804098,0,8,0.863228637567293,0.001,0.5,0.5,0,-7256.71310735008,-5802.18681594552,-1454.52629140456
9001,3.34497966539063,2.43700155352842,0,0.165507332350419,0,0.526963082770991,0,0.107696335224939,0.0104353218728857,0,12,1.08342376470699,0.001,0,0,1.81780120729366,0,0.682445839558618,0,0.00701795622595396,0,0,0.0161323042496427,0,8,0.906856537214012,0.001,0.5,0.5,0,-7306.1821889634,-5812.88099441576,-1493.30119454763
