samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,antibody_dependent_boosting,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.60348945146562,2.56232671694922,0,0.493661034172749,0,0.476810180041128,0,0.199919883670131,0.0296344584864488,0,12,1.49641953123623,0.001,0,0,2.29491349014966,0,0.420972168786035,0,0.476286434351368,0,0,0.0216330680809166,0,8,0.726255244124003,0.001,0.5,0.5,0,-18568.6831027708,-17832.379265884,-736.303836886788
1001,2.48639511735416,3.91347188521227,0,0.377062186954761,0,0.541415205531373,0,0.0621794579628221,0.012592821300334,0,12,1.27738368108305,0.001,0,0,2.10799032218335,0,0.639022850691516,0,0.0686495631651741,0,0,0.0174342092932937,0,8,0.907038950166689,0.001,0.5,0.5,0,-7425.49634128793,-5999.7505621517,-1425.74577913623
2001,2.6100648150997,3.82822902888796,0,0.374808728895201,0,0.467109567243324,0,0.057141477844079,0.0182940517727199,0,12,1.22811095194125,0.001,0,0,1.85350960482145,0,0.667641130199041,0,0.00545104009420992,0,0,0.0182046916257999,0,8,0.895885657482832,0.001,0.5,0.5,0,-7414.77662308249,-5936.13835700052,-1478.63826608197
3001,2.64911153174754,3.47003635597963,0,0.287130001914688,0,0.465920288102733,0,0.0700607828963504,0.00863645869179736,0,12,1.18560585134239,0.001,0,0,1.91442700144625,0,0.76726110785196,0,0.00486595597030421,0,0,0.0253829196158676,0,8,0.86738592300635,0.001,0.5,0.5,0,-7401.52015740464,-5934.83814012232,-1466.68201728232
4001,2.60974446198335,3.26640819144631,0,0.310111180864645,0,0.439375438489677,0,0.0779568652829222,0.0129161807715891,0,12,1.1809945026097,0.001,0,0,1.82756176178299,0,0.667142897154735,0,0.000244209996452772,0,0,0.0181866003748974,0,8,0.876035067771585,0.001,0.5,0.5,0,-7343.4897554839,-5858.33286508909,-1485.15689039482
5001,2.88957211795667,3.0797067425903,0,0.275757658462423,0,0.481348940547325,0,0.0672564950855339,0.00328068289333735,0,12,1.12544784493063,0.001,0,0,1.87727208399801,0,0.751414787225159,0,0.0121137374512455,0,0,0.0116743676738283,0,8,0.908599348083187,0.001,0.5,0.5,0,-7354.33535422454,-5906.28092188198,-1448.05443234257
6001,3.02798217982169,2.91278824081101,0,0.268908435354706,0,0.514739049360663,0,0.0704712501439677,0.00164840040186813,0,12,1.10321987750531,0.001,0,0,1.89392515700461,0,0.763835656400138,0,0.000193551437737625,0,0,0.0172466255733736,0,8,0.902615563805985,0.001,0.5,0.5,0,-7316.23077363984,-5893.28735824454,-1422.9434153953
7001,2.9450420299857,3.02382554427984,0,0.29854325982086,0,0.49784281164105,0,0.0747301274666393,0.00411658575279821,0,12,1.12075842380586,0.001,0,0,1.92438901465458,0,0.732186650241234,0,0.00222712267768353,0,0,0.0259351302370736,0,8,0.881494834937636,0.001,0.5,0.5,0,-7314.11590903983,-5883.97859154785,-1430.13731749198
8001,2.81522309240594,3.25703511418986,0,0.312171929283609,0,0.519710208706182,0,0.0691980839165706,0.00331216009641783,0,12,1.14228273741714,0.001,0,0,1.84251392490768,0,0.662752963877312,0,0.00218161138801426,0,0,0.0199822489131369,0,8,0.866748055218524,0.001,0.5,0.5,0,-7359.32567061412,-5889.69306635201,-1469.63260426211
9001,2.90283744706611,2.96732759630842,0,0.290328736231587,0,0.52158307146014,0,0.0700298496159172,0.00750421502751308,0,12,1.13261400966175,0.001,0,0,1.90804496298082,0,0.763975567626278,0,0.00181466439936662,0,0,0.0256439730408621,0,8,0.925252424558341,0.001,0.5,0.5,0,-7354.91785020287,-5932.59450979587,-1422.323340407
