samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.93771415693791,2.02083862138317,0,0.415516965120921,0,0.428869449162121,0,0.178374069929544,0.0347412602059036,0,12,1.16519871793253,0.001,0.5,0.5,0,-14491.7425421435,-13410.132576844,-1081.6099652995
1001,2.73510227513064,2.95149564512798,0,0.203493290773268,0,0.282657101120026,0,0.0995171631219727,0.0425502189133423,0,12,1.12524456543635,0.001,0.5,0.5,0,-4477.87013491372,-3104.65673900586,-1373.21339590786
2001,2.99275883652592,2.8109467143372,0,0.200009348057663,0,0.300074878175644,0,0.0946321623594244,0.0478397265706825,0,12,1.13056951078085,0.001,0.5,0.5,0,-4468.01662657299,-3126.81339994675,-1341.20322662624
3001,3.49068759232263,2.45231497395194,0,0.243052626319248,0,0.489505160178266,0,0.10076721432988,0.0260332883382259,0,12,1.08722768476824,0.001,0.5,0.5,0,-4454.34227468888,-3079.24195351051,-1375.10032117837
4001,3.70227837706426,2.25952693745591,0,0.220247742310331,0,0.563846757593581,0,0.111597981555114,0.00283429258616148,0,12,1.12000562919883,0.001,0.5,0.5,0,-4458.34841313981,-3065.44253468654,-1392.90587845327
5001,3.63360753620837,2.17864270930161,0,0.205319736157102,0,0.53086715835648,0,0.107764912879378,0.007367612626402,0,12,1.06478799347787,0.001,0.5,0.5,0,-4463.75460616924,-3068.13176280046,-1395.62284336878
6001,3.82678639894304,2.32406409715257,0,0.21246347552058,0,0.544326450872605,0,0.116131235806003,0.0221595294498621,0,12,1.09588547719967,0.001,0.5,0.5,0,-4500.04517788183,-3047.74784317879,-1452.29733470305
7001,3.67857770627563,2.3440817161402,0,0.160591495372503,0,0.551632042775527,0,0.115165060524408,0.00280956882720734,0,12,1.08204484408024,0.001,0.5,0.5,0,-4505.22931132973,-3037.52165516087,-1467.70765616886
8001,3.87639366296676,2.18845585679618,0,0.217931575205788,0,0.587108171403248,0,0.114821859993848,0.00409359511751669,0,12,1.09062874966698,0.001,0.5,0.5,0,-4529.62153507508,-3059.25715630393,-1470.36437877115
9001,3.91455630132958,2.2054053016624,0,0.209091067258977,0,0.511586290014263,0,0.113538188975611,0.00368897245916567,0,12,1.08578254870533,0.001,0.5,0.5,0,-4507.88125413249,-3068.32879354963,-1439.55246058287
10001,3.789719877302,2.34723189924823,0,0.206293795132644,0,0.501200381778741,0,0.116267774724246,0.00263295990355175,0,12,1.10343639378008,0.001,0.5,0.5,0,-4520.38138294889,-3053.65646774762,-1466.72491520127
11001,3.77272584651568,2.3193172348155,0,0.226371120689058,0,0.520314843971296,0,0.116217150287627,0.000667784730847352,0,12,1.07803097836448,0.001,0.5,0.5,0,-4523.15544554611,-3048.57595598669,-1474.57948955941
12001,3.80386176269207,2.16992550056951,0,0.218141930187645,0,0.546423663958134,0,0.113643908784511,0.000936911350151265,0,12,1.09159282943506,0.001,0.5,0.5,0,-4556.12824025104,-3073.29385522561,-1482.83438502542
13001,3.70410032996522,2.36706968963182,0,0.222169839436691,0,0.554355078094307,0,0.113475015801656,0.000248092821781357,0,12,1.09405510039903,0.001,0.5,0.5,0,-4510.02604299724,-3035.25553800349,-1474.77050499375
14001,3.73829209217692,2.32897514974016,0,0.222867782403878,0,0.495463757727732,0,0.10896911954845,0.00273097099288072,0,12,1.06046623812082,0.001,0.5,0.5,0,-4487.12148625457,-3034.13661581492,-1452.98487043964
15001,3.69182917845649,2.7618021254145,0,0.252820752364462,0,0.493454331517512,0,0.117552415907083,0.00275493070699539,0,12,1.05624235325513,0.001,0.5,0.5,0,-4518.28997686963,-3032.97956590995,-1485.31041095968
16001,3.49150233017562,2.72424781110919,0,0.230642321834,0,0.49196676600194,0,0.114699442057856,0.000796718155054268,0,12,1.09156278511125,0.001,0.5,0.5,0,-4568.74038109837,-3063.70660181087,-1505.0337792875
17001,3.63372300605469,2.54812304831976,0,0.233491806203216,0,0.549621009055957,0,0.116065374494313,0.00396354811671973,0,12,1.05465741187746,0.001,0.5,0.5,0,-4552.89729138591,-3005.93980035644,-1546.95749102948
18001,3.84522937325636,2.43992539400792,0,0.23213135248519,0,0.539053985382309,0,0.118663718680211,0.000597086754911438,0,12,1.09779824550296,0.001,0.5,0.5,0,-4543.29164210943,-3066.66814986039,-1476.62349224905
