samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.44087232782073,2.19355936284651,0,0.473654191014374,0,0.462735190347051,0,0.121254577096773,0.0375597699783817,0,12,1.80539577268584,0.001,0.5,0.5,0,-8933.96711764367,-7697.27230152305,-1236.69481612062
1001,3.34232076322723,2.50125189397028,0,0.320392871122276,0,0.384123844024204,0,0.0688284340585383,0.0109945435768144,0,12,1.2097051451259,0.001,0.5,0.5,0,-4500.43873226681,-3185.39231147258,-1315.04642079422
2001,3.16059738383728,2.58102569213448,0,0.262245327873861,0,0.432957441209617,0,0.0652464906385333,0.0096993265970283,0,12,1.18684842923295,0.001,0.5,0.5,0,-4502.29878009575,-3162.69720374846,-1339.6015763473
3001,2.8449155940177,2.85638124958757,0,0.265746602760417,0,0.433952539674965,0,0.0739466994568114,0.00852596483720459,0,12,1.12705729701318,0.001,0.5,0.5,0,-4497.87434515546,-3125.19255289829,-1372.68179225718
4001,2.92679251371881,2.66350398617602,0,0.25899983971519,0,0.402991264757171,0,0.0721543690096118,0.00391927891749302,0,12,1.15122831780797,0.001,0.5,0.5,0,-4470.43596103168,-3152.14681043208,-1318.2891505996
5001,3.04802524750564,2.68119857071558,0,0.239058265064577,0,0.515958942431193,0,0.0677771408964164,0.000842641904878892,0,12,1.11434638367497,0.001,0.5,0.5,0,-4432.7383598135,-3122.65656606986,-1310.08179374364
6001,3.10557600099,2.65790756348351,0,0.258112368946519,0,0.548729959106799,0,0.0643620172045178,0.0151846293458857,0,12,1.14430237446064,0.001,0.5,0.5,0,-4507.03714425228,-3122.22465044588,-1384.81249380639
7001,3.08495144954342,2.43528433294397,0,0.233511379967941,0,0.500428419413456,0,0.0702084210898028,0.00319220169990852,0,12,1.0905785471953,0.001,0.5,0.5,0,-4451.36107148614,-3086.06523951353,-1365.29583197261
8001,3.05971427417786,2.39700320257483,0,0.254493561010033,0,0.43991686209188,0,0.0660939385842933,0.00301765482563174,0,12,1.13244885615293,0.001,0.5,0.5,0,-4507.57587582563,-3153.97091681869,-1353.60495900694
9001,2.92575983356961,2.84294750205484,0,0.254132765807941,0,0.392965567058746,0,0.0645388053856206,0.0204420220039989,0,12,1.15267386088087,0.001,0.5,0.5,0,-4576.90311783302,-3151.34467228352,-1425.5584455495
