j,population_group,mean,median,lower_quantile,upper_quantile,effective_size,gelman_point,gelman_upper
1,1,6.817910447761195,7,0,13,1005.0000000000001,1.0036646291995777,1.0187133979691798
2,1,2.903482587064677,1,0,15,921.990025176802,1.0504233801633995,1.1024153421961331
3,1,27.989054726368163,29,4,47,1005,1.0012563186729693,1.0094623258974864
4,1,63.06865671641791,63,43,81,1005,1.0024741592450461,1.0133858763115697
5,1,78.88557213930349,79,16.1,139,833.7852896124976,1.0016442603602331,1.007936652523096
6,1,12.876616915422886,13,7,22,1005,0.9994770423957435,1.0069478344391594
7,1,113.04179104477612,113,91,135,1005,1.0048807354615525,1.0177411330647697
8,1,89.6268656716418,89,68,114.89999999999998,920.9355197204771,0.9966020055819963,0.9982380979653999
9,1,126.52636815920398,127,105,145,1005.0000000000002,1.0014390232530137,1.012099254450902
10,1,49.75223880597016,50,28,70,726.4777741880009,0.9991577969941083,1.0034528285680024
11,1,21.127363184079606,21,8,35.89999999999998,615.9123846199375,1.0035751440267784,1.0158143935834614
12,1,0.3562189054726366,0,0,2,1089.6541822107463,1.0253273140569763,1.0549509423757635
