Parameter,Data,Map,Avidity,IC50
Antigenic seniority parameter,avid_debbink,Debbink,"0.485 (0.384, 0.554)",NA
Long-term boost,avid_debbink,Debbink,"1.41 (1.02, 1.55)",NA
Long-term cross-reactivity gradient,avid_debbink,Debbink,"0.952 (5.03e-05, 4.97)",NA
Observation error (standard deviation),avid_debbink,Debbink,"0.729 (0.699, 0.76)",NA
Transient boost,avid_debbink,Debbink,"1.27 (1.01, 1.7)",NA
Transient cross-reactivity gradient,avid_debbink,Debbink,"3.79 (0.000325, 4.99)",NA
Transient waning rate,avid_debbink,Debbink,"0.0257 (0.000811, 0.0927)",NA
Antigenic seniority parameter,avid_kendra,Kendra,"0.477 (0.362, 0.551)",NA
Long-term boost,avid_kendra,Kendra,"1.43 (1.04, 1.56)",NA
Long-term cross-reactivity gradient,avid_kendra,Kendra,"0.854 (8.63e-05, 4.84)",NA
Observation error (standard deviation),avid_kendra,Kendra,"0.724 (0.694, 0.754)",NA
Transient boost,avid_kendra,Kendra,"1.3 (1.05, 1.76)",NA
Transient cross-reactivity gradient,avid_kendra,Kendra,"3.34 (0.000372, 4.96)",NA
Transient waning rate,avid_kendra,Kendra,"0.0329 (0.0012, 0.113)",NA
Antigenic seniority parameter,both_kendra,Kendra,"0.455 (0.394, 0.521)","0.0673 (0.0233, 0.11)"
Long-term boost,both_kendra,Kendra,"1.48 (1.31, 1.65)","2.18 (1.79, 2.59)"
Long-term cross-reactivity gradient,both_kendra,Kendra,"0.0357 (0.0184, 0.053)","0.284 (0.213, 0.401)"
Observation error (standard deviation),both_kendra,Kendra,"0.876 (0.842, 0.913)","1.12 (1.07, 1.16)"
Transient boost,both_kendra,Kendra,"0.5 (0.296, 0.7)","3.56 (3.1, 4.05)"
Transient cross-reactivity gradient,both_kendra,Kendra,"0.02 (0.000608, 0.0839)","0.00679 (0.000151, 0.0238)"
Transient waning rate,both_kendra,Kendra,"3.29 (1.2, 4.92)","0.726 (0.576, 0.935)"
Antigenic seniority parameter,both_real,Debbink,"0.43 (0.364, 0.492)","0.0574 (0.00815, 0.109)"
Long-term boost,both_real,Debbink,"1.02 (0.125, 1.45)","1.49 (1.26, 1.7)"
Long-term cross-reactivity gradient,both_real,Debbink,"0.0462 (0.0123, 0.225)","1.63 (1.06, 2.35)"
Observation error (standard deviation),both_real,Debbink,"0.884 (0.849, 0.919)","1.12 (1.08, 1.17)"
Transient boost,both_real,Debbink,"0.862 (0.471, 1.67)","4.51 (4.19, 4.83)"
Transient cross-reactivity gradient,both_real,Debbink,"0.0084 (0.00027, 0.0319)","0.0142 (0.00164, 0.0268)"
Transient waning rate,both_real,Debbink,"1.04 (0.0884, 4.54)","0.503 (0.443, 0.565)"
Antigenic seniority parameter,ic50_kendra,Kendra,NA,"0.0477 (0.00416, 0.0974)"
Long-term boost,ic50_kendra,Kendra,NA,"1.85 (1.55, 2.19)"
Long-term cross-reactivity gradient,ic50_kendra,Kendra,NA,"0.435 (0.297, 0.612)"
Observation error (standard deviation),ic50_kendra,Kendra,NA,"1.12 (1.07, 1.17)"
Transient boost,ic50_kendra,Kendra,NA,"4 (3.59, 4.36)"
Transient cross-reactivity gradient,ic50_kendra,Kendra,NA,"0.00546 (0.000191, 0.0184)"
Transient waning rate,ic50_kendra,Kendra,NA,"0.591 (0.499, 0.709)"
Antigenic seniority parameter,ic50_real,Debbink,NA,"0.0442 (0.00312, 0.0972)"
Long-term boost,ic50_real,Debbink,NA,"1.5 (1.28, 1.71)"
Long-term cross-reactivity gradient,ic50_real,Debbink,NA,"1.66 (1.08, 2.32)"
Observation error (standard deviation),ic50_real,Debbink,NA,"1.12 (1.07, 1.17)"
Transient boost,ic50_real,Debbink,NA,"4.53 (4.23, 4.81)"
Transient cross-reactivity gradient,ic50_real,Debbink,NA,"0.0139 (0.00148, 0.0253)"
Transient waning rate,ic50_real,Debbink,NA,"0.507 (0.444, 0.571)"
