samp_no,biomarker_group,name,value,name_key,biomarker_group_label,label,min_value,max_value
574191,1,boost_short,1.6885098740537399,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
785756,1,boost_short,2.1684052691912545,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
685905,1,boost_short,1.6670410701961957,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
61636,1,boost_short,1.777129369192664,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
559181,1,boost_short,1.7935835378735234,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
927162,1,boost_short,1.9848877607483277,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
169793,1,boost_short,2.011430521431978,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
21179,1,boost_short,1.9185872560762147,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
187508,2,boost_short,2.312908992478291,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
406444,1,boost_short,2.057855764862056,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
67616,2,boost_short,2.2056731346604965,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
1780,2,boost_short,1.5475531271974106,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
953992,1,boost_short,1.7967757758594927,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
95565,1,boost_short,1.696757265508242,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
902069,2,boost_short,2.109661525883586,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
141162,1,boost_short,1.7402310802337384,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
176832,1,boost_short,2.0656062630026555,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
920820,2,boost_short,1.9055716872705815,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
215789,2,boost_short,1.4721258872635412,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
56981,2,boost_short,1.6138158368138906,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
91558,1,boost_short,2.0723696601890267,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
762117,2,boost_short,2.091714537234133,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
427217,1,boost_short,1.6707557175122487,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
407685,1,boost_short,1.5628801775534102,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
590323,1,boost_short,1.6508357261603883,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
285434,2,boost_short,2.262784106537533,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
507660,1,boost_short,2.1437552972800846,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
741613,2,boost_short,1.8644461703415938,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
787650,2,boost_short,2.3202832246251894,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
164792,2,boost_short,2.201137335165403,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
125438,1,boost_short,1.4888230070836732,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
696039,1,boost_short,2.259440299450655,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
551323,2,boost_short,2.314609553602149,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
644235,1,boost_short,2.0749567016967627,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
589577,1,boost_short,1.63225164573307,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
2040,2,boost_short,1.8885728244006177,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
870236,1,boost_short,2.1038894757567976,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
524600,1,boost_short,1.8837846856738336,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
577719,1,boost_short,2.250902998945213,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
719970,2,boost_short,2.341202042001136,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
911218,2,boost_short,1.9091305549883721,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
829052,2,boost_short,1.5753870039700817,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
591473,2,boost_short,2.0241426501445914,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
32274,1,boost_short,1.995478075284752,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
875844,1,boost_short,2.1103702578987074,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
27841,2,boost_short,1.7745352681207667,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
890542,2,boost_short,1.5937679257918773,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
840306,1,boost_short,1.727508068877273,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
744977,2,boost_short,1.9663646252733624,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
11622,2,boost_short,2.0291184676910006,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
544145,1,boost_short,1.764091971183346,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
920527,1,boost_short,1.9971207301661313,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
368267,1,boost_short,1.8067732600463196,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
88048,1,boost_short,2.2185813135584613,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
855070,2,boost_short,2.1422533124691823,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
505511,1,boost_short,1.8233030170866282,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
489999,2,boost_short,2.0894102977600233,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
162501,1,boost_short,1.7897527166338,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
232680,2,boost_short,2.380180371599748,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
491865,1,boost_short,2.086885522974649,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
394072,1,boost_short,2.182067255784927,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
511236,1,boost_short,2.0478081616628128,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
310500,1,boost_short,2.15649654138154,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
741396,1,boost_short,1.6172654641464583,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
563759,1,boost_short,1.9393007188710918,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
484814,1,boost_short,2.1998294927779214,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
570771,1,boost_short,2.166245738589794,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
344875,1,boost_short,2.168568305991643,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
559205,1,boost_short,2.0889515378472057,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
773769,2,boost_short,2.0645948357274553,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
498923,1,boost_short,1.8438566256848181,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
203180,1,boost_short,1.538962413390043,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
119540,1,boost_short,2.247541472627159,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
16525,2,boost_short,1.6100825431435553,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
882512,1,boost_short,2.3845866219749365,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
103351,1,boost_short,1.6554772515196352,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
534425,1,boost_short,2.0418887690316265,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
493599,2,boost_short,2.107715762047884,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
303777,1,boost_short,1.886575697737906,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
225109,1,boost_short,1.943777464842239,Transient boost,Avidity,"Transient boost
(Avidity)",1.63400202161993,2.1753011759619
