population_group,time,samp_no,chain_no,V1,taken,n_alive,run_name,map
1,2001,400001,1,0.14285714285714285,No,21,both_kendra,kendra
1,2001,400001,2,0.5238095238095238,No,21,both_kendra,kendra
1,2001,400001,3,0.5714285714285714,No,21,both_kendra,kendra
1,2001,400001,4,0.3333333333333333,No,21,both_kendra,kendra
1,2001,400001,5,0.19047619047619047,No,21,both_kendra,kendra
1,2001,405001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,405001,2,0.09523809523809523,No,21,both_kendra,kendra
1,2001,405001,3,0.09523809523809523,No,21,both_kendra,kendra
1,2001,405001,4,0.23809523809523808,No,21,both_kendra,kendra
1,2001,405001,5,0.14285714285714285,No,21,both_kendra,kendra
1,2001,410001,1,0,No,21,both_kendra,kendra
1,2001,410001,2,0.6190476190476191,No,21,both_kendra,kendra
1,2001,410001,3,0,No,21,both_kendra,kendra
1,2001,410001,4,0.5238095238095238,No,21,both_kendra,kendra
1,2001,410001,5,0,No,21,both_kendra,kendra
1,2001,415001,1,0.23809523809523808,No,21,both_kendra,kendra
1,2001,415001,2,0.2857142857142857,No,21,both_kendra,kendra
1,2001,415001,3,0.23809523809523808,No,21,both_kendra,kendra
1,2001,415001,4,0.23809523809523808,No,21,both_kendra,kendra
1,2001,415001,5,0.42857142857142855,No,21,both_kendra,kendra
1,2001,420001,1,0.38095238095238093,No,21,both_kendra,kendra
1,2001,420001,2,0.047619047619047616,No,21,both_kendra,kendra
1,2001,420001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,420001,4,0.09523809523809523,No,21,both_kendra,kendra
1,2001,420001,5,0,No,21,both_kendra,kendra
1,2001,425001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,425001,2,0.5238095238095238,No,21,both_kendra,kendra
1,2001,425001,3,0.23809523809523808,No,21,both_kendra,kendra
1,2001,425001,4,0.3333333333333333,No,21,both_kendra,kendra
1,2001,425001,5,0.23809523809523808,No,21,both_kendra,kendra
1,2001,430001,1,0.23809523809523808,No,21,both_kendra,kendra
1,2001,430001,2,0.23809523809523808,No,21,both_kendra,kendra
1,2001,430001,3,0.47619047619047616,No,21,both_kendra,kendra
1,2001,430001,4,0.09523809523809523,No,21,both_kendra,kendra
1,2001,430001,5,0.2857142857142857,No,21,both_kendra,kendra
1,2001,435001,1,0.19047619047619047,No,21,both_kendra,kendra
1,2001,435001,2,0.14285714285714285,No,21,both_kendra,kendra
1,2001,435001,3,0.5714285714285714,No,21,both_kendra,kendra
1,2001,435001,4,0.2857142857142857,No,21,both_kendra,kendra
1,2001,435001,5,0,No,21,both_kendra,kendra
1,2001,440001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,440001,2,0,No,21,both_kendra,kendra
1,2001,440001,3,0.23809523809523808,No,21,both_kendra,kendra
1,2001,440001,4,0,No,21,both_kendra,kendra
1,2001,440001,5,0.09523809523809523,No,21,both_kendra,kendra
1,2001,445001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,445001,2,0.47619047619047616,No,21,both_kendra,kendra
1,2001,445001,3,0.047619047619047616,No,21,both_kendra,kendra
1,2001,445001,4,0.19047619047619047,No,21,both_kendra,kendra
1,2001,445001,5,0.3333333333333333,No,21,both_kendra,kendra
1,2001,450001,1,0.38095238095238093,No,21,both_kendra,kendra
1,2001,450001,2,0.47619047619047616,No,21,both_kendra,kendra
1,2001,450001,3,0.23809523809523808,No,21,both_kendra,kendra
1,2001,450001,4,0.14285714285714285,No,21,both_kendra,kendra
1,2001,450001,5,0.3333333333333333,No,21,both_kendra,kendra
1,2001,455001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,455001,2,0.047619047619047616,No,21,both_kendra,kendra
1,2001,455001,3,0.6190476190476191,No,21,both_kendra,kendra
1,2001,455001,4,0.047619047619047616,No,21,both_kendra,kendra
1,2001,455001,5,0.6190476190476191,No,21,both_kendra,kendra
1,2001,460001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,460001,2,0.23809523809523808,No,21,both_kendra,kendra
1,2001,460001,3,0.23809523809523808,No,21,both_kendra,kendra
1,2001,460001,4,0.42857142857142855,No,21,both_kendra,kendra
1,2001,460001,5,0.19047619047619047,No,21,both_kendra,kendra
1,2001,465001,1,0.38095238095238093,No,21,both_kendra,kendra
1,2001,465001,2,0.3333333333333333,No,21,both_kendra,kendra
1,2001,465001,3,0,No,21,both_kendra,kendra
1,2001,465001,4,0.3333333333333333,No,21,both_kendra,kendra
1,2001,465001,5,0.19047619047619047,No,21,both_kendra,kendra
1,2001,470001,1,0.14285714285714285,No,21,both_kendra,kendra
1,2001,470001,2,0.2857142857142857,No,21,both_kendra,kendra
1,2001,470001,3,0,No,21,both_kendra,kendra
1,2001,470001,4,0.2857142857142857,No,21,both_kendra,kendra
1,2001,470001,5,0.23809523809523808,No,21,both_kendra,kendra
1,2001,475001,1,0.47619047619047616,No,21,both_kendra,kendra
1,2001,475001,2,0.09523809523809523,No,21,both_kendra,kendra
1,2001,475001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,475001,4,0.09523809523809523,No,21,both_kendra,kendra
1,2001,475001,5,0,No,21,both_kendra,kendra
1,2001,480001,1,0.42857142857142855,No,21,both_kendra,kendra
1,2001,480001,2,0.2857142857142857,No,21,both_kendra,kendra
1,2001,480001,3,0.5714285714285714,No,21,both_kendra,kendra
1,2001,480001,4,0.38095238095238093,No,21,both_kendra,kendra
1,2001,480001,5,0.47619047619047616,No,21,both_kendra,kendra
1,2001,485001,1,0,No,21,both_kendra,kendra
1,2001,485001,2,0.23809523809523808,No,21,both_kendra,kendra
1,2001,485001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,485001,4,0.3333333333333333,No,21,both_kendra,kendra
1,2001,485001,5,0.7619047619047619,No,21,both_kendra,kendra
1,2001,490001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,490001,2,0.3333333333333333,No,21,both_kendra,kendra
1,2001,490001,3,0.2857142857142857,No,21,both_kendra,kendra
1,2001,490001,4,0.14285714285714285,No,21,both_kendra,kendra
1,2001,490001,5,0.2857142857142857,No,21,both_kendra,kendra
1,2001,495001,1,0.42857142857142855,No,21,both_kendra,kendra
1,2001,495001,2,0.09523809523809523,No,21,both_kendra,kendra
1,2001,495001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,495001,4,0.6666666666666666,No,21,both_kendra,kendra
1,2001,495001,5,0.19047619047619047,No,21,both_kendra,kendra
1,2001,500001,1,0,No,21,both_kendra,kendra
1,2001,500001,2,0,No,21,both_kendra,kendra
1,2001,500001,3,0.23809523809523808,No,21,both_kendra,kendra
1,2001,500001,4,0,No,21,both_kendra,kendra
1,2001,500001,5,0,No,21,both_kendra,kendra
1,2001,505001,1,0.23809523809523808,No,21,both_kendra,kendra
1,2001,505001,2,0.19047619047619047,No,21,both_kendra,kendra
1,2001,505001,3,0.09523809523809523,No,21,both_kendra,kendra
1,2001,505001,4,0.09523809523809523,No,21,both_kendra,kendra
1,2001,505001,5,0.14285714285714285,No,21,both_kendra,kendra
1,2001,510001,1,0.38095238095238093,No,21,both_kendra,kendra
1,2001,510001,2,0.19047619047619047,No,21,both_kendra,kendra
1,2001,510001,3,0.47619047619047616,No,21,both_kendra,kendra
1,2001,510001,4,0.2857142857142857,No,21,both_kendra,kendra
1,2001,510001,5,0,No,21,both_kendra,kendra
1,2001,515001,1,0.23809523809523808,No,21,both_kendra,kendra
1,2001,515001,2,0.5238095238095238,No,21,both_kendra,kendra
1,2001,515001,3,0.42857142857142855,No,21,both_kendra,kendra
1,2001,515001,4,0.42857142857142855,No,21,both_kendra,kendra
1,2001,515001,5,0.3333333333333333,No,21,both_kendra,kendra
1,2001,520001,1,0.5238095238095238,No,21,both_kendra,kendra
1,2001,520001,2,0.5714285714285714,No,21,both_kendra,kendra
1,2001,520001,3,0.38095238095238093,No,21,both_kendra,kendra
1,2001,520001,4,0.38095238095238093,No,21,both_kendra,kendra
1,2001,520001,5,0,No,21,both_kendra,kendra
1,2001,525001,1,0,No,21,both_kendra,kendra
1,2001,525001,2,0.2857142857142857,No,21,both_kendra,kendra
1,2001,525001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,525001,4,0.047619047619047616,No,21,both_kendra,kendra
1,2001,525001,5,0.14285714285714285,No,21,both_kendra,kendra
1,2001,530001,1,0.047619047619047616,No,21,both_kendra,kendra
1,2001,530001,2,0.19047619047619047,No,21,both_kendra,kendra
1,2001,530001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,530001,4,0,No,21,both_kendra,kendra
1,2001,530001,5,0.6666666666666666,No,21,both_kendra,kendra
1,2001,535001,1,0.23809523809523808,No,21,both_kendra,kendra
1,2001,535001,2,0.23809523809523808,No,21,both_kendra,kendra
1,2001,535001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,535001,4,0.6190476190476191,No,21,both_kendra,kendra
1,2001,535001,5,0.2857142857142857,No,21,both_kendra,kendra
1,2001,540001,1,0.47619047619047616,No,21,both_kendra,kendra
1,2001,540001,2,0,No,21,both_kendra,kendra
1,2001,540001,3,0.3333333333333333,No,21,both_kendra,kendra
1,2001,540001,4,0.19047619047619047,No,21,both_kendra,kendra
1,2001,540001,5,0,No,21,both_kendra,kendra
1,2001,545001,1,0.047619047619047616,No,21,both_kendra,kendra
1,2001,545001,2,0.3333333333333333,No,21,both_kendra,kendra
1,2001,545001,3,0.09523809523809523,No,21,both_kendra,kendra
1,2001,545001,4,0.42857142857142855,No,21,both_kendra,kendra
1,2001,545001,5,0.23809523809523808,No,21,both_kendra,kendra
1,2001,550001,1,0,No,21,both_kendra,kendra
1,2001,550001,2,0.2857142857142857,No,21,both_kendra,kendra
1,2001,550001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,550001,4,0.19047619047619047,No,21,both_kendra,kendra
1,2001,550001,5,0.38095238095238093,No,21,both_kendra,kendra
1,2001,555001,1,0.19047619047619047,No,21,both_kendra,kendra
1,2001,555001,2,0.09523809523809523,No,21,both_kendra,kendra
1,2001,555001,3,0.19047619047619047,No,21,both_kendra,kendra
1,2001,555001,4,0.2857142857142857,No,21,both_kendra,kendra
1,2001,555001,5,0.09523809523809523,No,21,both_kendra,kendra
1,2001,560001,1,0.19047619047619047,No,21,both_kendra,kendra
1,2001,560001,2,0.09523809523809523,No,21,both_kendra,kendra
1,2001,560001,3,0.19047619047619047,No,21,both_kendra,kendra
1,2001,560001,4,0.09523809523809523,No,21,both_kendra,kendra
1,2001,560001,5,0.3333333333333333,No,21,both_kendra,kendra
1,2001,565001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,565001,2,0.23809523809523808,No,21,both_kendra,kendra
1,2001,565001,3,0.2857142857142857,No,21,both_kendra,kendra
1,2001,565001,4,0.3333333333333333,No,21,both_kendra,kendra
1,2001,565001,5,0.09523809523809523,No,21,both_kendra,kendra
1,2001,570001,1,0,No,21,both_kendra,kendra
1,2001,570001,2,0,No,21,both_kendra,kendra
1,2001,570001,3,0,No,21,both_kendra,kendra
1,2001,570001,4,0.2857142857142857,No,21,both_kendra,kendra
1,2001,570001,5,0.38095238095238093,No,21,both_kendra,kendra
1,2001,575001,1,0.23809523809523808,No,21,both_kendra,kendra
1,2001,575001,2,0.2857142857142857,No,21,both_kendra,kendra
1,2001,575001,3,0,No,21,both_kendra,kendra
1,2001,575001,4,0.23809523809523808,No,21,both_kendra,kendra
1,2001,575001,5,0.09523809523809523,No,21,both_kendra,kendra
1,2001,580001,1,0,No,21,both_kendra,kendra
1,2001,580001,2,0.2857142857142857,No,21,both_kendra,kendra
1,2001,580001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,580001,4,0.38095238095238093,No,21,both_kendra,kendra
1,2001,580001,5,0.19047619047619047,No,21,both_kendra,kendra
1,2001,585001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,585001,2,0,No,21,both_kendra,kendra
1,2001,585001,3,0.047619047619047616,No,21,both_kendra,kendra
1,2001,585001,4,0.19047619047619047,No,21,both_kendra,kendra
1,2001,585001,5,0,No,21,both_kendra,kendra
1,2001,590001,1,0.5238095238095238,No,21,both_kendra,kendra
1,2001,590001,2,0.2857142857142857,No,21,both_kendra,kendra
1,2001,590001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,590001,4,0.2857142857142857,No,21,both_kendra,kendra
1,2001,590001,5,0.09523809523809523,No,21,both_kendra,kendra
1,2001,595001,1,0.14285714285714285,No,21,both_kendra,kendra
1,2001,595001,2,0,No,21,both_kendra,kendra
1,2001,595001,3,0.23809523809523808,No,21,both_kendra,kendra
1,2001,595001,4,0.047619047619047616,No,21,both_kendra,kendra
1,2001,595001,5,0.09523809523809523,No,21,both_kendra,kendra
1,2001,600001,1,0.2857142857142857,No,21,both_kendra,kendra
1,2001,600001,2,0.047619047619047616,No,21,both_kendra,kendra
1,2001,600001,3,0.5238095238095238,No,21,both_kendra,kendra
1,2001,600001,4,0.047619047619047616,No,21,both_kendra,kendra
1,2001,600001,5,0,No,21,both_kendra,kendra
1,2001,605001,1,0.047619047619047616,No,21,both_kendra,kendra
1,2001,605001,2,0.47619047619047616,No,21,both_kendra,kendra
1,2001,605001,3,0.47619047619047616,No,21,both_kendra,kendra
1,2001,605001,4,0.047619047619047616,No,21,both_kendra,kendra
1,2001,605001,5,0,No,21,both_kendra,kendra
1,2001,610001,1,0.42857142857142855,No,21,both_kendra,kendra
1,2001,610001,2,0.14285714285714285,No,21,both_kendra,kendra
1,2001,610001,3,0.6666666666666666,No,21,both_kendra,kendra
1,2001,610001,4,0.14285714285714285,No,21,both_kendra,kendra
1,2001,610001,5,0.42857142857142855,No,21,both_kendra,kendra
1,2001,615001,1,0.5238095238095238,No,21,both_kendra,kendra
1,2001,615001,2,0.2857142857142857,No,21,both_kendra,kendra
1,2001,615001,3,0.23809523809523808,No,21,both_kendra,kendra
1,2001,615001,4,0.38095238095238093,No,21,both_kendra,kendra
1,2001,615001,5,0.19047619047619047,No,21,both_kendra,kendra
1,2001,620001,1,0,No,21,both_kendra,kendra
1,2001,620001,2,0,No,21,both_kendra,kendra
1,2001,620001,3,0.42857142857142855,No,21,both_kendra,kendra
1,2001,620001,4,0.19047619047619047,No,21,both_kendra,kendra
1,2001,620001,5,0.2857142857142857,No,21,both_kendra,kendra
1,2001,625001,1,0.38095238095238093,No,21,both_kendra,kendra
1,2001,625001,2,0.3333333333333333,No,21,both_kendra,kendra
1,2001,625001,3,0.2857142857142857,No,21,both_kendra,kendra
1,2001,625001,4,0,No,21,both_kendra,kendra
1,2001,625001,5,0.3333333333333333,No,21,both_kendra,kendra
1,2001,630001,1,0.3333333333333333,No,21,both_kendra,kendra
1,2001,630001,2,0.047619047619047616,No,21,both_kendra,kendra
1,2001,630001,3,0.14285714285714285,No,21,both_kendra,kendra
1,2001,630001,4,0.38095238095238093,No,21,both_kendra,kendra
1,2001,630001,5,0.23809523809523808,No,21,both_kendra,kendra
1,2001,635001,1,0.42857142857142855,No,21,both_kendra,kendra
1,2001,635001,2,0.47619047619047616,No,21,both_kendra,kendra
1,2001,635001,3,0.2857142857142857,No,21,both_kendra,kendra
1,2001,635001,4,0.09523809523809523,No,21,both_kendra,kendra
1,2001,635001,5,0.19047619047619047,No,21,both_kendra,kendra
1,2001,640001,1,0.5238095238095238,No,21,both_kendra,kendra
1,2001,640001,2,0,No,21,both_kendra,kendra
1,2001,640001,3,0,No,21,both_kendra,kendra
1,2001,640001,4,0.38095238095238093,No,21,both_kendra,kendra
1,2001,640001,5,0.047619047619047616,No,21,both_kendra,kendra
1,2001,645001,1,0.42857142857142855,No,21,both_kendra,kendra
1,2001,645001,2,0.047619047619047616,No,21,both_kendra,kendra
1,2001,645001,3,0,No,21,both_kendra,kendra
1,2001,645001,4,0.42857142857142855,No,21,both_kendra,kendra
1,2001,645001,5,0,No,21,both_kendra,kendra
1,2001,650001,1,0,No,21,both_kendra,kendra
1,2001,650001,2,0.14285714285714285,No,21,both_kendra,kendra
1,2001,650001,3,0,No,21,both_kendra,kendra
1,2001,650001,4,0.14285714285714285,No,21,both_kendra,kendra
1,2001,650001,5,0,No,21,both_kendra,kendra
1,2001,655001,1,0.09523809523809523,No,21,both_kendra,kendra
1,2001,655001,2,0.38095238095238093,No,21,both_kendra,kendra
1,2001,655001,3,0.6190476190476191,No,21,both_kendra,kendra
1,2001,655001,4,0.23809523809523808,No,21,both_kendra,kendra
1,2001,655001,5,0.23809523809523808,No,21,both_kendra,kendra
1,2001,660001,1,0.47619047619047616,No,21,both_kendra,kendra
1,2001,660001,2,0.14285714285714285,No,21,both_kendra,kendra
1,2001,660001,3,0.047619047619047616,No,21,both_kendra,kendra
1,2001,660001,4,0.3333333333333333,No,21,both_kendra,kendra
1,2001,660001,5,0.42857142857142855,No,21,both_kendra,kendra
1,2001,665001,1,0.23809523809523808,No,21,both_kendra,kendra
1,2001,665001,2,0.3333333333333333,No,21,both_kendra,kendra
1,2001,665001,3,0.09523809523809523,No,21,both_kendra,kendra
1,2001,665001,4,0.3333333333333333,No,21,both_kendra,kendra
1,2001,665001,5,0.3333333333333333,No,21,both_kendra,kendra
1,2001,670001,1,0.47619047619047616,No,21,both_kendra,kendra
1,2001,670001,2,0.23809523809523808,No,21,both_kendra,kendra
1,2001,670001,3,0.047619047619047616,No,21,both_kendra,kendra
1,2001,670001,4,0.47619047619047616,No,21,both_kendra,kendra
1,2001,670001,5,0,No,21,both_kendra,kendra
1,2001,675001,1,0.047619047619047616,No,21,both_kendra,kendra
1,2001,675001,2,0.14285714285714285,No,21,both_kendra,kendra
1,2001,675001,3,0,No,21,both_kendra,kendra
1,2001,675001,4,0.3333333333333333,No,21,both_kendra,kendra
1,2001,675001,5,0.09523809523809523,No,21,both_kendra,kendra
1,2001,680001,1,0.23809523809523808,No,21,both_kendra,kendra
1,2001,680001,2,0.14285714285714285,No,21,both_kendra,kendra
1,2001,680001,3,0.047619047619047616,No,21,both_kendra,kendra
1,2001,680001,4,0.14285714285714285,No,21,both_kendra,kendra
1,2001,680001,5,0,No,21,both_kendra,kendra
1,2001,685001,1,0.09523809523809523,No,21,both_kendra,kendra
1,2001,685001,2,0.42857142857142855,No,21,both_kendra,kendra
1,2001,685001,3,0.3333333333333333,No,21,both_kendra,kendra
1,2001,685001,4,0,No,21,both_kendra,kendra
1,2001,685001,5,0.047619047619047616,No,21,both_kendra,kendra
1,2001,690001,1,0,No,21,both_kendra,kendra
1,2001,690001,2,0.5238095238095238,No,21,both_kendra,kendra
1,2001,690001,3,0.047619047619047616,No,21,both_kendra,kendra
1,2001,690001,4,0.3333333333333333,No,21,both_kendra,kendra
1,2001,690001,5,0.14285714285714285,No,21,both_kendra,kendra
1,2001,695001,1,0.14285714285714285,No,21,both_kendra,kendra
1,2001,695001,2,0.19047619047619047,No,21,both_kendra,kendra
1,2001,695001,3,0.2857142857142857,No,21,both_kendra,kendra
1,2001,695001,4,0.14285714285714285,No,21,both_kendra,kendra
1,2001,695001,5,0.19047619047619047,No,21,both_kendra,kendra
1,2001,700001,1,0.047619047619047616,No,21,both_kendra,kendra
1,2001,700001,2,0.38095238095238093,No,21,both_kendra,kendra
1,2001,700001,3,0.2857142857142857,No,21,both_kendra,kendra
1,2001,700001,4,0.2857142857142857,No,21,both_kendra,kendra
1,2001,700001,5,0.23809523809523808,No,21,both_kendra,kendra
1,2001,705001,1,0.38095238095238093,No,21,both_kendra,kendra
1,2001,705001,2,0,No,21,both_kendra,kendra
1,2001,705001,3,0.23809523809523808,No,21,both_kendra,kendra
1,2001,705001,4,0.2857142857142857,No,21,both_kendra,kendra
1,2001,705001,5,0.09523809523809523,No,21,both_kendra,kendra
1,2001,710001,1,0.047619047619047616,No,21,both_kendra,kendra
1,2001,710001,2,0.3333333333333333,No,21,both_kendra,kendra
1,2001,710001,3,0.2857142857142857,No,21,both_kendra,kendra
1,2001,710001,4,0.09523809523809523,No,21,both_kendra,kendra
1,2001,710001,5,0.6190476190476191,No,21,both_kendra,kendra
1,2001,715001,1,0.42857142857142855,No,21,both_kendra,kendra
1,2001,715001,2,0.3333333333333333,No,21,both_kendra,kendra
1,2001,715001,3,0.38095238095238093,No,21,both_kendra,kendra
1,2001,715001,4,0.19047619047619047,No,21,both_kendra,kendra
1,2001,715001,5,0.19047619047619047,No,21,both_kendra,kendra
1,2001,720001,1,0.14285714285714285,No,21,both_kendra,kendra
1,2001,720001,2,0.42857142857142855,No,21,both_kendra,kendra
1,2001,720001,3,0.47619047619047616,No,21,both_kendra,kendra
1,2001,720001,4,0.5238095238095238,No,21,both_kendra,kendra
1,2001,720001,5,0.047619047619047616,No,21,both_kendra,kendra
1,2001,725001,1,0.38095238095238093,No,21,both_kendra,kendra
1,2001,725001,2,0.42857142857142855,No,21,both_kendra,kendra
1,2001,725001,3,0,No,21,both_kendra,kendra
1,2001,725001,4,0.09523809523809523,No,21,both_kendra,kendra
1,2001,725001,5,0.09523809523809523,No,21,both_kendra,kendra
1,2001,730001,1,0,No,21,both_kendra,kendra
1,2001,730001,2,0.14285714285714285,No,21,both_kendra,kendra
1,2001,730001,3,0.047619047619047616,No,21,both_kendra,kendra
1,2001,730001,4,0.047619047619047616,No,21,both_kendra,kendra
1,2001,730001,5,0.14285714285714285,No,21,both_kendra,kendra
1,2001,735001,1,0.047619047619047616,No,21,both_kendra,kendra
