sample_time,biomarker_id,mean_titre1,lower,upper,strain
2001,2002,0,0,0,FY-2002
2001,2006,0,0,0,DH-2006
2001,2009,0,0,0,NO-2009
2001,2012,0,0,0,SY-2012
2002,2002,0.014588173606601362,0,0.044136265944556184,FY-2002
2002,2006,0.011943649703695417,0,0.03842894048935032,DH-2006
2002,2009,0.01193831562407946,0,0.03841563515208932,NO-2009
2002,2012,0.01184312392364815,0,0.03817818881273258,SY-2012
2003,2002,0.1862135344413806,0.12461000413089436,0.24000903735259907,FY-2002
2003,2006,0.1028214828195431,0.0675827714457096,0.13394292545951195,DH-2006
2003,2009,0.10290812754940062,0.06761890739506062,0.13405478440091123,NO-2009
2003,2012,0.1020790932832428,0.06728484008807768,0.13296257030273903,SY-2012
2004,2002,0.19125127622400084,0.1345562142195505,0.2655518777973198,FY-2002
2004,2006,0.11442545560554707,0.051952772002074446,0.18273356714265312,DH-2006
2004,2009,0.11443133212663494,0.051952772002074446,0.18273426258783904,NO-2009
2004,2012,0.11344253338926111,0.05159445370296536,0.18187583232549293,SY-2012
2005,2002,0.17281887762971826,0.09230430108788247,0.2595095293642647,FY-2002
2005,2006,0.09973328451180666,0.012937697307283424,0.18712266753044493,DH-2006
2005,2009,0.09941311861102967,0.0128808533385796,0.1864010685752588,NO-2009
2005,2012,0.09845402292706107,0.012721758794168595,0.18437891273925983,SY-2012
2006,2002,0.28765834369793897,0.22193979989685905,0.3660050994764086,FY-2002
2006,2006,0.22623351252288748,0.1486978892210317,0.3150989445548908,DH-2006
2006,2009,0.22227746723277333,0.14665470588759758,0.3064657779419886,NO-2009
2006,2012,0.21986647317877075,0.14583261945981518,0.30339464425076124,SY-2012
2007,2002,0.14313286199185374,0.09454298044398902,0.19175019533213233,FY-2002
2007,2006,0.11606318383943158,0.05235848595110293,0.19563658815542503,DH-2006
2007,2009,0.07359443938598337,0.029544283949130324,0.12493976039485925,NO-2009
2007,2012,0.07287105499622741,0.029374972394531518,0.1248819995539007,SY-2012
2008,2002,0.5525331776545861,0.48608000379781746,0.6322980745750159,FY-2002
2008,2006,0.5562778237066429,0.47008455724998294,0.6379288581658069,DH-2006
2008,2009,0.517063934275929,0.43703336712817226,0.6020515496298975,NO-2009
2008,2012,0.5120384380857329,0.4355484579609316,0.5972275078545369,SY-2012
2009,2002,0.4108539390682182,0.3297848190954984,0.5265474572212491,FY-2002
2009,2006,0.4013443706545771,0.3229452368807903,0.5372842828303789,DH-2006
2009,2009,0.41939825517236984,0.32925492876198387,0.5425457713036144,NO-2009
2009,2012,0.362606949571394,0.26958637551679726,0.4981772444681871,SY-2012
2010,2002,0.5089289909406883,0.42247834935110473,0.6105234475521997,FY-2002
2010,2006,0.5026814413521438,0.41425479561475553,0.6107928679512437,DH-2006
2010,2009,0.824253958208063,0.7045906642519063,0.9444204939411189,NO-2009
2010,2012,0.47697584861823683,0.39359001158367696,0.5965411130706987,SY-2012
2011,2002,0.3190173207305334,0.24483737732280533,0.4224713941404451,FY-2002
2011,2006,0.2997929117192497,0.230737516712769,0.40257493590014093,DH-2006
2011,2009,0.6776294291917676,0.5711268676548615,0.7899820091049476,NO-2009
2011,2012,0.30076943639913156,0.2132887516683383,0.41939678316543205,SY-2012
2012,2002,0.18167279222650698,0.13747541788991885,0.23429983926094794,FY-2002
2012,2006,0.15479696020365577,0.10244777485852467,0.2152379343445639,DH-2006
2012,2009,0.5433612442124138,0.4592782053929028,0.6358667377670844,NO-2009
2012,2012,0.17676225724224134,0.11122386259404432,0.26347614012225173,SY-2012
2001,2001,0,0,0,"Matched to 
circulating virus"
2002,2002,0.014588173606601362,0,0.044136265944556184,"Matched to 
circulating virus"
2003,2003,0.10898609295448002,0.0700230302450016,0.14209556877481588,"Matched to 
circulating virus"
2004,2004,0.11918175079164055,0.053682051396892465,0.18994872359862183,"Matched to 
circulating virus"
2005,2005,0.10129198153533527,0.01319397713969278,0.1903806427198347,"Matched to 
circulating virus"
2006,2006,0.22623351252288748,0.1486978892210317,0.3150989445548908,"Matched to 
circulating virus"
2007,2007,0.07455081770053595,0.029788022140365182,0.12521578631814562,"Matched to 
circulating virus"
2008,2008,0.601218651713399,0.5012568496222269,0.6920695426173404,"Matched to 
circulating virus"
2009,2009,0.41939825517236984,0.32925492876198387,0.5425457713036144,"Matched to 
circulating virus"
2010,2010,0.590012636602421,0.48161383368586824,0.6985411033127364,"Matched to 
circulating virus"
2011,2011,0.4579357357101011,0.34736325821730685,0.5706624273403661,"Matched to 
circulating virus"
2012,2012,0.17676225724224134,0.11122386259404432,0.26347614012225173,"Matched to 
circulating virus"
