samp_no,chain_no,names_new,est,names,values,biomarker_group,biomarker_group_label,run_name,map,name_key,label
1000001,1,boost_long,3.35266161650494,boost_long,1.5,1,IC50,both_kendra,kendra,Long-term boost,"Long-term boost
(IC50)"
1000001,1,boost_short,2.4609561351862,boost_short,2,1,IC50,both_kendra,kendra,Transient boost,"Transient boost
(IC50)"
1000001,1,antigenic_seniority,0.179812087006482,antigenic_seniority,0.05,1,IC50,both_kendra,kendra,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
1000001,1,wane_short,0.497045859763143,wane_short,0.25,1,IC50,both_kendra,kendra,Transient waning rate,"Transient waning rate
(IC50)"
1000001,1,cr_long,0.105357843044908,cr_long,0.1,1,IC50,both_kendra,kendra,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
1000001,1,cr_short,0.00820978205555438,cr_short,0.03,1,IC50,both_kendra,kendra,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
1000001,1,obs_sd,1.06248574558929,obs_sd,1,1,IC50,both_kendra,kendra,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
1000001,1,boost_short.1,1.90610957569854,boost_short,2,2,Avidity,both_kendra,kendra,Transient boost,"Transient boost
(Avidity)"
1000001,1,antigenic_seniority.1,0.76566899239775,antigenic_seniority,0.05,2,Avidity,both_kendra,kendra,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
1000001,1,wane_short.1,0.00355770340305823,wane_short,0.25,2,Avidity,both_kendra,kendra,Transient waning rate,"Transient waning rate
(Avidity)"
1000001,1,cr_short.1,0.0190832095280382,cr_short,0.03,2,Avidity,both_kendra,kendra,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
1000001,1,obs_sd.1,0.871481555094925,obs_sd,1,2,Avidity,both_kendra,kendra,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
1000001,2,boost_long,3.63915253517895,boost_long,1.5,1,IC50,both_kendra,kendra,Long-term boost,"Long-term boost
(IC50)"
1000001,2,boost_short,2.50701956553116,boost_short,2,1,IC50,both_kendra,kendra,Transient boost,"Transient boost
(IC50)"
1000001,2,antigenic_seniority,0.231755141495405,antigenic_seniority,0.05,1,IC50,both_kendra,kendra,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
1000001,2,wane_short,0.557855396748548,wane_short,0.25,1,IC50,both_kendra,kendra,Transient waning rate,"Transient waning rate
(IC50)"
1000001,2,cr_long,0.10866359392601,cr_long,0.1,1,IC50,both_kendra,kendra,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
1000001,2,cr_short,0.00811201064176919,cr_short,0.03,1,IC50,both_kendra,kendra,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
1000001,2,obs_sd,1.04901555786297,obs_sd,1,1,IC50,both_kendra,kendra,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
1000001,2,boost_short.1,1.91628908607175,boost_short,2,2,Avidity,both_kendra,kendra,Transient boost,"Transient boost
(Avidity)"
1000001,2,antigenic_seniority.1,0.76522234550181,antigenic_seniority,0.05,2,Avidity,both_kendra,kendra,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
1000001,2,wane_short.1,0.00509767657892785,wane_short,0.25,2,Avidity,both_kendra,kendra,Transient waning rate,"Transient waning rate
(Avidity)"
1000001,2,cr_short.1,0.0237368726686207,cr_short,0.03,2,Avidity,both_kendra,kendra,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(Avidity)"
1000001,2,obs_sd.1,0.897608438039184,obs_sd,1,2,Avidity,both_kendra,kendra,Observation error (standard deviation),"Observation error (standard deviation)
(Avidity)"
1000001,3,boost_long,3.59889561897045,boost_long,1.5,1,IC50,both_kendra,kendra,Long-term boost,"Long-term boost
(IC50)"
1000001,3,boost_short,2.4721549856025,boost_short,2,1,IC50,both_kendra,kendra,Transient boost,"Transient boost
(IC50)"
1000001,3,antigenic_seniority,0.207760791828001,antigenic_seniority,0.05,1,IC50,both_kendra,kendra,Antigenic seniority parameter,"Antigenic seniority parameter
(IC50)"
1000001,3,wane_short,0.582143791396506,wane_short,0.25,1,IC50,both_kendra,kendra,Transient waning rate,"Transient waning rate
(IC50)"
1000001,3,cr_long,0.107897508536364,cr_long,0.1,1,IC50,both_kendra,kendra,Long-term cross-reactivity gradient,"Long-term cross-reactivity gradient
(IC50)"
1000001,3,cr_short,0.00423327579017553,cr_short,0.03,1,IC50,both_kendra,kendra,Transient cross-reactivity gradient,"Transient cross-reactivity gradient
(IC50)"
1000001,3,obs_sd,1.07155532144687,obs_sd,1,1,IC50,both_kendra,kendra,Observation error (standard deviation),"Observation error (standard deviation)
(IC50)"
1000001,3,boost_short.1,1.75971546211932,boost_short,2,2,Avidity,both_kendra,kendra,Transient boost,"Transient boost
(Avidity)"
1000001,3,antigenic_seniority.1,0.676569511860101,antigenic_seniority,0.05,2,Avidity,both_kendra,kendra,Antigenic seniority parameter,"Antigenic seniority parameter
(Avidity)"
