Parameter,Data,Map,Avidity,IC50
Antigenic seniority parameter,avid_debbink,Debbink,"0.602 (0.519, 0.684)",NA
Observation error (standard deviation),avid_debbink,Debbink,"0.835 (0.804, 0.868)",NA
Transient boost,avid_debbink,Debbink,"1.97 (1.86, 2.08)",NA
Transient cross-reactivity gradient,avid_debbink,Debbink,"0.026 (0.0158, 0.0365)",NA
Transient waning rate,avid_debbink,Debbink,"0.00969 (0.00046, 0.0289)",NA
Antigenic seniority parameter,avid_kendra,Kendra,"0.589 (0.507, 0.673)",NA
Observation error (standard deviation),avid_kendra,Kendra,"0.806 (0.775, 0.837)",NA
Transient boost,avid_kendra,Kendra,"2.2 (2.08, 2.33)",NA
Transient cross-reactivity gradient,avid_kendra,Kendra,"0.0483 (0.0395, 0.057)",NA
Transient waning rate,avid_kendra,Kendra,"0.00477 (0.00014, 0.0156)",NA
Antigenic seniority parameter,both_kendra,Kendra,"0.728 (0.637, 0.818)","0.195 (0.149, 0.246)"
Long-term boost,both_kendra,Kendra,NA,"3.43 (3.19, 3.66)"
Long-term cross-reactivity gradient,both_kendra,Kendra,NA,"0.104 (0.0912, 0.112)"
Observation error (standard deviation),both_kendra,Kendra,"0.891 (0.856, 0.924)","1.08 (1.03, 1.12)"
Transient boost,both_kendra,Kendra,"1.85 (1.73, 1.99)","2.49 (2.21, 2.85)"
Transient cross-reactivity gradient,both_kendra,Kendra,"0.0138 (0.00113, 0.0297)","0.0153 (0.00045, 0.0476)"
Transient waning rate,both_kendra,Kendra,"0.00449 (8.69e-05, 0.0153)","0.541 (0.476, 0.629)"
Antigenic seniority parameter,both_real,Debbink,"0.79 (0.699, 0.868)","0.23 (0.168, 0.295)"
Long-term boost,both_real,Debbink,NA,"2.8 (2.51, 3.06)"
Long-term cross-reactivity gradient,both_real,Debbink,NA,"0.0708 (0.0616, 0.0798)"
Observation error (standard deviation),both_real,Debbink,"0.899 (0.866, 0.934)","1.13 (1.08, 1.18)"
Transient boost,both_real,Debbink,"1.96 (1.86, 2.07)","2.81 (2.44, 3.24)"
Transient cross-reactivity gradient,both_real,Debbink,"0.0242 (0.0142, 0.0345)","0.00617 (0.000121, 0.022)"
Transient waning rate,both_real,Debbink,"0.00359 (9.18e-05, 0.012)","0.467 (0.377, 0.561)"
Antigenic seniority parameter,ic50_kendra,Kendra,NA,"0.203 (0.159, 0.249)"
Long-term boost,ic50_kendra,Kendra,NA,"3.68 (3.46, 3.9)"
Long-term cross-reactivity gradient,ic50_kendra,Kendra,NA,"0.112 (0.103, 0.119)"
Observation error (standard deviation),ic50_kendra,Kendra,NA,"1.08 (1.03, 1.12)"
Transient boost,ic50_kendra,Kendra,NA,"2.43 (2.15, 2.74)"
Transient cross-reactivity gradient,ic50_kendra,Kendra,NA,"0.00687 (0.000202, 0.0233)"
Transient waning rate,ic50_kendra,Kendra,NA,"0.542 (0.485, 0.622)"
Antigenic seniority parameter,ic50_real,Debbink,NA,"0.242 (0.181, 0.3)"
Long-term boost,ic50_real,Debbink,NA,"3.07 (2.84, 3.27)"
Long-term cross-reactivity gradient,ic50_real,Debbink,NA,"0.0686 (0.0603, 0.0757)"
Observation error (standard deviation),ic50_real,Debbink,NA,"1.14 (1.09, 1.19)"
Transient boost,ic50_real,Debbink,NA,"2.56 (2.28, 2.89)"
Transient cross-reactivity gradient,ic50_real,Debbink,NA,"0.00603 (0.000152, 0.0217)"
Transient waning rate,ic50_real,Debbink,NA,"0.483 (0.379, 0.579)"
