Parameter,Data,Map,Avidity,IC50
Antigenic seniority parameter,avid_debbink,Debbink,"0.601 (0.521, 0.687)",NA
Observation error (standard deviation),avid_debbink,Debbink,"0.835 (0.802, 0.868)",NA
Transient boost,avid_debbink,Debbink,"1.97 (1.86, 2.09)",NA
Transient cross-reactivity gradient,avid_debbink,Debbink,"0.0262 (0.0152, 0.0371)",NA
Transient waning rate,avid_debbink,Debbink,"0.00962 (3e-04, 0.0278)",NA
Antigenic seniority parameter,avid_kendra,Kendra,"0.591 (0.511, 0.679)",NA
Observation error (standard deviation),avid_kendra,Kendra,"0.808 (0.774, 0.842)",NA
Transient boost,avid_kendra,Kendra,"2.2 (2.07, 2.33)",NA
Transient cross-reactivity gradient,avid_kendra,Kendra,"0.048 (0.0369, 0.0569)",NA
Transient waning rate,avid_kendra,Kendra,"0.00496 (0.000157, 0.0167)",NA
Antigenic seniority parameter,both_kendra,Kendra,"0.733 (0.642, 0.817)","0.195 (0.146, 0.245)"
Long-term boost,both_kendra,Kendra,NA,"3.44 (3.19, 3.69)"
Long-term cross-reactivity gradient,both_kendra,Kendra,NA,"0.104 (0.0901, 0.112)"
Observation error (standard deviation),both_kendra,Kendra,"0.891 (0.855, 0.928)","1.08 (1.03, 1.12)"
Transient boost,both_kendra,Kendra,"1.85 (1.72, 1.98)","2.48 (2.19, 2.82)"
Transient cross-reactivity gradient,both_kendra,Kendra,"0.0131 (0.000784, 0.0287)","0.0156 (0.000479, 0.0546)"
Transient waning rate,both_kendra,Kendra,"0.00431 (0.000136, 0.0146)","0.542 (0.474, 0.633)"
Antigenic seniority parameter,both_real,Debbink,"0.793 (0.711, 0.868)","0.228 (0.169, 0.291)"
Long-term boost,both_real,Debbink,NA,"2.79 (2.48, 3.03)"
Long-term cross-reactivity gradient,both_real,Debbink,NA,"0.0708 (0.0612, 0.0805)"
Observation error (standard deviation),both_real,Debbink,"0.9 (0.866, 0.936)","1.13 (1.08, 1.18)"
Transient boost,both_real,Debbink,"1.96 (1.86, 2.07)","2.81 (2.44, 3.27)"
Transient cross-reactivity gradient,both_real,Debbink,"0.0241 (0.0139, 0.0342)","0.0061 (0.000136, 0.0217)"
Transient waning rate,both_real,Debbink,"0.00359 (9.13e-05, 0.0122)","0.47 (0.375, 0.562)"
Antigenic seniority parameter,ic50_kendra,Kendra,NA,"0.205 (0.159, 0.251)"
Long-term boost,ic50_kendra,Kendra,NA,"3.68 (3.45, 3.91)"
Long-term cross-reactivity gradient,ic50_kendra,Kendra,NA,"0.113 (0.103, 0.119)"
Observation error (standard deviation),ic50_kendra,Kendra,NA,"1.08 (1.03, 1.13)"
Transient boost,ic50_kendra,Kendra,NA,"2.42 (2.11, 2.76)"
Transient cross-reactivity gradient,ic50_kendra,Kendra,NA,"0.0068 (0.00023, 0.0235)"
Transient waning rate,ic50_kendra,Kendra,NA,"0.541 (0.483, 0.627)"
Antigenic seniority parameter,ic50_real,Debbink,NA,"0.24 (0.185, 0.297)"
Long-term boost,ic50_real,Debbink,NA,"3.07 (2.86, 3.28)"
Long-term cross-reactivity gradient,ic50_real,Debbink,NA,"0.0689 (0.061, 0.0763)"
Observation error (standard deviation),ic50_real,Debbink,NA,"1.13 (1.09, 1.19)"
Transient boost,ic50_real,Debbink,NA,"2.56 (2.26, 2.88)"
Transient cross-reactivity gradient,ic50_real,Debbink,NA,"0.00579 (0.000161, 0.0204)"
Transient waning rate,ic50_real,Debbink,NA,"0.483 (0.388, 0.58)"
