Year,Data,Map,Estimate
2001,avid_debbink,Debbink,"0.0476 (0, 0.429)"
2002,avid_debbink,Debbink,"0.122 (0.0135, 0.297)"
2003,avid_debbink,Debbink,"0.00709 (0, 0.135)"
2004,avid_debbink,Debbink,"0.00851 (0, 0.0936)"
2005,avid_debbink,Debbink,"0.00292 (0, 0.0583)"
2006,avid_debbink,Debbink,"0.407 (0.349, 0.456)"
2007,avid_debbink,Debbink,"0.26 (0.146, 0.341)"
2008,avid_debbink,Debbink,"0.179 (0.0907, 0.264)"
2009,avid_debbink,Debbink,"0.00485 (0, 0.0388)"
2010,avid_debbink,Debbink,"0.289 (0.174, 0.39)"
2011,avid_debbink,Debbink,"0.196 (0.0279, 0.34)"
2012,avid_debbink,Debbink,"0 (0, 0.0952)"
2001,avid_kendra,Kendra,"0.0476 (0, 0.381)"
2002,avid_kendra,Kendra,"0.122 (0.027, 0.284)"
2003,avid_kendra,Kendra,"0.0142 (0, 0.156)"
2004,avid_kendra,Kendra,"0.00851 (0, 0.119)"
2005,avid_kendra,Kendra,"0.00583 (0, 0.0755)"
2006,avid_kendra,Kendra,"0.398 (0.338, 0.451)"
2007,avid_kendra,Kendra,"0.251 (0.146, 0.33)"
2008,avid_kendra,Kendra,"0.195 (0.107, 0.274)"
2009,avid_kendra,Kendra,"0.00728 (0, 0.0437)"
2010,avid_kendra,Kendra,"0.285 (0.177, 0.39)"
2011,avid_kendra,Kendra,"0.218 (0.067, 0.358)"
2012,avid_kendra,Kendra,"0 (0, 0.119)"
2001,both_kendra,Kendra,"0.333 (0, 0.667)"
2002,both_kendra,Kendra,"0.243 (0.027, 0.419)"
2003,both_kendra,Kendra,"0.262 (0.106, 0.404)"
2004,both_kendra,Kendra,"0.187 (0.0979, 0.272)"
2005,both_kendra,Kendra,"0.239 (0.166, 0.315)"
2006,both_kendra,Kendra,"0.0511 (0.0244, 0.0889)"
2007,both_kendra,Kendra,"0.268 (0.227, 0.303)"
2008,both_kendra,Kendra,"0.195 (0.156, 0.235)"
2009,both_kendra,Kendra,"0.335 (0.286, 0.374)"
2010,both_kendra,Kendra,"0.267 (0.195, 0.336)"
2011,both_kendra,Kendra,"0.162 (0.0894, 0.235)"
2012,both_kendra,Kendra,"0.0476 (0, 0.143)"
2001,both_real,Debbink,"0.19 (0, 0.619)"
2002,both_real,Debbink,"0.446 (0.299, 0.568)"
2003,both_real,Debbink,"0.234 (0.0851, 0.355)"
2004,both_real,Debbink,"0.128 (0.0174, 0.247)"
2005,both_real,Debbink,"0.195 (0.134, 0.257)"
2006,both_real,Debbink,"0.0378 (0.0178, 0.0733)"
2007,both_real,Debbink,"0.282 (0.245, 0.319)"
2008,both_real,Debbink,"0.203 (0.164, 0.243)"
2009,both_real,Debbink,"0.335 (0.291, 0.376)"
2010,both_real,Debbink,"0.253 (0.177, 0.321)"
2011,both_real,Debbink,"0.212 (0.123, 0.285)"
2012,both_real,Debbink,"0.0476 (0, 0.167)"
2001,ic50_kendra,Kendra,"0.333 (0, 0.71)"
2002,ic50_kendra,Kendra,"0.284 (0.0811, 0.446)"
2003,ic50_kendra,Kendra,"0.326 (0.17, 0.461)"
2004,ic50_kendra,Kendra,"0.0894 (0, 0.213)"
2005,ic50_kendra,Kendra,"0.166 (0.102, 0.236)"
2006,ic50_kendra,Kendra,"0.04 (0.0178, 0.0689)"
2007,ic50_kendra,Kendra,"0.253 (0.218, 0.292)"
2008,ic50_kendra,Kendra,"0.189 (0.152, 0.229)"
2009,ic50_kendra,Kendra,"0.342 (0.301, 0.381)"
2010,ic50_kendra,Kendra,"0.274 (0.206, 0.339)"
2011,ic50_kendra,Kendra,"0.184 (0.112, 0.251)"
2012,ic50_kendra,Kendra,"0 (0, 0.0952)"
2001,ic50_real,Debbink,"0.286 (0, 0.667)"
2002,ic50_real,Debbink,"0.432 (0.27, 0.554)"
2003,ic50_real,Debbink,"0.206 (0.0645, 0.326)"
2004,ic50_real,Debbink,"0.034 (0, 0.161)"
2005,ic50_real,Debbink,"0.181 (0.114, 0.245)"
2006,ic50_real,Debbink,"0.0333 (0.0156, 0.0642)"
2007,ic50_real,Debbink,"0.262 (0.227, 0.299)"
2008,ic50_real,Debbink,"0.199 (0.16, 0.235)"
2009,ic50_real,Debbink,"0.337 (0.296, 0.376)"
2010,ic50_real,Debbink,"0.249 (0.177, 0.314)"
2011,ic50_real,Debbink,"0.229 (0.151, 0.296)"
2012,ic50_real,Debbink,"0.0238 (0, 0.119)"
