Year,Data,Map,Estimate
2001,avid_debbink,Debbink,"0.143 (0, 0.524)"
2002,avid_debbink,Debbink,"0.284 (0.027, 0.514)"
2003,avid_debbink,Debbink,"0.184 (0.0284, 0.383)"
2004,avid_debbink,Debbink,"0.14 (0.0255, 0.272)"
2005,avid_debbink,Debbink,"0.155 (0.0292, 0.324)"
2006,avid_debbink,Debbink,"0.224 (0.129, 0.349)"
2007,avid_debbink,Debbink,"0.162 (0.0756, 0.249)"
2008,avid_debbink,Debbink,"0.168 (0.0572, 0.252)"
2009,avid_debbink,Debbink,"0.187 (0.068, 0.318)"
2010,avid_debbink,Debbink,"0.141 (0.0361, 0.271)"
2011,avid_debbink,Debbink,"0.173 (0.0508, 0.313)"
2012,avid_debbink,Debbink,"0.143 (0, 0.286)"
2001,avid_kendra,Kendra,"0.0952 (0, 0.429)"
2002,avid_kendra,Kendra,"0.149 (0, 0.378)"
2003,avid_kendra,Kendra,"0.0993 (0.00709, 0.262)"
2004,avid_kendra,Kendra,"0.0894 (0.017, 0.221)"
2005,avid_kendra,Kendra,"0.125 (0.0262, 0.248)"
2006,avid_kendra,Kendra,"0.289 (0.134, 0.429)"
2007,avid_kendra,Kendra,"0.205 (0.111, 0.299)"
2008,avid_kendra,Kendra,"0.17 (0.0475, 0.274)"
2009,avid_kendra,Kendra,"0.18 (0.0583, 0.301)"
2010,avid_kendra,Kendra,"0.119 (0.0217, 0.22)"
2011,avid_kendra,Kendra,"0.218 (0.0447, 0.363)"
2012,avid_kendra,Kendra,"0.143 (0, 0.31)"
2001,both_kendra,Kendra,"0.143 (0, 0.619)"
2002,both_kendra,Kendra,"0.365 (0.162, 0.541)"
2003,both_kendra,Kendra,"0.241 (0.121, 0.376)"
2004,both_kendra,Kendra,"0.166 (0.0681, 0.263)"
2005,both_kendra,Kendra,"0.204 (0.117, 0.292)"
2006,both_kendra,Kendra,"0.0689 (0.0378, 0.107)"
2007,both_kendra,Kendra,"0.268 (0.223, 0.312)"
2008,both_kendra,Kendra,"0.191 (0.154, 0.231)"
2009,both_kendra,Kendra,"0.316 (0.27, 0.362)"
2010,both_kendra,Kendra,"0.282 (0.202, 0.35)"
2011,both_kendra,Kendra,"0.162 (0.101, 0.313)"
2012,both_kendra,Kendra,"0.0952 (0.0238, 0.262)"
2001,both_real,Debbink,"0.238 (0, 0.667)"
2002,both_real,Debbink,"0.459 (0.311, 0.581)"
2003,both_real,Debbink,"0.248 (0.142, 0.368)"
2004,both_real,Debbink,"0.132 (0.0511, 0.217)"
2005,both_real,Debbink,"0.152 (0.0729, 0.233)"
2006,both_real,Debbink,"0.0733 (0.0289, 0.14)"
2007,both_real,Debbink,"0.262 (0.201, 0.302)"
2008,both_real,Debbink,"0.191 (0.15, 0.231)"
2009,both_real,Debbink,"0.333 (0.282, 0.396)"
2010,both_real,Debbink,"0.274 (0.206, 0.336)"
2011,both_real,Debbink,"0.156 (0.095, 0.268)"
2012,both_real,Debbink,"0.0952 (0.0238, 0.19)"
2001,ic50_kendra,Kendra,"0.238 (0, 0.667)"
2002,ic50_kendra,Kendra,"0.284 (0.0149, 0.5)"
2003,ic50_kendra,Kendra,"0.255 (0.0638, 0.404)"
2004,ic50_kendra,Kendra,"0.179 (0.0894, 0.276)"
2005,ic50_kendra,Kendra,"0.204 (0.131, 0.286)"
2006,ic50_kendra,Kendra,"0.0489 (0.0244, 0.08)"
2007,ic50_kendra,Kendra,"0.225 (0.183, 0.268)"
2008,ic50_kendra,Kendra,"0.178 (0.136, 0.223)"
2009,ic50_kendra,Kendra,"0.337 (0.284, 0.379)"
2010,ic50_kendra,Kendra,"0.249 (0.162, 0.329)"
2011,ic50_kendra,Kendra,"0.14 (0.0559, 0.228)"
2012,ic50_kendra,Kendra,"0.0476 (0, 0.119)"
2001,ic50_real,Debbink,"0.333 (0, 0.714)"
2002,ic50_real,Debbink,"0.446 (0.297, 0.595)"
2003,ic50_real,Debbink,"0.27 (0.113, 0.404)"
2004,ic50_real,Debbink,"0.14 (0.0213, 0.272)"
2005,ic50_real,Debbink,"0.114 (0.0583, 0.192)"
2006,ic50_real,Debbink,"0.0667 (0.0333, 0.147)"
2007,ic50_real,Debbink,"0.227 (0.146, 0.275)"
2008,ic50_real,Debbink,"0.181 (0.136, 0.225)"
2009,ic50_real,Debbink,"0.32 (0.269, 0.366)"
2010,ic50_real,Debbink,"0.274 (0.126, 0.332)"
2011,ic50_real,Debbink,"0.184 (0.101, 0.279)"
2012,ic50_real,Debbink,"0.0714 (0.0238, 0.19)"
