age,samp_no,chain_no,j,ar,N
0,400001,1,2001,0.5238095238095238,21
0,400001,1,2002,0.39622641509433965,53
0,400001,1,2003,0.08955223880597014,67
0,400001,1,2004,0.2978723404255319,94
0,400001,1,2005,0.1111111111111111,108
0,400001,1,2006,0.2523364485981308,107
0,400001,1,2007,0.2826086956521739,92
0,400001,1,2008,0.16666666666666666,66
0,400001,1,2009,0.2571428571428571,35
0,400001,1,2010,0.1,10
0,400001,1,2011,0,3
0,400001,2,2001,0.09523809523809523,21
0,400001,2,2002,0.2830188679245283,53
0,400001,2,2003,0.14925373134328357,67
0,400001,2,2004,0.11702127659574468,94
0,400001,2,2005,0.046296296296296294,108
0,400001,2,2006,0.2803738317757009,107
0,400001,2,2007,0.2608695652173913,92
0,400001,2,2008,0.045454545454545456,66
0,400001,2,2009,0.37142857142857144,35
0,400001,2,2010,0.1,10
0,400001,2,2011,0,3
0,400001,3,2001,0,21
0,400001,3,2002,0.22641509433962265,53
0,400001,3,2003,0,67
0,400001,3,2004,0,94
0,400001,3,2005,0.18518518518518517,108
0,400001,3,2006,0.22429906542056074,107
0,400001,3,2007,0.1956521739130435,92
0,400001,3,2008,0.07575757575757576,66
0,400001,3,2009,0.22857142857142856,35
0,400001,3,2010,0.1,10
0,400001,3,2011,0,3
0,400001,4,2001,0.14285714285714285,21
0,400001,4,2002,0.32075471698113206,53
0,400001,4,2003,0.05970149253731343,67
0,400001,4,2004,0.1702127659574468,94
0,400001,4,2005,0.08333333333333333,108
0,400001,4,2006,0.2616822429906542,107
0,400001,4,2007,0.30434782608695654,92
0,400001,4,2008,0,66
0,400001,4,2009,0.4,35
0,400001,4,2010,0,10
0,400001,4,2011,0,3
0,400001,5,2001,0.14285714285714285,21
0,400001,5,2002,0.37735849056603776,53
0,400001,5,2003,0,67
0,400001,5,2004,0.0851063829787234,94
0,400001,5,2005,0.16666666666666666,108
0,400001,5,2006,0.37383177570093457,107
0,400001,5,2007,0.30434782608695654,92
0,400001,5,2008,0,66
0,400001,5,2009,0.34285714285714286,35
0,400001,5,2010,0,10
0,400001,5,2011,0,3
0,405001,1,2001,0.23809523809523808,21
0,405001,1,2002,0.4528301886792453,53
0,405001,1,2003,0,67
0,405001,1,2004,0,94
0,405001,1,2005,0.2222222222222222,108
0,405001,1,2006,0.32710280373831774,107
0,405001,1,2007,0.17391304347826086,92
0,405001,1,2008,0.07575757575757576,66
0,405001,1,2009,0.37142857142857144,35
0,405001,1,2010,0.1,10
0,405001,1,2011,0,3
0,405001,2,2001,0,21
0,405001,2,2002,0.39622641509433965,53
0,405001,2,2003,0.1044776119402985,67
0,405001,2,2004,0.010638297872340425,94
0,405001,2,2005,0.2222222222222222,108
0,405001,2,2006,0.2897196261682243,107
0,405001,2,2007,0.21739130434782608,92
0,405001,2,2008,0.12121212121212122,66
0,405001,2,2009,0.34285714285714286,35
0,405001,2,2010,0,10
0,405001,2,2011,0,3
0,405001,3,2001,0.19047619047619047,21
0,405001,3,2002,0.5094339622641509,53
0,405001,3,2003,0.04477611940298507,67
0,405001,3,2004,0.010638297872340425,94
0,405001,3,2005,0.12962962962962962,108
0,405001,3,2006,0.29906542056074764,107
0,405001,3,2007,0.2826086956521739,92
0,405001,3,2008,0.10606060606060606,66
0,405001,3,2009,0.11428571428571428,35
0,405001,3,2010,0.1,10
0,405001,3,2011,0.3333333333333333,3
0,405001,4,2001,0.14285714285714285,21
0,405001,4,2002,0.39622641509433965,53
0,405001,4,2003,0.04477611940298507,67
0,405001,4,2004,0.1276595744680851,94
0,405001,4,2005,0.19444444444444445,108
0,405001,4,2006,0.32710280373831774,107
0,405001,4,2007,0.15217391304347827,92
0,405001,4,2008,0.13636363636363635,66
0,405001,4,2009,0.42857142857142855,35
0,405001,4,2010,0,10
0,405001,4,2011,0,3
0,405001,5,2001,0.09523809523809523,21
0,405001,5,2002,0.5094339622641509,53
0,405001,5,2003,0.029850746268656716,67
0,405001,5,2004,0.10638297872340426,94
0,405001,5,2005,0.4074074074074074,108
0,405001,5,2006,0.21495327102803738,107
0,405001,5,2007,0.14130434782608695,92
0,405001,5,2008,0.09090909090909091,66
0,405001,5,2009,0.2857142857142857,35
0,405001,5,2010,0.2,10
0,405001,5,2011,0,3
0,410001,1,2001,0.6190476190476191,21
0,410001,1,2002,0.5094339622641509,53
0,410001,1,2003,0.1791044776119403,67
0,410001,1,2004,0.09574468085106383,94
0,410001,1,2005,0.09259259259259259,108
0,410001,1,2006,0.21495327102803738,107
0,410001,1,2007,0.21739130434782608,92
0,410001,1,2008,0.12121212121212122,66
0,410001,1,2009,0.37142857142857144,35
0,410001,1,2010,0,10
0,410001,1,2011,0,3
0,410001,2,2001,0,21
0,410001,2,2002,0.4716981132075472,53
0,410001,2,2003,0.34328358208955223,67
0,410001,2,2004,0.031914893617021274,94
0,410001,2,2005,0.3055555555555556,108
0,410001,2,2006,0.1308411214953271,107
0,410001,2,2007,0.2608695652173913,92
0,410001,2,2008,0.16666666666666666,66
0,410001,2,2009,0.37142857142857144,35
0,410001,2,2010,0.1,10
0,410001,2,2011,0,3
0,410001,3,2001,0.09523809523809523,21
0,410001,3,2002,0.41509433962264153,53
0,410001,3,2003,0.22388059701492538,67
0,410001,3,2004,0.02127659574468085,94
0,410001,3,2005,0.23148148148148148,108
0,410001,3,2006,0.22429906542056074,107
0,410001,3,2007,0.20652173913043478,92
0,410001,3,2008,0.045454545454545456,66
0,410001,3,2009,0.4,35
0,410001,3,2010,0,10
0,410001,3,2011,0,3
0,410001,4,2001,0.19047619047619047,21
0,410001,4,2002,0.5094339622641509,53
0,410001,4,2003,0.05970149253731343,67
0,410001,4,2004,0.0851063829787234,94
0,410001,4,2005,0.28703703703703703,108
0,410001,4,2006,0.16822429906542055,107
0,410001,4,2007,0.2391304347826087,92
0,410001,4,2008,0,66
0,410001,4,2009,0.3142857142857143,35
0,410001,4,2010,0,10
0,410001,4,2011,0,3
0,410001,5,2001,0.047619047619047616,21
0,410001,5,2002,0.24528301886792453,53
0,410001,5,2003,0.31343283582089554,67
0,410001,5,2004,0.11702127659574468,94
0,410001,5,2005,0.1574074074074074,108
0,410001,5,2006,0.2897196261682243,107
0,410001,5,2007,0.10869565217391304,92
0,410001,5,2008,0.13636363636363635,66
0,410001,5,2009,0.42857142857142855,35
0,410001,5,2010,0,10
0,410001,5,2011,0,3
0,415001,1,2001,0.23809523809523808,21
0,415001,1,2002,0.33962264150943394,53
0,415001,1,2003,0.16417910447761194,67
0,415001,1,2004,0.06382978723404255,94
0,415001,1,2005,0.1574074074074074,108
0,415001,1,2006,0.19626168224299065,107
