samp_no,biomarker_group,name,value,name_key,biomarker_group_label,label,min_value,max_value
547960,1,boost_short,1.8350029237016192,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
332450,2,boost_short,1.8094837023670014,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
155960,2,boost_short,2.427623808774196,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
587792,1,boost_short,2.0149371667436955,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
231270,1,boost_short,2.5133569540277816,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
295883,1,boost_short,1.776241230819177,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
818910,1,boost_short,2.4711068706737023,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
504058,2,boost_short,2.1420771792441333,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
309165,1,boost_short,1.8396588188994347,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
631056,1,boost_short,2.1337530393205753,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
51486,1,boost_short,2.5118213522517725,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
897156,1,boost_short,1.8807975014420635,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
997390,1,boost_short,1.702939090021039,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
614102,1,boost_short,2.193179823184701,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
805344,2,boost_short,2.3741720450139727,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
907709,1,boost_short,2.274711510433298,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
508176,1,boost_short,2.171593698199618,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
405578,2,boost_short,2.0451191323491598,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
776890,2,boost_short,1.7688643784698712,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
844414,1,boost_short,2.3421072684215356,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
892810,2,boost_short,1.784986368909633,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
629825,1,boost_short,2.0666587877464893,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
935371,1,boost_short,2.324727378502778,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
626785,1,boost_short,2.0326298243469054,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
305403,1,boost_short,2.1787762580162413,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
33262,1,boost_short,2.0846830563663827,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
488591,1,boost_short,2.4448603582155695,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
351077,1,boost_short,1.9907724539158658,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
153923,2,boost_short,2.2459478538504567,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
561650,1,boost_short,2.0931816378117167,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
564450,1,boost_short,2.4748881929041637,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
744243,2,boost_short,1.7021685128178985,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
342460,1,boost_short,2.006012936720187,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
174545,1,boost_short,2.2431135379460603,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
916785,1,boost_short,2.1097620054097495,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
94145,1,boost_short,2.4735538730186315,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
974318,1,boost_short,1.8395686482543678,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
305965,2,boost_short,1.6968888862387257,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
82652,1,boost_short,2.1751695484624016,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
652456,1,boost_short,2.323926586041139,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
910896,1,boost_short,2.2236405277866345,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
399531,2,boost_short,1.7546884005603127,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
89118,1,boost_short,2.1610259503261706,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
234739,1,boost_short,2.315083465918722,Transient boost,Avidity,"Transient boost
(Avidity)",1.87589170654573,2.30450355629462
