age,samp_no,chain_no,j,ar,N
0,2001,1,2001,0.047619047619047616,21
0,2001,1,2002,0.03773584905660377,53
0,2001,1,2003,0.208955223880597,67
0,2001,1,2004,0.1595744680851064,94
0,2001,1,2005,0.12037037037037036,108
0,2001,1,2006,0.102803738317757,107
0,2001,1,2007,0.15217391304347827,92
0,2001,1,2008,0.015151515151515152,66
0,2001,1,2009,0.4857142857142857,35
0,2001,1,2010,0,10
0,2001,1,2011,0,3
0,2001,2,2001,0.38095238095238093,21
0,2001,2,2002,0.22641509433962265,53
0,2001,2,2003,0.16417910447761194,67
0,2001,2,2004,0.1595744680851064,94
0,2001,2,2005,0.24074074074074073,108
0,2001,2,2006,0.16822429906542055,107
0,2001,2,2007,0.22826086956521738,92
0,2001,2,2008,0,66
0,2001,2,2009,0.45714285714285713,35
0,2001,2,2010,0,10
0,2001,2,2011,0,3
0,2001,3,2001,0.38095238095238093,21
0,2001,3,2002,0.2830188679245283,53
0,2001,3,2003,0.26865671641791045,67
0,2001,3,2004,0.1702127659574468,94
0,2001,3,2005,0.2037037037037037,108
0,2001,3,2006,0.037383177570093455,107
0,2001,3,2007,0.2717391304347826,92
0,2001,3,2008,0.015151515151515152,66
0,2001,3,2009,0.42857142857142855,35
0,2001,3,2010,0,10
0,2001,3,2011,0,3
0,2001,4,2001,0.047619047619047616,21
0,2001,4,2002,0.49056603773584906,53
0,2001,4,2003,0.19402985074626866,67
0,2001,4,2004,0.2978723404255319,94
0,2001,4,2005,0.17592592592592593,108
0,2001,4,2006,0.056074766355140186,107
0,2001,4,2007,0.18478260869565216,92
0,2001,4,2008,0.045454545454545456,66
0,2001,4,2009,0.37142857142857144,35
0,2001,4,2010,0,10
0,2001,4,2011,0,3
0,2001,5,2001,0.09523809523809523,21
0,2001,5,2002,0.32075471698113206,53
0,2001,5,2003,0.29850746268656714,67
0,2001,5,2004,0.1702127659574468,94
0,2001,5,2005,0.17592592592592593,108
0,2001,5,2006,0.14953271028037382,107
0,2001,5,2007,0.2391304347826087,92
0,2001,5,2008,0.015151515151515152,66
0,2001,5,2009,0.4857142857142857,35
0,2001,5,2010,0,10
0,2001,5,2011,0,3
0,2026,1,2001,0,21
0,2026,1,2002,0,53
0,2026,1,2003,0.16417910447761194,67
0,2026,1,2004,0.14893617021276595,94
0,2026,1,2005,0.2037037037037037,108
0,2026,1,2006,0.102803738317757,107
0,2026,1,2007,0.15217391304347827,92
0,2026,1,2008,0.015151515151515152,66
0,2026,1,2009,0.45714285714285713,35
0,2026,1,2010,0,10
0,2026,1,2011,0,3
0,2026,2,2001,0.38095238095238093,21
0,2026,2,2002,0.39622641509433965,53
0,2026,2,2003,0.1044776119402985,67
0,2026,2,2004,0.10638297872340426,94
0,2026,2,2005,0.18518518518518517,108
0,2026,2,2006,0.14953271028037382,107
0,2026,2,2007,0.1956521739130435,92
0,2026,2,2008,0,66
0,2026,2,2009,0.45714285714285713,35
0,2026,2,2010,0,10
0,2026,2,2011,0,3
0,2026,3,2001,0.38095238095238093,21
0,2026,3,2002,0.2830188679245283,53
0,2026,3,2003,0.2835820895522388,67
0,2026,3,2004,0.22340425531914893,94
0,2026,3,2005,0.19444444444444445,108
0,2026,3,2006,0.037383177570093455,107
0,2026,3,2007,0.2608695652173913,92
0,2026,3,2008,0.07575757575757576,66
0,2026,3,2009,0.4,35
0,2026,3,2010,0,10
0,2026,3,2011,0,3
0,2026,4,2001,0.09523809523809523,21
0,2026,4,2002,0.49056603773584906,53
0,2026,4,2003,0.16417910447761194,67
0,2026,4,2004,0.2765957446808511,94
0,2026,4,2005,0.1388888888888889,108
0,2026,4,2006,0.08411214953271028,107
0,2026,4,2007,0.18478260869565216,92
0,2026,4,2008,0.030303030303030304,66
0,2026,4,2009,0.34285714285714286,35
0,2026,4,2010,0,10
0,2026,4,2011,0,3
0,2026,5,2001,0.047619047619047616,21
0,2026,5,2002,0.2830188679245283,53
0,2026,5,2003,0.3283582089552239,67
0,2026,5,2004,0.1702127659574468,94
0,2026,5,2005,0.16666666666666666,108
0,2026,5,2006,0.14018691588785046,107
0,2026,5,2007,0.2608695652173913,92
0,2026,5,2008,0.015151515151515152,66
0,2026,5,2009,0.45714285714285713,35
0,2026,5,2010,0,10
0,2026,5,2011,0,3
0,2051,1,2001,0,21
0,2051,1,2002,0.018867924528301886,53
0,2051,1,2003,0.16417910447761194,67
0,2051,1,2004,0.20212765957446807,94
0,2051,1,2005,0.12962962962962962,108
0,2051,1,2006,0.08411214953271028,107
0,2051,1,2007,0.13043478260869565,92
0,2051,1,2008,0.045454545454545456,66
0,2051,1,2009,0.5142857142857142,35
0,2051,1,2010,0,10
0,2051,1,2011,0,3
0,2051,2,2001,0.19047619047619047,21
0,2051,2,2002,0.33962264150943394,53
0,2051,2,2003,0.14925373134328357,67
0,2051,2,2004,0.13829787234042554,94
0,2051,2,2005,0.24074074074074073,108
0,2051,2,2006,0.18691588785046728,107
0,2051,2,2007,0.21739130434782608,92
0,2051,2,2008,0,66
0,2051,2,2009,0.4857142857142857,35
0,2051,2,2010,0,10
0,2051,2,2011,0,3
0,2051,3,2001,0.3333333333333333,21
0,2051,3,2002,0.3584905660377358,53
0,2051,3,2003,0.31343283582089554,67
0,2051,3,2004,0.1702127659574468,94
0,2051,3,2005,0.17592592592592593,108
0,2051,3,2006,0.08411214953271028,107
0,2051,3,2007,0.1956521739130435,92
0,2051,3,2008,0.06060606060606061,66
0,2051,3,2009,0.37142857142857144,35
0,2051,3,2010,0,10
0,2051,3,2011,0,3
0,2051,4,2001,0.09523809523809523,21
0,2051,4,2002,0.5094339622641509,53
0,2051,4,2003,0.1791044776119403,67
0,2051,4,2004,0.20212765957446807,94
0,2051,4,2005,0.1388888888888889,108
0,2051,4,2006,0.04672897196261682,107
0,2051,4,2007,0.1956521739130435,92
0,2051,4,2008,0,66
0,2051,4,2009,0.34285714285714286,35
0,2051,4,2010,0,10
0,2051,4,2011,0,3
0,2051,5,2001,0.047619047619047616,21
0,2051,5,2002,0.3018867924528302,53
0,2051,5,2003,0.3880597014925373,67
0,2051,5,2004,0.18085106382978725,94
0,2051,5,2005,0.2222222222222222,108
0,2051,5,2006,0.1308411214953271,107
0,2051,5,2007,0.29347826086956524,92
0,2051,5,2008,0.07575757575757576,66
0,2051,5,2009,0.4857142857142857,35
0,2051,5,2010,0,10
0,2051,5,2011,0,3
0,2076,1,2001,0,21
0,2076,1,2002,0.03773584905660377,53
0,2076,1,2003,0.19402985074626866,67
0,2076,1,2004,0.18085106382978725,94
0,2076,1,2005,0.17592592592592593,108
0,2076,1,2006,0.06542056074766354,107
0,2076,1,2007,0.15217391304347827,92
0,2076,1,2008,0.045454545454545456,66
0,2076,1,2009,0.4,35
0,2076,1,2010,0,10
0,2076,1,2011,0,3
0,2076,2,2001,0.19047619047619047,21
0,2076,2,2002,0.3018867924528302,53
0,2076,2,2003,0.208955223880597,67
0,2076,2,2004,0.1702127659574468,94
0,2076,2,2005,0.1388888888888889,108
0,2076,2,2006,0.16822429906542055,107
0,2076,2,2007,0.2608695652173913,92
0,2076,2,2008,0,66
0,2076,2,2009,0.4857142857142857,35
0,2076,2,2010,0,10
0,2076,2,2011,0,3
0,2076,3,2001,0.3333333333333333,21
0,2076,3,2002,0.32075471698113206,53
0,2076,3,2003,0.26865671641791045,67
0,2076,3,2004,0.20212765957446807,94
0,2076,3,2005,0.1574074074074074,108
0,2076,3,2006,0.11214953271028037,107
0,2076,3,2007,0.17391304347826086,92
0,2076,3,2008,0.045454545454545456,66
0,2076,3,2009,0.42857142857142855,35
0,2076,3,2010,0,10
0,2076,3,2011,0,3
0,2076,4,2001,0.09523809523809523,21
0,2076,4,2002,0.49056603773584906,53
0,2076,4,2003,0.208955223880597,67
0,2076,4,2004,0.1595744680851064,94
0,2076,4,2005,0.1111111111111111,108
0,2076,4,2006,0.056074766355140186,107
0,2076,4,2007,0.1956521739130435,92
0,2076,4,2008,0.015151515151515152,66
0,2076,4,2009,0.3142857142857143,35
0,2076,4,2010,0,10
0,2076,4,2011,0,3
0,2076,5,2001,0.047619047619047616,21
0,2076,5,2002,0.24528301886792453,53
0,2076,5,2003,0.2835820895522388,67
0,2076,5,2004,0.13829787234042554,94
0,2076,5,2005,0.23148148148148148,108
0,2076,5,2006,0.17757009345794392,107
0,2076,5,2007,0.30434782608695654,92
0,2076,5,2008,0.06060606060606061,66
0,2076,5,2009,0.45714285714285713,35
0,2076,5,2010,0,10
0,2076,5,2011,0,3
0,2101,1,2001,0,21
0,2101,1,2002,0,53
0,2101,1,2003,0.208955223880597,67
0,2101,1,2004,0.1702127659574468,94
0,2101,1,2005,0.16666666666666666,108
0,2101,1,2006,0.11214953271028037,107
0,2101,1,2007,0.21739130434782608,92
0,2101,1,2008,0.015151515151515152,66
0,2101,1,2009,0.45714285714285713,35
0,2101,1,2010,0,10
0,2101,1,2011,0,3
0,2101,2,2001,0.3333333333333333,21
0,2101,2,2002,0.3018867924528302,53
0,2101,2,2003,0.14925373134328357,67
0,2101,2,2004,0.20212765957446807,94
0,2101,2,2005,0.18518518518518517,108
0,2101,2,2006,0.1588785046728972,107
